Issue # from Github,Issue URL,Issue title from Github,Name of org in Record ID,Record ID,Related ID,Name of org in Related ID,Relationship of Related ID to Record ID,Current location of Related ID
2885,https://github.com/ror-community/ror-updates/issues/2885,Modify the information in an existing ROR record: Atypon https://ror.org/03z1mhq06,Atypon,https://ror.org/03z1mhq06,https://ror.org/02xe89706,John Wiley & Sons (United States),Parent,Production
2885,https://github.com/ror-community/ror-updates/issues/2885,Modify the information in an existing ROR record: Atypon https://ror.org/03z1mhq06,John Wiley & Sons (United States),https://ror.org/02xe89706,https://ror.org/03z1mhq06,Atypon,Child,Release
2902,https://github.com/ror-community/ror-updates/issues/2902,Modify the information in an existing ROR record: International Institute of Tropical Agriculture,International Institute of Tropical Agriculture,https://ror.org/057sq8156,https://ror.org/00va88c89,International Institute of Tropical Agriculture,Successor,Production
2876,https://github.com/ror-community/ror-updates/issues/2876,Modify the information in an existing ROR record: Hamilton Psychiatric Hospital https://ror.org/01h8zk368 ,Hamilton Psychiatric Hospital,https://ror.org/01h8zk368,https://ror.org/009z39p97,St. Joseph’s Healthcare Hamilton,Successor,Production
2890,https://github.com/ror-community/ror-updates/issues/2890,"Modify the information in an existing ROR record: 
Centre de recherche en économie et management https://ror.org/0047rmf80
",Centre de recherche en économie et management,https://ror.org/0047rmf80,https://ror.org/00x9ewr78,National Council for Scientific Research,Parent,Production
2890,https://github.com/ror-community/ror-updates/issues/2890,"Modify the information in an existing ROR record: 
Centre de recherche en économie et management https://ror.org/0047rmf80
",National Council for Scientific Research,https://ror.org/00x9ewr78,https://ror.org/0047rmf80,Centre de recherche en économie et management,Child,Release
2903,https://github.com/ror-community/ror-updates/issues/2903,Modify the information in an existing ROR record: International Center for Tropical Agriculture - https://ror.org/045kz4b81,International Center for Tropical Agriculture,https://ror.org/045kz4b81,https://ror.org/02qk18s08,International Center for Tropical Agriculture,Successor,Production
2904,https://github.com/ror-community/ror-updates/issues/2904,Modify the information in an existing ROR record: Faculdades Integradas do Vale do Ivaí - https://ror.org/02qvmee20,Faculdades Integradas do Vale do Ivaí,https://ror.org/02qvmee20,https://ror.org/045w8cb33,Faculdades Integradas do Vale do Ivaí,Successor,Production
2905,https://github.com/ror-community/ror-updates/issues/2905,Modify the information in an existing ROR record: HES-SO Genève - https://ror.org/03drevg53,HES-SO Genève,https://ror.org/03drevg53,https://ror.org/007gfwn20,HES-SO Genève,Successor,Production
2906,https://github.com/ror-community/ror-updates/issues/2906,Modify the information in an existing ROR record: University Press of Mississippi - https://ror.org/04qfm3385,University Press of Mississippi,https://ror.org/04qfm3385,https://ror.org/02ykntn67,University Press of Mississippi,Successor,Production
2908,https://github.com/ror-community/ror-updates/issues/2908,Modify the information in an existing ROR record: Guangdong Association of STD and AIDS Prevention and Control - https://ror.org/00se3yr70,Guangdong Association of STD and AIDS Prevention and Control,https://ror.org/00se3yr70,https://ror.org/008y34898,Guangdong Association of STD and AIDS Prevention and Control,Successor,Production
2907,https://github.com/ror-community/ror-updates/issues/2907,Modify the information in an existing ROR record:  International Institute of Tropical Agriculture - https://ror.org/02q34ka72,International Institute of Tropical Agriculture,https://ror.org/02q34ka72,https://ror.org/0556kt608,International Institute of Tropical Agriculture,Successor,Production
2922,https://github.com/ror-community/ror-updates/issues/2922,"Modify the information in an existing ROR record: 
AAU - Ambiances, Architectures, Urbanités https://ror.org/05hz99a17
","AAU - Ambiances, Architectures, Urbanités",https://ror.org/05hz99a17,https://ror.org/04px4e658,Délégation Alpes,Parent,Release
2922,https://github.com/ror-community/ror-updates/issues/2922,"Modify the information in an existing ROR record: 
AAU - Ambiances, Architectures, Urbanités https://ror.org/05hz99a17
",Délégation Alpes,https://ror.org/04px4e658,https://ror.org/05hz99a17,"AAU - Ambiances, Architectures, Urbanités",Child,Release
2922,https://github.com/ror-community/ror-updates/issues/2922,"Modify the information in an existing ROR record: 
AAU - Ambiances, Architectures, Urbanités https://ror.org/05hz99a17
","AAU - Ambiances, Architectures, Urbanités",https://ror.org/05hz99a17,https://ror.org/01yxtfe92,École Nationale Supérieure d'Architecture de Grenoble,Related,Production
2922,https://github.com/ror-community/ror-updates/issues/2922,"Modify the information in an existing ROR record: 
AAU - Ambiances, Architectures, Urbanités https://ror.org/05hz99a17
",École Nationale Supérieure d'Architecture de Grenoble,https://ror.org/01yxtfe92,https://ror.org/05hz99a17,"AAU - Ambiances, Architectures, Urbanités",Related,Release
2922,https://github.com/ror-community/ror-updates/issues/2922,"Modify the information in an existing ROR record: 
AAU - Ambiances, Architectures, Urbanités https://ror.org/05hz99a17
","AAU - Ambiances, Architectures, Urbanités",https://ror.org/05hz99a17,https://ror.org/03gnr7b55,Nantes Université,Related,Production
2922,https://github.com/ror-community/ror-updates/issues/2922,"Modify the information in an existing ROR record: 
AAU - Ambiances, Architectures, Urbanités https://ror.org/05hz99a17
",Nantes Université,https://ror.org/03gnr7b55,https://ror.org/05hz99a17,"AAU - Ambiances, Architectures, Urbanités",Related,Release
2922,https://github.com/ror-community/ror-updates/issues/2922,"Modify the information in an existing ROR record: 
AAU - Ambiances, Architectures, Urbanités https://ror.org/05hz99a17
","AAU - Ambiances, Architectures, Urbanités",https://ror.org/05hz99a17,https://ror.org/00x9ewr78,National Council for Scientific Research,Related,Production
2922,https://github.com/ror-community/ror-updates/issues/2922,"Modify the information in an existing ROR record: 
AAU - Ambiances, Architectures, Urbanités https://ror.org/05hz99a17
",National Council for Scientific Research,https://ror.org/00x9ewr78,https://ror.org/05hz99a17,"AAU - Ambiances, Architectures, Urbanités",Related,Release
2923,https://github.com/ror-community/ror-updates/issues/2923,Modify the information in an existing ROR record: Institute of Genetics and Development of Rennes - https://ror.org/036xhtv26,Institute of Genetics and Development of Rennes,https://ror.org/036xhtv26,https://ror.org/02feahw73,French National Centre for Scientific Research,Parent,Production
2923,https://github.com/ror-community/ror-updates/issues/2923,Modify the information in an existing ROR record: Institute of Genetics and Development of Rennes - https://ror.org/036xhtv26,French National Centre for Scientific Research,https://ror.org/02feahw73,https://ror.org/036xhtv26,Institute of Genetics and Development of Rennes,Child,Release
2924,https://github.com/ror-community/ror-updates/issues/2924,"Modify the information in an existing ROR record: 
IRSET https://ror.org/01p178v10
",IRSET,https://ror.org/01p178v10,https://ror.org/04yrqp957,University of Angers,Parent,Production
2924,https://github.com/ror-community/ror-updates/issues/2924,"Modify the information in an existing ROR record: 
IRSET https://ror.org/01p178v10
",University of Angers,https://ror.org/04yrqp957,https://ror.org/01p178v10,IRSET,Child,Release
2984,https://github.com/ror-community/ror-updates/issues/2984,Modify the information in an existing ROR record: Mount Revelstoke National Park - https://ror.org/00tprt448,Mount Revelstoke National Park,https://ror.org/00tprt448,https://ror.org/008sy4716,Parks Canada,Parent,Production
2984,https://github.com/ror-community/ror-updates/issues/2984,Modify the information in an existing ROR record: Mount Revelstoke National Park - https://ror.org/00tprt448,Parks Canada,https://ror.org/008sy4716,https://ror.org/00tprt448,Mount Revelstoke National Park,Child,Release
2987,https://github.com/ror-community/ror-updates/issues/2987,"Modify the information in an existing ROR record: 
Wyoming Medical Center https://ror.org/01phkkj35
",Wyoming Medical Center,https://ror.org/01phkkj35,https://ror.org/039wwwz66,Banner Health,Parent,Production
2987,https://github.com/ror-community/ror-updates/issues/2987,"Modify the information in an existing ROR record: 
Wyoming Medical Center https://ror.org/01phkkj35
",Banner Health,https://ror.org/039wwwz66,https://ror.org/01phkkj35,Wyoming Medical Center,Child,Release
2988,https://github.com/ror-community/ror-updates/issues/2988,"Modify the information in an existing ROR record: 
The Orthopedic Clinic Association https://ror.org/05e33tw76
",The Orthopedic Clinic Association,https://ror.org/05e33tw76,https://ror.org/039wwwz66,Banner Health,Parent,Production
2988,https://github.com/ror-community/ror-updates/issues/2988,"Modify the information in an existing ROR record: 
The Orthopedic Clinic Association https://ror.org/05e33tw76
",Banner Health,https://ror.org/039wwwz66,https://ror.org/05e33tw76,The Orthopedic Clinic Association,Child,Release
2826,https://github.com/ror-community/ror-updates/issues/2826,"Modify the information in an existing ROR record: 
École Nationale Supérieure de Chimie de Lille https://ror.org/041yg4h55 
",École Nationale Supérieure de Chimie de Lille,https://ror.org/041yg4h55,https://ror.org/01x441g73,École Centrale de Lille,Parent,Release
2826,https://github.com/ror-community/ror-updates/issues/2826,"Modify the information in an existing ROR record: 
École Nationale Supérieure de Chimie de Lille https://ror.org/041yg4h55 
",École Centrale de Lille,https://ror.org/01x441g73,https://ror.org/041yg4h55,École Nationale Supérieure de Chimie de Lille,Child,Release
3046,https://github.com/ror-community/ror-updates/issues/3046,Modify the information in an existing ROR record: University of Lille Nord de France - https://ror.org/03btvgn05,University of Lille Nord de France,https://ror.org/03btvgn05,https://ror.org/02kzqn938,University of Lille,Successor,Production
3056,https://github.com/ror-community/ror-updates/issues/3056,"Modify the information in an existing ROR record: 
Geosciences Rennes https://ror.org/00vn0zc62
",Geosciences Rennes,https://ror.org/00vn0zc62,https://ror.org/02feahw73,French National Centre for Scientific Research,Parent,Production
3056,https://github.com/ror-community/ror-updates/issues/3056,"Modify the information in an existing ROR record: 
Geosciences Rennes https://ror.org/00vn0zc62
",French National Centre for Scientific Research,https://ror.org/02feahw73,https://ror.org/00vn0zc62,Geosciences Rennes,Child,Release
3058,https://github.com/ror-community/ror-updates/issues/3058,"Modify the information in an existing ROR record: 
Ecosystèmes, Biodiversité, Evolution https://ror.org/005fjj927
","Ecosystèmes, Biodiversité, Evolution",https://ror.org/005fjj927,https://ror.org/02feahw73,French National Centre for Scientific Research,Parent,Production
3058,https://github.com/ror-community/ror-updates/issues/3058,"Modify the information in an existing ROR record: 
Ecosystèmes, Biodiversité, Evolution https://ror.org/005fjj927
",French National Centre for Scientific Research,https://ror.org/02feahw73,https://ror.org/005fjj927,"Ecosystèmes, Biodiversité, Evolution",Child,Release
3069,https://github.com/ror-community/ror-updates/issues/3069,"Modify the information in an existing ROR record: 
Centro de Investigación y Tecnología Agroalimentaria de Aragón https://ror.org/033gfj842
",Centro de Investigación y Tecnología Agroalimentaria de Aragón,https://ror.org/033gfj842,https://ror.org/0425pg203,Gobierno de Aragón,Parent,Production
3069,https://github.com/ror-community/ror-updates/issues/3069,"Modify the information in an existing ROR record: 
Centro de Investigación y Tecnología Agroalimentaria de Aragón https://ror.org/033gfj842
",Gobierno de Aragón,https://ror.org/0425pg203,https://ror.org/033gfj842,Centro de Investigación y Tecnología Agroalimentaria de Aragón,Child,Release
