ror_id,field,value,duplicated_in
https://ror.org/01txwsw02,external_ids_FundRef_all_0,501100010449,external_ids_FundRef_preferred
https://ror.org/01txwsw02,external_ids_GRID_all,grid.461742.2,external_ids_GRID_preferred
https://ror.org/01txwsw02,external_ids_ISNI_all_0,0000 0000 8855 0365,external_ids_ISNI_preferred
https://ror.org/05r6j0v30,external_ids_GRID_all,grid.415314.6,external_ids_GRID_preferred
https://ror.org/05r6j0v30,external_ids_ISNI_all_0,0000 0004 0628 3312,external_ids_ISNI_preferred
https://ror.org/01cb2rv04,external_ids_GRID_all,grid.459886.e,external_ids_GRID_preferred
https://ror.org/01cb2rv04,external_ids_ISNI_all_0,0000 0000 9905 739X,external_ids_ISNI_preferred
https://ror.org/001j5ag10,external_ids_GRID_all,grid.494697.1,external_ids_GRID_preferred
https://ror.org/001j5ag10,external_ids_ISNI_all_0,0000 0000 8581 2147,external_ids_ISNI_preferred
https://ror.org/05164ka66,external_ids_GRID_all,grid.442180.b,external_ids_GRID_preferred
https://ror.org/05164ka66,external_ids_ISNI_all_0,0000 0004 1789 8267,external_ids_ISNI_preferred
https://ror.org/03bnma344,relationships_1_type,Parent,relationships_0_type
https://ror.org/03bnma344,relationships_2_type,Parent,relationships_0_type
https://ror.org/03bnma344,external_ids_GRID_all,grid.461605.0,external_ids_GRID_preferred
https://ror.org/03bnma344,external_ids_ISNI_all_0,0000 0004 0609 6787,external_ids_ISNI_preferred
https://ror.org/04epn6t09,external_ids_GRID_all,grid.496346.a,external_ids_GRID_preferred
https://ror.org/04epn6t09,external_ids_ISNI_all_0,0000 0004 5941 8321,external_ids_ISNI_preferred
https://ror.org/00s8xgq82,external_ids_GRID_all,grid.443148.e,external_ids_GRID_preferred
https://ror.org/00s8xgq82,external_ids_ISNI_all_0,0000 0004 0554 2335,external_ids_ISNI_preferred
https://ror.org/01tytrg27,relationships_1_type,Child,relationships_0_type
https://ror.org/01tytrg27,external_ids_GRID_all,grid.433132.4,external_ids_GRID_preferred
https://ror.org/01tytrg27,external_ids_ISNI_all_0,0000 0001 2165 6445,external_ids_ISNI_preferred
https://ror.org/04wcznf70,external_ids_GRID_all,grid.468029.1,external_ids_GRID_preferred
https://ror.org/04wcznf70,external_ids_ISNI_all_0,0000 0004 5899 5987,external_ids_ISNI_preferred
https://ror.org/042pm2v89,external_ids_GRID_all,grid.452150.7,external_ids_GRID_preferred
https://ror.org/042pm2v89,external_ids_ISNI_all_0,0000 0001 1088 2332,external_ids_ISNI_preferred
https://ror.org/04855hn71,external_ids_GRID_all,grid.492492.0,external_ids_GRID_preferred
https://ror.org/04855hn71,external_ids_ISNI_all_0,0000 0004 0484 5705,external_ids_ISNI_preferred
https://ror.org/04q881785,relationships_1_type,Child,relationships_0_type
https://ror.org/04q881785,external_ids_GRID_all,grid.426236.7,external_ids_GRID_preferred
https://ror.org/04q881785,external_ids_ISNI_all_0,0000 0001 1087 261X,external_ids_ISNI_preferred
https://ror.org/04yy0hz59,external_ids_GRID_all,grid.482820.4,external_ids_GRID_preferred
https://ror.org/04yy0hz59,external_ids_ISNI_all_0,0000 0001 0598 3614,external_ids_ISNI_preferred
https://ror.org/04eqd2f30,external_ids_GRID_all,grid.415479.a,external_ids_GRID_preferred
https://ror.org/04eqd2f30,external_ids_ISNI_all_0,0000 0001 0561 8609,external_ids_ISNI_preferred
https://ror.org/04vbzm272,external_ids_GRID_all,grid.483804.3,external_ids_GRID_preferred
https://ror.org/04vbzm272,external_ids_ISNI_all_0,0000 0004 6090 1708,external_ids_ISNI_preferred
https://ror.org/03fy4k061,external_ids_GRID_all,grid.451905.c,external_ids_GRID_preferred
https://ror.org/03fy4k061,external_ids_ISNI_all_0,0000 0001 1209 1833,external_ids_ISNI_preferred
https://ror.org/03wxgdq82,external_ids_GRID_all,grid.423398.7,external_ids_GRID_preferred
https://ror.org/03wxgdq82,external_ids_ISNI_all_0,0000 0000 9548 5856,external_ids_ISNI_preferred
https://ror.org/01dt8cc51,external_ids_GRID_all,grid.461638.e,external_ids_GRID_preferred
https://ror.org/01dt8cc51,external_ids_ISNI_all_0,0000 0000 9264 5535,external_ids_ISNI_preferred
https://ror.org/05v30a202,external_ids_GRID_all,grid.422466.0,external_ids_GRID_preferred
https://ror.org/05v30a202,external_ids_ISNI_all_0,0000 0000 9818 1540,external_ids_ISNI_preferred
https://ror.org/006edv995,external_ids_GRID_all,grid.483354.d,external_ids_GRID_preferred
https://ror.org/006edv995,external_ids_ISNI_all_0,0000 0001 2116 1928,external_ids_ISNI_preferred
https://ror.org/01mh6b283,external_ids_GRID_all,grid.411737.7,external_ids_GRID_preferred
https://ror.org/01mh6b283,external_ids_ISNI_all_0,0000 0001 2115 4197,external_ids_ISNI_preferred
