ror_id,field,value,duplicated_in
https://ror.org/03ery9d53,external_ids_0_preferred,100006120,external_ids_0_all_0
https://ror.org/03ery9d53,external_ids_1_preferred,grid.453259.c,external_ids_1_all_0
https://ror.org/01khhjy85,external_ids_1_preferred,grid.467145.5,external_ids_1_all_0
https://ror.org/01khhjy85,names_2_lang,en,names_1_lang
https://ror.org/01khhjy85,names_3_lang,en,names_1_lang
https://ror.org/01khhjy85,names_4_lang,en,names_1_lang
https://ror.org/0114b2m14,external_ids_1_preferred,grid.452963.f,external_ids_1_all_0
https://ror.org/0114b2m14,names_3_lang,en,names_2_lang
https://ror.org/0114b2m14,names_4_lang,en,names_2_lang
https://ror.org/0114b2m14,names_5_lang,en,names_2_lang
https://ror.org/0114b2m14,relationships_1_type,child,relationships_0_type
https://ror.org/018et4y07,external_ids_0_preferred,100012173,external_ids_0_all_0
https://ror.org/018et4y07,external_ids_1_preferred,grid.489484.d,external_ids_1_all_0
https://ror.org/018et4y07,names_4_lang,en,names_3_lang
https://ror.org/051fd9666,external_ids_0_preferred,100008136,external_ids_0_all_0
https://ror.org/051fd9666,external_ids_1_preferred,grid.67105.35,external_ids_1_all_0
https://ror.org/051fd9666,relationships_1_type,child,relationships_0_type
https://ror.org/051fd9666,relationships_3_type,related,relationships_2_type
https://ror.org/051fd9666,relationships_4_type,related,relationships_2_type
https://ror.org/051fd9666,relationships_5_type,related,relationships_2_type
https://ror.org/051fd9666,relationships_6_type,related,relationships_2_type
https://ror.org/051fd9666,relationships_7_type,related,relationships_2_type
https://ror.org/051fd9666,relationships_8_type,related,relationships_2_type
https://ror.org/051fd9666,relationships_9_type,related,relationships_2_type
https://ror.org/051fd9666,relationships_10_type,related,relationships_2_type
https://ror.org/051fd9666,relationships_11_type,related,relationships_2_type
https://ror.org/0001zgs18,external_ids_0_preferred,grid.436393.8,external_ids_0_all_0
https://ror.org/0001zgs18,names_1_lang,de,names_0_lang
https://ror.org/01yj5ad85,external_ids_0_preferred,501100005910,external_ids_0_all_0
https://ror.org/01yj5ad85,external_ids_1_preferred,grid.436097.f,external_ids_1_all_0
https://ror.org/01yj5ad85,names_3_lang,de,names_2_lang
https://ror.org/01yj5ad85,names_4_lang,de,names_2_lang
https://ror.org/05f16n416,external_ids_0_preferred,grid.482621.b,external_ids_0_all_0
https://ror.org/05f16n416,external_ids_1_preferred,0000 0005 1426 0345,external_ids_1_all_0
https://ror.org/05f16n416,names_1_lang,en,names_0_lang
https://ror.org/01nyadv46,external_ids_0_preferred,grid.436284.f,external_ids_0_all_0
https://ror.org/03jzzxg14,external_ids_0_preferred,Q17028004,external_ids_0_all_0
https://ror.org/03jzzxg14,relationships_2_type,predecessor,relationships_1_type
https://ror.org/00s1ckt27,external_ids_0_preferred,grid.424707.2,external_ids_0_all_0
https://ror.org/00s1ckt27,names_3_lang,en,names_2_lang
https://ror.org/00s1ckt27,names_4_lang,en,names_2_lang
https://ror.org/00s1ckt27,names_5_lang,en,names_2_lang
https://ror.org/03rsgdh53,external_ids_0_preferred,grid.506014.6,external_ids_0_all_0
https://ror.org/03rsgdh53,names_2_lang,en,names_1_lang
https://ror.org/0526p1y61,external_ids_0_preferred,100006225,external_ids_0_all_0
https://ror.org/0526p1y61,external_ids_1_preferred,grid.410547.3,external_ids_1_all_0
https://ror.org/03m2x1q45,external_ids_0_preferred,100019981,external_ids_0_all_6
https://ror.org/03m2x1q45,external_ids_1_preferred,grid.134563.6,external_ids_1_all_0
https://ror.org/03m2x1q45,relationships_1_type,child,relationships_0_type
https://ror.org/03m2x1q45,relationships_2_type,child,relationships_0_type
https://ror.org/03m2x1q45,relationships_5_type,related,relationships_4_type
https://ror.org/03m2x1q45,relationships_6_type,related,relationships_4_type
https://ror.org/03m2x1q45,relationships_7_type,related,relationships_4_type
https://ror.org/03m2x1q45,relationships_8_type,related,relationships_4_type
