html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/02mpq6x41,,,,,,,https://www.uic.edu,,uic.edu,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/03swz6y49,,,,,,,https://www.gov.br/cnpq/pt-br,,cnpq.br,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/04tagjk85,,,,,,,https://www.scp.nl,,scp.nl,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/01ggsp920,,,,,,,https://www.cing.ac.cy,,cing.ac.cy,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/05v7fvh88,,,,,,,https://www.gsmd.ac.uk,,gsmd.ac.uk,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/03h1hsz49,,,,,,,,,utia.cas.cz,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/053tsx367,,,,,,,https://swov.nl,,swov.nl,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/01hxbnq19,,,,,,,,,itam.cas.cz,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/04twxam07,,,,,,,https://www.mdanderson.org,,mdanderson.org,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/034p36h22,,,,,,,,,sdada.edu.cn,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/0108wjw08,,,,,,,https://www.ahjzu.edu.cn,,ahjzu.edu.cn,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/00q4vv597,,,,,,,https://hkust.edu.hk,,ust.hk; hkust.edu.hk,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/017afg044,,,,,,,,,svkpk.cz,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/016tfm930,,,,,,,https://www.utmb.edu,,utmb.edu,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/03gq9pd80,,,,,,,https://www.ifg.edu.br,,ifg.edu.br,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/008p1v134,,,,,,,,,ifrs.edu.br,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/0009eqg37,,,,,,,https://portal1.iff.edu.br,,iff.edu.br,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/0290wsh42,,,,,,,,,iusspavia.it,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/0597jba28,,,,,,,,,iscac.pt,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/04y4t7k95,,,,,,,,,ogs.it,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/048m81442,,,,,,,https://www.niesr.ac.uk,,niesr.ac.uk,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/047426m28,,,,,,,https://illinois.edu,,illinois.edu,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/03d187f57,,,,,,,https://utcb.ro,,utcb.ro,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/01b6kha49,,,,,,,https://www.wehi.edu.au,,wehi.edu.au,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/03jdxdk20,,,,,,,https://www.crs4.it,,crs4.it,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/03gng8t46,,,,,,,https://www.bmbwf.gv.at,,bmbwf.gv.at,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/043j0f473,,,,,,,,,dzne.de,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/02jhqqg57,,,,,,,https://www.isas.de,,isas.de,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/0208vgz68,,,,,,,,,lut.fi,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/046pqvy32,,,,,,,,,vpa.ac.lk,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/041j8js14,,,,,,,https://www.qust.edu.cn,,qust.edu.cn,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/018rbtf37,,,,,,,https://tust.edu.cn,,tust.edu.cn,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/01fqhas03,,,,,,,,,crescent.education,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/01gb8pc70,,,,,,,https://www.uwstout.edu,,uwstout.edu,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/01ndzg854,,,,,,,,,xjust.edu.cn,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/05pq4yn02,,,,,,,,,bc.cas.cz,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/018hy5194,,,,,,,,,soc.cas.cz,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/02f6dcw23,,,,,,,https://www.uthscsa.edu,,uthscsa.edu,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/03qp1eh12,,,,,,,https://www.nirt.res.in,,nirt.res.in,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/017ahwm60,,,,,,,https://www.preston.ac.uk,,preston.ac.uk,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/047swcp54,,,,,,,https://www.guildford.ac.uk,,guildford.ac.uk,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/02pz16m08,,,,,,,https://www.swupl.edu.cn,,swupl.edu.cn,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/01jw0fq74,,,,,,,https://grimsby.ac.uk,,grimsby.ac.uk,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/01c3rrh15,,,,,,,,,elettra.eu,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/05hbexn54,,,,,,,https://www.uwgb.edu,,uwgb.edu,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/056m91h77,,,,,,,https://www.snut.edu.cn,,snut.edu.cn,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/0281dp749,,,,,,,https://www.helmholtz.de,,helmholtz.de,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/01mrfdz82,,,,,,,,,tamucc.edu,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/049hrzs50,,,,,,,https://www.uww.edu,,uww.edu,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/01k4yrm29,,,,,,,https://kisti.re.kr,,kisti.re.kr,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/15097,https://ror.org/04xnqep60,,,,,,,,,bistu.edu.cn,,,,,,,,,,,,
