html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,NID
,https://ror.org/037hd3x76,Hyogo College*en,active,education,ヒョウゴ ダイガク タンキ ダイガクブ*ja;Hyogo Daigaku Tanki Daigakubu*ja,Hyogo College*en;兵庫大学短期大学部*ja,,https://www.hyogo-dai.ac.jp/department/junior/,,,,,,,,,,,,Kakogawa,Japan,1860704,NID201200619679109
,https://ror.org/00x3jzn88,Japan Institute of Energy*en,active,facility,,Japan Institute of Energy*en;一般社団法人日本エネルギー学会*ja,,https://www.jie.or.jp,,jie.or.jp,,,,,,,,,,Tokyo,Japan,1850147,NID201200398729019
,https://ror.org/03ws9bs22,Ajinomoto Dietary Culture Center*en,active,facility,味の素食の文化センター*ja,Ajinomoto Dietary Culture Center*en;公益財団法人味の素食の文化センター*ja,,https://www.syokubunka.or.jp,,,,,,,,,,,,Tokyo,Japan,1850147,NID201200469571361
,https://ror.org/04g9zpa43,S. C. Institute of Health Science and Research*en,active,facility,Saitamashi Kenko Kagaku Kenkyu Senta*ja;サイタマシ ケンコウ カガク ケンキュウ センター*ja;Saitama City Institute of Health Science and Research*en,S. C. Institute of Health Science and Research*en;さいたま市健康科学研究センター*ja,,https://www.city.saitama.lg.jp/008/016/008/index.html,,,,,,,,,,,,Saitama City,Japan,6940394,NID201200608993218
,https://ror.org/00sq42p81,Institute for Animal Science*en,inactive,facility,家畜学研究所*ja,Institute for Animal Science*en;一般財団法人家畜学研究所*ja,,,,,,,,,,,,,,Shitara,Japan,1851751,NID201200086579555
,https://ror.org/05qemrn04,Tokyo Metropolitan College of Industrial Technology*en,active,education,トウキョウ トリツ サンギョウ ギジュツ コウトウ センモン ガッコウ*ja;Tokyo Toritsu Sangyo Gijutsu Koto Senmon Gakko*ja,Tokyo Metropolitan College of Industrial Technology*en;東京都立産業技術高等専門学校*ja,,https://www.metro-cit.ac.jp,,metro-cit.ac.jp,,,,,,,,,,Tokyo,Japan,1850147,NID201200581045542
,https://ror.org/01xcq4388,Japan Health & Research Institute*en,active,facility,Japan Health and Research Institute*en;日本健康開発財団*ja,Japan Health & Research Institute*en;一般財団法人日本健康開発財団*ja,,https://www.jph-ri.or.jp,,jph-ri.or.jp,,,,,,,,,,Tokyo,Japan,1850147,NID201200887026652
,https://ror.org/050ybep11,Federation of National Public Service Personnel Mutual Aid Associations*en,active,nonprofit,Kokka Komuin Kyosai Kumiai Rengokai*ja;コッカ コウムイン キョウサイ クミアイ レンゴウカイ*ja,Federation of National Public Service Personnel Mutual Aid Associations*en;国家公務員共済組合連合会*ja,,https://www.kkr.or.jp,,kkr.or.jp,,,,,,,,,,Tokyo,Japan,1850147,NID201200673738116
,https://ror.org/040r16a68,Construction Research Institute*en,active,facility,建設物価調査会*ja,Construction Research Institute*en;一般財団法人建設物価調査会*ja,,https://www.kensetu-bukka.or.jp,,kensetu-bukka.or.jp,,,,,,,,,,Tokyo,Japan,1850147,NID201200762006315
,https://ror.org/0458zsr51,Sanshikai Toho Hospital*en,active,healthcare,Toho Hospital*en,Sanshikai Toho Hospital*en;医療法人社団三思会東邦病院*ja,,https://www.toho-hp.jp,,toho-hp.jp,,,,,,,,,,Midori,Japan,6822155,NID201200950607658
