Record ID,Name of org in Record ID,Related ID,Name of org in Related ID,Relationship of Related ID to Record ID,Current location of Related ID
https://ror.org/022nkr288,Okayama College,https://ror.org/04t9wmk29,Okayama Gakuin University,Parent,Production
https://ror.org/04t9wmk29,Okayama Gakuin University,https://ror.org/022nkr288,Okayama College,Child,Release
https://ror.org/027wsbc40,Kyorin University Suginami Hospital,https://ror.org/0188yz413,Kyorin University,Parent,Production
https://ror.org/0188yz413,Kyorin University,https://ror.org/027wsbc40,Kyorin University Suginami Hospital,Child,Release
https://ror.org/040j99w46,Osaka College of Music Junior College,https://ror.org/02rvr7q96,Osaka College of Music,Parent,Production
https://ror.org/02rvr7q96,Osaka College of Music,https://ror.org/040j99w46,Osaka College of Music Junior College,Child,Release
https://ror.org/01641cv78,Soka Women's College,https://ror.org/003qdfg20,Soka University,Parent,Production
https://ror.org/003qdfg20,Soka University,https://ror.org/01641cv78,Soka Women's College,Child,Release
https://ror.org/006pvs224,Hirosaki University of Health and Welfare Junior College,https://ror.org/05cpcfk84,Hirosaki University of Health and Welfare,Parent,Production
https://ror.org/05cpcfk84,Hirosaki University of Health and Welfare,https://ror.org/006pvs224,Hirosaki University of Health and Welfare Junior College,Child,Release
https://ror.org/04me52195,Kyoto Junior College of Foreign Languages,https://ror.org/051v5t493,Kyoto University of Foreign Studies,Parent,Production
https://ror.org/051v5t493,Kyoto University of Foreign Studies,https://ror.org/04me52195,Kyoto Junior College of Foreign Languages,Child,Release
https://ror.org/01n71w067,Biwako Gakuin University Junior College,https://ror.org/04n9sp567,Biwako Gakuin University,Parent,Production
https://ror.org/04n9sp567,Biwako Gakuin University,https://ror.org/01n71w067,Biwako Gakuin University Junior College,Child,Release
