html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
NID201200446185581,https://ror.org/004dwjp24,The Institute of Oriental Philosophy*en,active,nonprofit,Institute of Oriental Philosophy*en;東洋哲学研究所*ja,The Institute of Oriental Philosophy*en;公益財団法人東洋哲学研究所*ja,,https://www.totetu.org,,totetu.org,,,,,,,,,,Hachioji,Japan,1863440
NID201200121070180,https://ror.org/01jmqsj15,Nagasaki Nursing Association*en,active,nonprofit,,Nagasaki Nursing Association*en;公益社団法人長崎県看護協会*ja,,https://nagasaki-nurse.or.jp,,nagasaki-nurse.or.jp,,,,,,,,,,Isahaya,Japan,1861464
NID201200654675621,https://ror.org/04zbcdm10,The Zoological Society of Japan*en,active,nonprofit,Zoological Society of Japan*en,The Zoological Society of Japan*en;公益社団法人日本動物学会*ja,,http://www.zoology.or.jp,,zoology.or.jp,,,,,,,,,,Tokyo,Japan,1850147
NID201200685646005,https://ror.org/04e764k96,Japan Society of Corrosion Engineering*en,active,nonprofit,,Japan Society of Corrosion Engineering*en;公益社団法人腐食防食学会*ja,,https://www.jcorr.or.jp,,jcorr.or.jp,,,,,,,,,,Tokyo,Japan,1850147
NID201200666949662,https://ror.org/01ph0pk09,Japan Arts Council*en,active,government,,Japan Arts Council*en;独立行政法人日本芸術文化振興会*ja,,https://www.ntj.jac.go.jp,,ntj.jac.go.jp,,,,,,,,,,Tokyo,Japan,1850147
NID201200059303527,https://ror.org/003aydv21,Iwate Prefectural Ichinohe Hospital*en,active,healthcare,,Iwate Prefectural Ichinohe Hospital*en;岩手県立一戸病院*ja,,http://www.ichinohe-hp.com,,ichinohe-hp.com,,,,,,,,,,Ichinohe,Japan,2129961
NID201200768727568,https://ror.org/0516ek610,Tottori Prefectural Education Center*en,active,government,,Tottori Prefectural Education Center*en;鳥取県教育センター*ja,,https://www.pref.tottori.lg.jp/kyoikucenter/,,,,,,,,,,,,Tottori-shi,Japan,1849892
NID201200820174552,https://ror.org/008740n09,Humanitec Junior College*en,active,education,ユマニテク タンキ ダイガク*ja;Yumaniteku Tanki Daigaku*ja,Humanitec Junior College*en;ユマニテク短期大学*ja,,https://www.jc-humanitec.ac.jp,,jc-humanitec.ac.jp,,,,,,,,,,Yokkaichi,Japan,1848373
NID201200141869289,https://ror.org/04dav1h78,Tada Tomohiro The Institute of Gastroenterology & Proctology*en,active,healthcare,,Tada Tomohiro The Institute of Gastroenterology & Proctology*en;ただともひろ胃腸科肛門科*ja,,https://www.tada-endoscope.com,,tada-endoscope.com,,,,,,,,,,Saitama,Japan,6940394
NID201200573933101,https://ror.org/017g9a849,Foundation for MultiMedia Communications*en,active,nonprofit,マルチメディア振興センター*ja,Foundation for MultiMedia Communications*en;一般財団法人マルチメディア振興センター*ja,,https://www.fmmc.or.jp,,fmmc.or.jp,,,,,,,,,,Tokyo,Japan,1850147
NID201200643674055,https://ror.org/02kjypr98,The Foundation for the Promotion of Industrial Science*en,active,nonprofit,Foundation for the Promotion of Industrial Science*en;生産技術研究奨励会*ja,The Foundation for the Promotion of Industrial Science*en;一般財団法人生産技術研究奨励会*ja,,http://www.iis.u-tokyo.ac.jp/shourei/,,,,,,,,,,,,Tokyo,Japan,1850147
NID201200757994900,https://ror.org/00wchgj69,Nagano Society for the Promotion of Science*en,active,nonprofit,Foundation Nagano Society for the Promotion of Science*en;長野県科学振興会*ja,Nagano Society for the Promotion of Science*en;一般財団法人長野県科学振興会*ja,,http://w2.avis.ne.jp/~nkagaku/,,,,,,,,,,,,Nagano,Japan,1856215
NID201200675565497,https://ror.org/0304xxk68,Japan Recreation And Miscellaneous Goods Safety Laboratory*en,active,nonprofit,日本文化用品安全試験所*ja,Japan Recreation And Miscellaneous Goods Safety Laboratory*en;一般財団法人日本文化用品安全試験所*ja,,https://www.mgsl.or.jp,,mgsl.or.jp,,,,,,,,,,Tokyo,Japan,1850147
NID201200406579618,https://ror.org/0503rna79,National Surimi Manufacturers Association*en,active,nonprofit,,National Surimi Manufacturers Association*en;一般社団法人全国すり身協会*ja,,https://surimi.org,,surimi.org,,,,,,,,,,Abashiri,Japan,2130741
NID201200575972566,https://ror.org/04b6xwk80,Japan Electronics and Information Technology Industries Association*en,active,nonprofit,,Japan Electronics and Information Technology Industries Association*en;一般社団法人電子情報技術産業協会*ja,,https://www.jeita.or.jp,,jeita.or.jp,,,,,,,,,,Tokyo,Japan,1850147
NID201200293681403,https://ror.org/04ma40g91,Japan Robot Association*en,active,nonprofit,,Japan Robot Association*en;一般社団法人日本ロボット工業会*ja,,https://www.jara.jp,,jara.jp,,,,,,,,,,Tokyo,Japan,1850147
NID201200023983409,https://ror.org/04kmb0727,Stem Cell Evaluation Technology Research Association*en,active,nonprofit,,Stem Cell Evaluation Technology Research Association*en;幹細胞評価基盤技術研究組合*ja,,,,,,,,,,,,,,Tokyo,Japan,1850147
