html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,parent_relationships,related_relationships,successor_relationships
,https://ror.org/02kdcg676,Museu de Arte Arquitetura e Tecnologia*pt,active,archive,,Museu de Arte Arquitetura e Tecnologia*pt,,MAAT*pt,https://www.maat.pt,,maat.pt,,,,,,0000 0004 9340 0897,0000 0004 9340 0897,,,Lisboa,Portugal,2267057,,,
,https://ror.org/019nshe08,Museu Nacional Soares dos Reis*pt,active,archive,,Museu Nacional Soares dos Reis*pt,,,https://museusoaresdosreis.gov.pt,https://en.wikipedia.org/wiki/Soares_dos_Reis_National_Museum,museusoaresdosreis.gov.pt,,,,,,0000 0001 2152 4709,0000 0001 2152 4709,Q1141468,Q1141468,Porto,Portugal,2735943,,,
,https://ror.org/04p8h4609,Arquivo Histórico Municipal do Porto*pt,active,archive,,Arquivo Histórico Municipal do Porto*pt,,,https://gisaweb.cm-porto.pt,,gisaweb.cm-porto.pt,,,,,,0000 0004 9340 0504,0000 0004 9340 0504,,,Porto,Portugal,2735943,,,
,https://ror.org/030bj1s48,Arquivo Municipal de Lisboa*pt,active,archive,,Arquivo Municipal de Lisboa*pt,,,https://arquivomunicipal.lisboa.pt,,arquivomunicipal.lisboa.pt,,,,,,0000 0000 9907 1845,0000 0000 9907 1845,,,Lisboa,Portugal,2267057,,,
,https://ror.org/02y7f0c04,Assembleia da República Biblioteca Passos Manuel*pt,active,archive,,Assembleia da República Biblioteca Passos Manuel*pt,,,https://www.parlamento.pt/parlamento/paginas/bibliotecapassosmanuel.aspx,,,,,,,,0000 0005 0844 1836,0000 0005 0844 1836,,,Lisboa,Portugal,2267057,,,
,https://ror.org/04pa29242,Biblioteca da Ajuda*pt,active,archive,,Biblioteca da Ajuda*pt,,,https://bibliotecaajuda.bnportugal.gov.pt,,bibliotecaajuda.bnportugal.gov.pt,,,,,,0000 0005 1081 1584,0000 0005 1081 1584,,,Lisboa,Portugal,2267057,,,
,https://ror.org/03j6cgd89,Biblioteca de Arte Gulbenkian*pt,active,archive,,Biblioteca de Arte Gulbenkian*pt,,,https://gulbenkian.pt/biblioteca-arte/,,,,,,,,0000 0004 7872 5992,0000 0004 7872 5992,,,Lisboa,Portugal,2267057,,,
,https://ror.org/017axx893,Biblioteca do Conhecimento Online*pt,active,archive,,Biblioteca do Conhecimento Online*pt,,B-on*pt,https://www.b-on.pt,,b-on.pt,,,,,,0000 0004 0483 095X,0000 0004 0483 095X,,,Lisboa,Portugal,2267057,,,
,https://ror.org/03vp28b81,Biblioteca Municipal Almeida Garrett*pt,active,archive,,Biblioteca Municipal Almeida Garrett*pt,,,https://bmp.cm-porto.pt/bmag,,,,,,,,0000 0005 1228 1177,0000 0005 1228 1177,,,Porto,Portugal,2735943,,,
,https://ror.org/004s7zp13,Biblioteca Municipal de Santa Maria da Feira*pt,active,archive,,Biblioteca Municipal de Santa Maria da Feira*pt,,,http://www.biblioteca.cm-feira.pt,,biblioteca.cm-feira.pt,,,,,,0000 0004 9129 4955,0000 0004 9129 4955,,,Santa Maria Da Feira,Portugal,8010421,,,
,https://ror.org/03tq5ma70,Biblioteca Pública e Arquivo Regional de Ponta Delgada*pt,active,archive,,Biblioteca Pública e Arquivo Regional de Ponta Delgada*pt,,,https://bparpd.azores.gov.pt,,bparpd.azores.gov.pt,,,,,,0000 0005 0629 2259,0000 0005 0629 2259,,,Ponta Delgada,Portugal,6941014,https://ror.org/011pctb02,,
,https://ror.org/041945v60,Cinemateca Portuguesa Museu do Cinema*pt,active,archive,,Cinemateca Portuguesa Museu do Cinema*pt,,,https://www.cinemateca.pt,,cinemateca.pt,,,,,,0000 0001 2350 4218,0000 0001 2350 4218,,,Lisboa,Portugal,2267057,,,
,https://ror.org/00zvh0k30,Museu Carlos Machado*pt,active,archive,,Museu Carlos Machado*pt,,,https://museucarlosmachado.azores.gov.pt,,museucarlosmachado.azores.gov.pt,,,,,,0000 0004 6418 3790,0000 0004 6418 3790,Q10333422,Q10333422,Ponta Delgada,Portugal,6941014,https://ror.org/049zrp193,,
,https://ror.org/00sddyf72,Museu de Arte Contemporânea de Elvas*en,active,archive,,Museu de Arte Contemporânea de Elvas*en,,MACE*en,https://col-antoniocachola.com,,col-antoniocachola.com,,,,,,0000 0005 1090 4078,0000 0005 1090 4078,Q10333755,Q10333755,Elvas,Portugal,2268615,,,
,https://ror.org/00jwkzj28,Museu de Arte Contemporânea de Serralves*en,active,archive,,Museu de Arte Contemporânea de Serralves*en,,,https://www.serralves.pt,,serralves.pt,,,,,,0000 0005 0631 5596,0000 0005 0631 5596,Q1954380,Q1954380,Porto,Portugal,2735943,,,
,https://ror.org/03hm05b86,Museu do Abade de Baçal*pt,active,archive,,Museu do Abade de Baçal*pt,,,https://www.museuabadebacal.gov.pt,,museuabadebacal.gov.pt,,,,,,0000 0001 2160 1655,0000 0001 2160 1655,Q10333875,Q10333875,Bragança,Portugal,2742026,,,
,https://ror.org/02sm0ej21,Museu Doutor Joaquim Manso*pt,active,archive,,Museu Doutor Joaquim Manso*pt,,,https://mdjm-nazare.blogspot.com,,mdjm-nazare.blogspot.com,,,,,,0000 0004 6419 0560,0000 0004 6419 0560,,,Nazaré,Portugal,2265552,,,
,https://ror.org/01shbcv79,Museu Monográfico de Conimbriga*pt,active,archive,,Museu Monográfico de Conimbriga*pt,,,https://www.conimbriga.pt,,conimbriga.pt,,,,,,0000 0001 2326 3119,0000 0001 2326 3119,Q10333548,Q10333548,Condeixa-a-Nova,Portugal,2740593,,,
,https://ror.org/03egzhv07,Museu Municipal Amadeo de Souza-Cardoso*pt,active,archive,,Museu Municipal Amadeo de Souza-Cardoso*pt,,,http://www.amadeosouza-cardoso.pt,,amadeosouza-cardoso.pt,,,,,,0000 0004 9339 9961,0000 0004 9339 9961,Q30128336,Q30128336,Amarante,Portugal,2742965,,,
