html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,parent_relationships,child_relationships,related_relationships
,https://ror.org/02p2qrw13,,,replace==government;funder,add==宁夏水利厅*zh,add==宁夏回族自治区水利厅*zh,,replace==https://slt.nx.gov.cn,,add==slt.nx.gov.cn,,,,,,,,,,,,,,,
,https://ror.org/0449jya45,,,,,,,replace==http://nx.cma.gov.cn,,add==nx.cma.gov.cn,,,,,,,,,,,,,,,
,https://ror.org/029w34q36,,,,add==宁夏地震局*zh,add==宁夏回族自治区地震局*zh,,replace==https://www.nxdzj.gov.cn,https://zh.wikipedia.org/wiki/%E5%AE%81%E5%A4%8F%E5%9B%9E%E6%97%8F%E8%87%AA%E6%B2%BB%E5%8C%BA%E5%9C%B0%E9%9C%87%E5%B1%80,add==nxdzj.gov.cn,,,,,,,,,,,,,https://ror.org/045sza929,,
,https://ror.org/04ww2n633,replace==Fushun Seismological Bureau*en,,,,replace==Fushun Seismological Bureau*en;抚顺市地震局*zh,,,,,,,,,,,,,,,,,https://ror.org/045sza929,,
,https://ror.org/0146tv827,,,replace==government;funder,,,,,,,,,,,,,,,,,,,https://ror.org/045sza929,,
,https://ror.org/011y3sy88,,,,,add==张家口市科学技术和地震局*zh,,,,,,,,,,,,,,,,,https://ror.org/045sza929,,
,https://ror.org/03jb7qa21,,,replace==government;funder,,,,,,,,,,,,,,,,,,,https://ror.org/045sza929,,
,https://ror.org/017n8df75,replace==Shenzhen Science and Technology Innovation Commission*en,,,add==深圳市科技创新委员会*zh;Shenzhen Science and Technology Innovation Committee*en;Shenzhen Municipal Science and Technology Innovation Council*en,replace==Shenzhen Science and Technology Innovation Commission*en;深圳市科技创新局*zh,,replace==https://stic.sz.gov.cn,,add==stic.sz.gov.cn,,add==501100013093,,,,,,,,,,,https://ror.org/05rcfc739,,
,https://ror.org/05s6mpv98,,,,,,,,,,,add==501100011382,,,,,,,,,,,,,
,https://ror.org/027s68j25,,,,,,,,,,,add==501100010261,,,,,,,,,,,,,
,https://ror.org/004svx814,,,,,,,,,,,add==501100012246,,,,,,,,,,,,,
,https://ror.org/00bsdxt65,,,add==funder,add==International Science and Technology Cooperation Programme*en,,,,,,,add==501100012326,,,,,,,,,,,,,
,https://ror.org/00xvf9d29,,,,,,,,,,,add==501100013066,,,,,,,,,,,,,
,https://ror.org/012m7k033,,,,,,,,,,,add==501100009558,,,,,,,,,,,,,
,https://ror.org/01e70gy59,,,,,,,,,,,add==501100017668,,,,,,,,,,,,,
,https://ror.org/01h0zpd94,,,,,,,,,,,add==501100010909;501100005153,,,,,,,,,,,,,
,https://ror.org/01mv9t934,,,,,,,replace==http://www.moe.gov.cn,,add==moe.gov.cn,,add==501100013286;501100013254;501100003181;501100013314,,,,,,,,,,,,,
,https://ror.org/01skt4w74,,,,,,,,,,,add==501100012236,,,,,,,,,,,,,
,https://ror.org/027s68j25,,,,,,,,,,,add==501100013076;501100012165;501100012164;501100011395;501100012336;501100012149;501100017630,,,,,,,,,,,,,
