html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
,https://ror.org/0008vp155,,,,,,,,,,,add==100020040,100020040,,,,,,,,,
,https://ror.org/000e0be47,,,,,,,,,,,add==100011755;100011764;100017796,,,,,,,,,,
,https://ror.org/0014fb593,,,,,,,,,,,add==501100010746,501100010746,,,,,,,,,
,https://ror.org/001gpfp45,,,,,,,,,,,add==100017095,,,,,,,,,,
,https://ror.org/001tmjg57,,,,,,,,,,,add==100016148;100019286;100019288;100019289;100020363,,,,,,,,,,
,https://ror.org/00240q980,,,,,,,,,,,add==501100015490;501100019106,,,,,,,,,,
,https://ror.org/00286hs46,,,,,,,,,,,add==100020528,,,,,,,,,,
,https://ror.org/002h8g185,,,,,,,,,,,add==501100023395,,,,,,,,,,
,https://ror.org/002k5fe57,,,,,,,,,,,add==100016819;501100016300,,,,,,,,,,
,https://ror.org/0030zas98,,,,,,,,,,,add==501100014819;501100022174,,,,,,,,,,
,https://ror.org/0034eez47,,,,,,,,,,,add==100021112,100021112,,,,,,,,,
,https://ror.org/0034me914,,,,,,,,,,,add==100020625,100020625,,,,,,,,,
,https://ror.org/00377k374,,,,,,,,,,,add==501100023475,501100023475,,,,,,,,,
,https://ror.org/003hsr719,,,,,,,,,,,add==501100023732;501100023734,,,,,,,,,,
,https://ror.org/003kmcj19,,,,,,,,,,,add==501100020309,501100020309,,,,,,,,,
,https://ror.org/0040r6f76,,,,,,,,,,,add==501100007721,,,,,,,,,,
,https://ror.org/0043h8f16,,,,,,,,,,,add==100011412,,,,,,,,,,
,https://ror.org/0049xax05,,,,,,,,,,,add==100022776,100022776,,,,,,,,,
,https://ror.org/004y7f915,,,,,,,,,,,add==100020173,100020173,,,,,,,,,
,https://ror.org/005616b46,,,,,,,,,,,add==501100009667,501100009667,,,,,,,,,
,https://ror.org/005t7z309,,,,,,,,,,,add==501100019770,501100019770,,,,,,,,,
,https://ror.org/005teat46,,,,,,,,,,,add==100011995,100011995,,,,,,,,,
,https://ror.org/005x56091,,,,,,,,,,,add==501100023680,,,,,,,,,,
,https://ror.org/006b2g567,,,,,,,,,,,add==100013199,,,,,,,,,,
,https://ror.org/006c8a128,,,,,,,,,,,add==501100007749,,,,,,,,,,
,https://ror.org/006e4ws51,,,,,,,,,,,add==501100010333,501100010333,,,,,,,,,
,https://ror.org/006hf6230,,,,,,,,,,,add==501100009404,,,,,,,,,,
,https://ror.org/0072zz521,,,,,,,,,,,add==100013647,,,,,,,,,,
,https://ror.org/008d1xp69,,,,,,,,,,,add==501100004940,,,,,,,,,,
,https://ror.org/008g9ns82,,,,,,,,,,,add==100022866,100022866,,,,,,,,,
,https://ror.org/008p1v134,,,,,,,,,,,add==100020404,100020404,,,,,,,,,
,https://ror.org/008s83205,,,,,,,,,,,add==100011488;100016455,,,,,,,,,,
,https://ror.org/008y4p075,,,,,,,,,,,add==501100009764,501100009764,,,,,,,,,
,https://ror.org/0091vmj44,,,,,,,,,,,add==100020481,100020481,,,,,,,,,
,https://ror.org/00925cq50,,,,,,,,,,,add==501100015030,501100015030,,,,,,,,,
,https://ror.org/00965bg92,,,,,,,,,,,add==501100023792,501100023792,,,,,,,,,
,https://ror.org/0097mvx21,,,,,,,,,,,add==501100016121,,,,,,,,,,
,https://ror.org/00986na66,,,,,,,,,,,add==100019345,100019345,,,,,,,,,
,https://ror.org/009xwd568,,,,,,,,,,,add==501100021092,,,,,,,,,,
,https://ror.org/00a0n9e72,,,,,,,,,,,add==501100014531;501100020871,,,,,,,,,,
,https://ror.org/00ay7va13,,,,,,,,,,,add==100013147,,,,,,,,,,
,https://ror.org/00b140761,,,,,,,,,,,add==501100016005,,,,,,,,,,
,https://ror.org/00b30xv10,,,,,,,,,,,add==100017303,,,,,,,,,,
,https://ror.org/00b57ws56,,,,,,,,,,,add==100012916,100012916,,,,,,,,,
,https://ror.org/00bfm8s22,,,,,,,,,,,add==501100021215,501100021215,,,,,,,,,
,https://ror.org/00bgtad15,,,,,,,,,,,add==100020703,,,,,,,,,,
,https://ror.org/00c5q9r49,,,,,,,,,,,add==100020566,100020566,,,,,,,,,
,https://ror.org/00cvxb145,,,,,,,,,,,add==100011248;100011276;100011867;100012374;100012375;100013039;100013222;100013347;100014234;100014466;100014963;100017507;100019039;100019191,,,,,,,,,,
,https://ror.org/00dmfq477,,,,,,,,,,,add==100014807,,,,,,,,,,
,https://ror.org/00dpnh189,,,,,,,,,,,add==100020451,100020451,,,,,,,,,
,https://ror.org/00e5k0821,,,,,,,,,,,add==100014958;100020770,,,,,,,,,,
,https://ror.org/00e9kx775,,,,,,,,,,,add==501100016298,501100016298,,,,,,,,,
,https://ror.org/00eae9z71,,,,,,,,,,,add==501100008918,,,,,,,,,,
,https://ror.org/00epmv149,,,,,,,,,,,add==501100010220,,,,,,,,,,
,https://ror.org/00ew3x319,,,,,,,,,,,add==501100020872,501100020872,,,,,,,,,
,https://ror.org/00ew4na22,,,,,,,,,,,add==100019120,100019120,,,,,,,,,
,https://ror.org/00excyz84,,,,,,,,,,,add==100019755,100019755,,,,,,,,,
,https://ror.org/00f54p054,,,,,,,,,,,add==100010863;100010865;100010867;100010868;100010870;100011099;100012502;100013120;100013720;100014373;100014374;100014493;100014494;100014495;100014496;100014498;100014750;100016667;100018793;100020322;100022370,,,,,,,,,,
,https://ror.org/00f7hpc57,,,,,,,,,,,add==501100007947;501100009508,,,,,,,,,,
,https://ror.org/00fc5q271,,,,,,,,,,,add==501100011578,501100011578,,,,,,,,,
,https://ror.org/00fd30e02,,,,,,,,,,,add==100020921,100020921,,,,,,,,,
,https://ror.org/00fgdtt86,,,,,,,,,,,add==100011087,100011087,,,,,,,,,
,https://ror.org/00ghzk478,,,,,,,,,,,add==100012951,100012951,,,,,,,,,
,https://ror.org/00h3d0p13,,,,,,,,,,,add==100012980,100012980,,,,,,,,,
,https://ror.org/00h6p6a20,,,,,,,,,,,add==501100019236,501100019236,,,,,,,,,
,https://ror.org/00h9jrb69,,,,,,,,,,,add==501100010549,,,,,,,,,,
,https://ror.org/00he80998,,,,,,,,,,,add==100015819,,,,,,,,,,
,https://ror.org/00hj54h04,,,,,,,,,,,add==100012370;100012684,,,,,,,,,,
,https://ror.org/00hj8s172,,,,,,,,,,,add==100013758,,,,,,,,,,
,https://ror.org/00hpz7z43,,,,,,,,,,,add==100013659,,,,,,,,,,
,https://ror.org/00hshrf16,,,,,,,,,,,add==501100014743,501100014743,,,,,,,,,
,https://ror.org/00hx57361,,,,,,,,,,,add==100014564,,,,,,,,,,
,https://ror.org/00hy3gq97,,,,,,,,,,,add==501100015550,501100015550,,,,,,,,,
,https://ror.org/00hzjh992,,,,,,,,,,,add==501100020657,501100020657,,,,,,,,,
,https://ror.org/00j6z5f80,,,,,,,,,,,add==100018327,100018327,,,,,,,,,
,https://ror.org/00jb0e673,,,,,,,,,,,add==501100020600,501100020600,,,,,,,,,
,https://ror.org/00jdryp44,,,,,,,,,,,add==501100023918,501100023918,,,,,,,,,
,https://ror.org/00jmfr291,,,,,,,,,,,add==100011631;100012484;100015357;100015711;100019420,,,,,,,,,,
,https://ror.org/00jxnh380,,,,,,,,,,,add==100020553,100020553,,,,,,,,,
,https://ror.org/00ks0ka28,,,,,,,,,,,add==501100011675,,,,,,,,,,
,https://ror.org/00ks66431,,,,,,,,,,,add==501100019674,,,,,,,,,,
,https://ror.org/00ktq1636,,,,,,,,,,,add==501100011816,501100011816,,,,,,,,,
,https://ror.org/00m1rny06,,,,,,,,,,,add==501100013846,,,,,,,,,,
,https://ror.org/00m2s0z68,,,,,,,,,,,add==100013714,,,,,,,,,,
,https://ror.org/00m6w7z96,,,,,,,,,,,add==100011176;100020950,,,,,,,,,,
,https://ror.org/00mkhxb43,,,,,,,,,,,add==100012463,,,,,,,,,,
,https://ror.org/00mwcg389,,,,,,,,,,,add==501100018944,501100018944,,,,,,,,,
,https://ror.org/00n1dhm50,,,,,,,,,,,add==501100011687,501100011687,,,,,,,,,
,https://ror.org/00n1e1p60,,,,,,,,,,,add==501100019703,501100019703,,,,,,,,,
,https://ror.org/00n3pea85,,,,,,,,,,,add==100020955,100020955,,,,,,,,,
,https://ror.org/00n3w3b69,,,,,,,,,,,add==100016271,,,,,,,,,,
,https://ror.org/00n7swc17,,,,,,,,,,,add==100020711,100020711,,,,,,,,,
,https://ror.org/00nfs4461,,,,,,,,,,,add==501100009556,501100009556,,,,,,,,,
,https://ror.org/00py81415,,,,,,,,,,,add==100015191;100017461,,,,,,,,,,
,https://ror.org/00pyevk91,,,,,,,,,,,add==501100018762,501100018762,,,,,,,,,
,https://ror.org/00q32j219,,,,,,,,,,,add==100020968,100020968,,,,,,,,,
,https://ror.org/00qfb4074,,,,,,,,,,,add==100016060,100016060,,,,,,,,,
,https://ror.org/00qhg0338,,,,,,,,,,,add==501100014424,501100014424,,,,,,,,,
,https://ror.org/00rcxh774,,,,,,,,,,,add==501100009983,,,,,,,,,,
,https://ror.org/00rk2pe57,,,,,,,,,,,add==100014036,,,,,,,,,,
,https://ror.org/00rqy9422,,,,,,,,,,,add==501100013359;501100019214,,,,,,,,,,
,https://ror.org/00rrpnq66,,,,,,,,,,,add==100016185,100016185,,,,,,,,,
,https://ror.org/00rs6vg23,,,,,,,,,,,add==100014027;100016523,,,,,,,,,,
,https://ror.org/00rzspn62,,,,,,,,,,,add==501100023431,,,,,,,,,,
,https://ror.org/00s6t1f81,,,,,,,,,,,add==501100020258,,,,,,,,,,
,https://ror.org/00s8fpf52,,,,,,,,,,,add==501100010704,,,,,,,,,,
,https://ror.org/00t33hh48,,,,,,,,,,,add==501100023925,,,,,,,,,,
,https://ror.org/00trqv719,,,,,,,,,,,add==100015425,,,,,,,,,,
,https://ror.org/00tvate34,,,,,,,,,,,add==501100014750,501100014750,,,,,,,,,
,https://ror.org/00ty2a548,,,,,,,,,,,add==100016186,,,,,,,,,,
