ror_id,field,change
https://ror.org/04mhzgx49,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/04mhzgx49,external_ids,"{0: {'all': {insert: [(5, '501100020573'), (6, '501100021796')]}}}"
https://ror.org/005616b46,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/005616b46,external_ids,"{0: {'all': {insert: [(1, '501100009667')]}, 'preferred': [None, '501100009667']}}"
https://ror.org/03prydq77,admin,"{'last_modified': {'date': ['2025-04-03', '2025-05-01']}}"
https://ror.org/03prydq77,external_ids,"{0: {'all': {insert: [(2, '501100012540')]}}}"
https://ror.org/036jqmy94,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/036jqmy94,external_ids,"{0: {'all': {insert: [(5, '100011352'), (6, '100011641'), (7, '100011652'), (8, '100011653'), (9, '100011654'), (10, '100012011'), (11, '100012675'), (12, '100019830')]}}}"
https://ror.org/04abg5t05,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/04abg5t05,external_ids,"{insert: [(0, {'all': ['501100013177'], 'preferred': '501100013177', 'type': 'fundref'})]}"
https://ror.org/01ej9dk98,admin,"{'last_modified': {'date': ['2025-02-26', '2025-05-01']}}"
https://ror.org/01ej9dk98,external_ids,"{0: {'all': {insert: [(7, '501100010647'), (8, '501100015791')]}}}"
https://ror.org/02wn5qz54,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/02wn5qz54,external_ids,"{0: {'all': {insert: [(3, '501100023800')]}}}"
https://ror.org/04dkp1p98,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/04dkp1p98,external_ids,"{insert: [(0, {'all': ['501100018901'], 'preferred': '501100018901', 'type': 'fundref'})]}"
https://ror.org/03bw8ys89,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/03bw8ys89,external_ids,"{0: {'all': {insert: [(1, '100012123')]}}}"
https://ror.org/04bs0e027,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/04bs0e027,external_ids,"{0: {'all': {insert: [(1, '100015566')]}}}"
https://ror.org/02sc3r913,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/02sc3r913,external_ids,"{0: {'all': {insert: [(3, '501100014673')]}}}"
https://ror.org/03tdcw665,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/03tdcw665,external_ids,"{insert: [(0, {'all': ['501100022332'], 'preferred': '501100022332', 'type': 'fundref'})]}"
https://ror.org/04dp81f27,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/04dp81f27,external_ids,"{insert: [(0, {'all': ['501100016218'], 'preferred': '501100016218', 'type': 'fundref'})]}"
https://ror.org/01h21cs69,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/01h21cs69,external_ids,"{insert: [(0, {'all': ['501100022181'], 'preferred': '501100022181', 'type': 'fundref'})]}"
https://ror.org/01d88se56,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/01d88se56,external_ids,"{0: {'all': {insert: [(2, '100017968')]}}}"
https://ror.org/03rp50x72,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/03rp50x72,external_ids,"{0: {'all': {insert: [(2, '501100010241')]}}}"
https://ror.org/00j6z5f80,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/00j6z5f80,external_ids,"{insert: [(0, {'all': ['100018327'], 'preferred': '100018327', 'type': 'fundref'})]}"
https://ror.org/001gpfp45,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/001gpfp45,external_ids,"{0: {'all': {insert: [(1, '100017095')]}}}"
https://ror.org/05wv2vq37,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/05wv2vq37,external_ids,"{0: {'all': {insert: [(2, '501100013219')]}}}"
