html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
https://github.com/ror-community/ror-updates/issues/20982,https://ror.org/05xmt4746,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/20983,https://ror.org/02p8ayf63,replace==Hainan 301 Hospital*en,,,add==Hainan Branch of People's Liberation Army General Hospital*en; 301海南医院*zh,replace==Hainan 301 Hospital*en; 解放军总医院海南医院*zh,add==PLAGHHN*en,replace==https://www.301hn.cn,,add==301hn.cn,,,,add==grid.508272.a,,,,,,,,
https://github.com/ror-community/ror-updates/issues/19849,https://ror.org/0190ehg68,,,,,,,replace==http://uhmi.org.ua,,add==uhmi.org.ua,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/19847,https://ror.org/02znfhp50,replace==Instituto Federal do Paraná*pt,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/19843,https://ror.org/005k7hp45,,,,replace==Silesian Medical University in Katowice*en; Medical University of Silesia in Katowice*en; Śląski Uniwersytet Medyczny*pl; Slaski Uniwersytet Medyczny w Katowicacha*pl; SUM in Katowice*en,,add==ŚUM*pl,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/19840,https://ror.org/02c8sqt04,,,,,,,,,,,,,,,,,,,,,replace==3416706
https://github.com/ror-community/ror-updates/issues/19838,https://ror.org/0032jvj22,,replace==active,,,,,replace==https://www.regmed.fr,,add==regmed.fr,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/19956,https://ror.org/036d3mg02,replace==Université Président Joseph Kasa-Vubu*fr,,,replace==Université de Kasa-Vubu*fr;Université Joseph Kasa-Vubu*fr;Joseph Kasa-Vubu University*en;UKV-Boma*fr,replace==Université Président Joseph Kasa-Vubu*fr;President Joseph Kasa-Vubu University*en,add==UKV*fr,replace==https://ukv-boma.ac,add==https://fr.wikipedia.org/wiki/Universit%C3%A9_Joseph_Kasa-Vubu,add==ukv-boma.ac,replace==1999,,,,,,,add==Q3551605,replace==Q3551605,,,replace==2316702
https://github.com/ror-community/ror-updates/issues/19979,https://ror.org/00j0rk173,,,,,,,replace==https://www.unimarconi.it,,add==unimarconi.it,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/19974,https://ror.org/00r8amq78,,,,"replace==LIttoral, ENvironnement et Sociétés*fr; UMR LIttoral ENvironnement et Sociétés*fr; UMR 7266",,replace==LIENSs*fr; UMR LIENSs*fr,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/19972,https://ror.org/00mznnx78,,,,,,,replace==https://www.muehlenkreiskliniken.de/auguste-viktoria-klinik,,,,,,,,,,,,,,replace==6557643
https://github.com/ror-community/ror-updates/issues/19833,https://ror.org/01z9q7v15,,,,add==USN Kolaka*id,,delete==USN,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/19834,https://ror.org/046sqxa62,,,,,,,replace==https://icsebre.cat/web/htvc/,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/19839,https://ror.org/00dfbfw84,,,,,replace==Kherson State Maritime Academy*en; Херсонська державна морська академія*uk,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/19897,https://ror.org/059ex5q34,"replace==Secretaría de Ciencia, Humanidades, Tecnología e Innovación*es",,,"replace==Consejo Nacional de Humanidades, Ciencias y Tecnologías*es; Consejo Nacional de Ciencia y Tecnología*es; National Council for the Humanities, Sciences and Technology*en; National Council of Science and Technology*en","replace==Secretaría de Ciencia, Humanidades, Tecnología e Innovación*es; Ministry of Sciences, Humanities, Technology and Innovation*en",,replace==http://secihti.mx,,add==secihti.mx,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/19908,https://ror.org/0266k9652,replace==Mazovian University in Płock*en,,,replace==State School of Higher Professional Education in Płock*en; Państwowa Wyższa Szkoła Zawodowa w Płocku*pl,replace==Mazovian University in Płock*en; Akademια Mazowiecka w Płocku*pl,,replace==https://mazowiecka.edu.pl,,add==mazowiecka.edu.pl,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/19912,https://ror.org/03sf55932,replace==Badji Mokhtar-Annaba University*en,,,,replace==Badji Mokhtar-Annaba University*en; Université Badji Mokhtar-Annaba*fr; جامعة باجي مختار-عنابة*ar,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/19932,https://ror.org/056d27308,replace==Manomet Conservation Sciences*en,,,replace==Manomet Center for Conservation Sciences*en; Manomet Inc.*en; Manomet Bird Observatory*en,replace==Manomet Conservation Sciences*en,,replace==https://www.manomet.org,,add==manomet.org,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/19944,https://ror.org/01gw3vg45,,,,,,,replace==https://kuputv.com,,add==kuputv.com,,,,,,,,,,,,
