html_url,html_url,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
,https://ror.org/023r2mm18,Finnish Association for Aerosol Research*en,active,other,,Finnish Association for Aerosol Research*en; Aerosolitutkimusseura*fi,,https://www.faar.fi,,faar.fi,1983,,,,,0000 0001 1497 7988,0000 0001 1497 7988,Q121598141,Q121598141,Helsinki,Finland,658225
,https://ror.org/031c62s89,Adult Education Research Society*en,active,other,,Adult Education Research Society*en; Aikuiskasvatuksen Tutkimusseura*fi; Forskningssällskapet för vuxenutbildning*sv,,https://aikuiskasvatuksentutkimusseura.fi,,aikuiskasvatuksentutkimusseura.fi,1940,,,,,,,,,Tampere,Finland,634963
,https://ror.org/058c1vz16,Acoustical Society of Finland*en,active,other,,Acoustical Society of Finland*en; Akustinen Seura*fi; Akustiska Sällskapet*sv,,https://www.akustinenseura.fi,,akustinenseura.fi,1943,,,,,,,,,Helsinki,Finland,658225
,https://ror.org/03sdr4558,"The Finnish Association for Alcohol, Drug and Gambling Research*en",active,other,"Finnish Association for Alcohol, Drug and Gambling Research*en","The Finnish Association for Alcohol, Drug and Gambling Research*en; Alkoholi-, huume- ja rahapelitutkimuksen seura ry*fi",,https://ahrseura.fi,,ahrseura.fi,1960,,,,,,,Q121598143,Q121598143,Helsinki,Finland,658225
,https://ror.org/02fbf9x60,Society for Regional and Environmental Studies*en,active,other,,Society for Regional and Environmental Studies*en; Alue- ja Ympäristötutkimuksen Seura*fi; Sällskapet för Regional- och Miljöforskning*sv,,https://www.ays.fi,,ays.fi,1970,,,,,,,Q121598317,Q121598317,Helsinki,Finland,658225
,https://ror.org/03zj2ek66,Finnish Vocational Educational Research Association (FiVERA)*en,active,other,Finnish Vocational Educational Research Association*en,Finnish Vocational Educational Research Association (FiVERA)*en; Ammatillisen koulutuksen tutkimusseura OTTU*fi,OTTU*fi,https://www.ottu.fi,,ottu.fi,1992,,,,,,,Q121598276,Q121598276,Jyväskylä,Finland,655194
,https://ror.org/03jrwss91,Anatomici Fenniae ry*fi,active,other,,Anatomici Fenniae ry*fi,,https://www.anatomicifenniae.fi,,anatomicifenniae.fi,1960,,,,,,,,,Helsinki,Finland,658225
,https://ror.org/00212nd65,Society of Finnish Archivists*en,active,other,,Society of Finnish Archivists*en; Arkistoyhdistys*fi; Arkivföreningen*sv,,https://www.arkistoyhdistys.fi,,arkistoyhdistys.fi,1947,,,,,,,,,Helsinki,Finland,658225
,https://ror.org/03x80wn88,Aue-Foundation*en,active,other,,Aue-Foundation*en; Aue-säätiö*fi; Aue-stiftelse*sv; Aue-Stiftung*de,,https://www.aue-stiftung.org,,aue-stiftung.org,1985,,,,,0000 0001 0660 6140,0000 0001 0660 6140,Q121598278,Q121598278,Helsinki,Finland,658225
,https://ror.org/04d7jwc58,Bibliothecarii Medicinae Fenniae*la,active,other,,Bibliothecarii Medicinae Fenniae*la,,https://www.bmf.fi,,bmf.fi,1980,,,,,,,,,Helsinki,Finland,658225
,https://ror.org/00dm4zp67,BirdLife Finland*en,active,other,,BirdLife Finland*en; BirdLife Suomi*en; BirdLife Finland*sv,,https://www.birdlife.fi,,birdlife.fi,1974,,,,,,,Q42709911,Q42709911,Helsinki,Finland,658225
