html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,
https://github.com/ror-community/ror-updates/issues/1115,https://ror.org/01thpaf59,Janajyoti Multiple Campus*en,active,education,"Janajyoti Multiple Campus, Lalbandi*en",Janajyoti Multiple Campus*en; जनज्योति बहुमुखी क्याम्पस*ne,JMC*en,https://jjmc.edu.np,,jjmc.edu.np,2000,,,,,,,Q135831262,Q135831262,Lalbandi,Nepal,7991950,
https://github.com/ror-community/ror-updates/issues/1710,https://ror.org/00wd5a369,"Guizhou Tuzhi Information Technology Co., Ltd (China)*en",active,company,贵州图智*zh; Gui Zhou Tu Zhi*en,"Guizhou Tuzhi Information Technology Co., Ltd (China)*en; 贵州图智信息技术有限公司*zh; Guizhou Tuzhi Information Technology Co., Ltd*en",GZTZ*en,https://www.ituzhi.com,,ituzhi.com,2016,,,,,,,,,Guiyang,China,1809458,
https://github.com/ror-community/ror-updates/issues/19282,https://ror.org/03k0jyt11,PurePave Technologies Inc. (Canada)*en,active,company,PurePave Technologies*en,PurePave Technologies Inc. (Canada)*en; PurePave Technologies Inc.*en,,https://www.purepave.com,,purepave.com,2012,,,,,,,,,Ottawa,Canada,6094817,
https://github.com/ror-community/ror-updates/issues/23784,https://ror.org/02kqfwm03,Centro Sismológico Nacional*es,active,facility,"Centro Sismológico Nacional (CSN), Universidad de Chile*es; Servicio Sismológico Nacional*es",Centro Sismológico Nacional*es,CSN*es,https://www.csn.uchile.cl,,csn.uchile.cl,1908,,,,,,,,,Santiago,Chile,3871336,
https://github.com/ror-community/ror-updates/issues/23785,https://ror.org/00y11b431,National Atomic Research Institute*en,active,funder; government,,National Atomic Research Institute*en; 國家原子能科技研究院*zh,NARI*en; 國原院*zh,https://www.nari.org.tw,https://en.wikipedia.org/wiki/National_Atomic_Research_Institute,nari.org.tw,2023,,,,,,,Q15909333,Q15909333,Taoyuan,Taiwan,1667900,
https://github.com/ror-community/ror-updates/issues/23789,https://ror.org/029gby321,Nuclear Safety Commission*en,active,government,,Nuclear Safety Commission*en; 核能安全委員會*zh,NSC*en,https://www.nusc.gov.tw,https://en.wikipedia.org/wiki/Nuclear_Safety_Commission_%28Taiwan%29,nusc.gov.tw,2023,,,,,,,Q5972441,Q5972441,New Taipei City,Taiwan,1665148,
https://github.com/ror-community/ror-updates/issues/23788,https://ror.org/012mgrb02,De La Salle Medical and Health Sciences Institute*en,active,education,,De La Salle Medical and Health Sciences Institute*en,DLSMHSI*en,https://www.dlsmhsi.edu.ph,https://en.wikipedia.org/wiki/De_La_Salle_Medical_and_Health_Sciences_Institute,dlsmhsi.edu.ph,2007,,,,,,,Q5244524,Q5244524,Dasmariñas,Philippines,1715430,
https://github.com/ror-community/ror-updates/issues/23518,https://ror.org/01qxykv20,Lanzhou Institute of Technology*en,active,education,兰工院*zh; 兰州工业学校*zh; 兰州工业高等专科学校*zh; 甘肃省工业学校*zh,Lanzhou Institute of Technology*en; 兰州工业学院*zh,,https://www.lzit.edu.cn,https://zh.wikipedia.org/wiki/%E5%85%B0%E5%B7%9E%E5%B7%A5%E4%B8%9A%E5%AD%A6%E9%99%A2,lzit.edu.cn,1962,,,,,0000 0000 9067 0964,0000 0000 9067 0964,Q48936483,Q48936483,Lanzhou,China,1804430,
https://github.com/ror-community/ror-updates/issues/23820,https://ror.org/02ff43k45,Egyptian Drug Authority*en,active,government,,Egyptian Drug Authority*en; هيئة الدواء المصرية*ar,EDA*en,https://edaegypt.gov.eg,https://ar.wikipedia.org/wiki/%D9%87%D9%8A%D8%A6%D8%A9_%D8%A7%D9%84%D8%AF%D9%88%D8%A7%D8%A1_%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%D8%A9,edaegypt.gov.eg,2019,,,,,,,Q100258024,Q100258024,Cairo,Egypt,360630,
https://github.com/ror-community/ror-updates/issues/23822,https://ror.org/05kyfde14,Akhtar Saeed Medical and Dental College*en,active,education,Akhtar Saeed Medical & Dental College*en,Akhtar Saeed Medical and Dental College*en; اختر سعید میڈیکل اینڈ ڈینٹل کالج*ur,AMDC*en,https://amdc.edu.pk,https://ur.wikipedia.org/wiki/%D8%A7%D8%AE%D8%AA%D8%B1_%D8%B3%D8%B9%DB%8C%D8%AF_%D9%85%DB%8C%DA%88%DB%8C%DA%A9%D9%84_%D8%A7%DB%8C%D9%86%DA%88_%DA%88%DB%8C%D9%86%D9%B9%D9%84_%DA%A9%D8%A7%D9%84%D8%AC,amdc.edu.pk,2008,,,,,,,Q4700816,Q4700816,Lahore,Pakistan,1172451,
https://github.com/ror-community/ror-updates/issues/23846,https://ror.org/059kkev78,Saint Joseph College*en,active,education,"Saint Joseph College of Maasin*en; St. Joseph College, Maasin*en",Saint Joseph College*en,SJC*en,https://www.sjc.edu.ph,https://en.wikipedia.org/wiki/Saint_Joseph_College_of_Maasin,sjc.edu.ph,1928,,,,,,,Q7401551,Q7401551,Maasin,Philippines,1704757,
https://github.com/ror-community/ror-updates/issues/23856,https://ror.org/05wq02383,Institute for BioEconomy*en,active,facility,,Institute for BioEconomy*en; Istituto per la BioEconomia*it,IBE,https://www.ibe.cnr.it,,ibe.cnr.it,2019,,,,,,,,,Sesto Fiorentino,Italy,6538566,
