html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,
https://github.com/ror-community/ror-updates/issues/23122,https://ror.org/043zcz508,,replace==withdrawn,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/23746,https://ror.org/05prvhy73,,,,,,,,,,,,,,,replace==0000 0004 6419 0843,replace==0000 0004 6419 0843,,,,,,
https://github.com/ror-community/ror-updates/issues/22460,https://ror.org/05gnvg690,,,,,,,replace==https://www.dcrustm.ac.in,,add==dcrustm.ac.in,,,,,,,,,,,,replace==1262409,
https://github.com/ror-community/ror-updates/issues/22463,https://ror.org/052bnvt46,,,,add==Morocco Graduate Communications Institute*en,,,replace==https://www.inpt.ac.ma,,add==inpt.ac.ma,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22464,https://ror.org/02dnm2t22,,,,,,,replace==https://www.berkeleycitycollege.edu,,add==berkeleycitycollege.edu,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22467,https://ror.org/00y2mbn60,,,,,,,,,add==sksm.edu,,,,,,,,,,,,replace==5378538,
https://github.com/ror-community/ror-updates/issues/22475,https://ror.org/00xws5c14,replace==Centro Cultural de España en El Salvador*es,,,,,,replace==https://ccesv.aecid.es,,add==ccesv.aecid.es,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22481,https://ror.org/00wrnm709,replace==Institut de Mécanique et d'Ingénierie de Bordeaux*fr,,,replace==Institut de Mécanique et d'Ingénierie*fr,replace==Institut de Mécanique et d'Ingénierie de Bordeaux*fr; Institute of Mechanics and Engineering*en,,replace==https://www.i2m.u-bordeaux.fr,,add==i2m.u-bordeaux.fr,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22488,https://ror.org/01shwkq60,,,,delete==Novosibirsk Architectural Institute*en; Novosibirsk State Academy of Architecture and Fine Arts*en,,delete==NARCHI; NSAAFA,replace==https://nsuada.ru,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22492,https://ror.org/00r0qs524,replace==FAIRagro,replace==active,,,replace==FAIRagro; FAIR Data Infrastructure for Agrosystems*en; FAIRe Dateninfrastruktur für die Agrosystemforschung*de,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22550,https://ror.org/004gzqz66,,,,add==UMR 7154*fr; UMR7154*fr,,add==UMR-IPGP*fr,replace==https://www.ipgp.fr,,add==ipgp.fr,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22557,https://ror.org/015yfqq31,,,,,,,replace==https://www.dspt.edu,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22560,https://ror.org/05e2vjj36,,,,,,,replace==https://www.psr.edu,,add==psr.edu,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22563,https://ror.org/039p35x89,,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22571,https://ror.org/00ccpdp17,,,,,,,replace==https://eng-bfp.bordeaux-aquitaine.hub.inrae.fr,,,,,,,,,,add==Q30262493,replace==Q30262493,,,,
https://github.com/ror-community/ror-updates/issues/22574,https://ror.org/03j307b25,,,,add==Observatoire des Sciences de l'Univers de Lyon*fr,,,replace==https://observatoire.univ-lyon1.fr,,add==observatoire.univ-lyon1.fr,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22577,https://ror.org/00k4n6c32,,,,,,,replace==https://commission.europa.eu/index_en,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22583,https://ror.org/016zre027,replace==Ontario Tech University*en,,,replace==University of Ontario Institute of Technology*en,replace==Ontario Tech University*en,,replace==https://ontariotechu.ca,,add==ontariotechu.ca,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22584,https://ror.org/05xqpda80,,,,,,,replace==https://oceanexplorer.noaa.gov,,add==oceanexplorer.noaa.gov,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22585,https://ror.org/030q7x253,replace==Acorn Toys & Goods (United States),replace==withdrawn,,replace==Acorn*en; Acorn Toy Shop*en,replace==Acorn Toys & Goods*en,,replace==https://www.acorntoyshop.com,,add==acorntoyshop.com,,,,,,,,,,,,replace==4951369,
https://github.com/ror-community/ror-updates/issues/22586,https://ror.org/03c1c5b19,,,,replace==NSF GAGE Facility*en; GAGE Facility*en,,replace==GAGE*en,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22590,https://ror.org/00xc1d948,,,,,,,replace==https://uis.edu.co,,add==uis.edu.co,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22598,https://ror.org/04xr5we72,,,,replace==Scientific University of the South*en; Científica*es,,replace==UCSUR*es,replace==https://www.cientifica.edu.pe,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22599,https://ror.org/03twnjp38,,,,add==ইউনিভার্সিটি অফ গ্লোবাল ভিলেজ*bn,replace==University of Global Village (UGV)*en; ইউনিভার্সিটি অফ গ্লোবাল ভিলেজ (ইউজিভি)*bn,add==ইউজিভি*bn,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22603,https://ror.org/00xzzba89,,,,,,,replace==https://www.bordeaux-population-health.center,,add==bordeaux-population-health.center,,,,,,add==0000 0004 8511 8605,replace==0000 0004 8511 8605,,,,,,
https://github.com/ror-community/ror-updates/issues/22614,https://ror.org/02bhp7a56,,,,add==UMR7058; UMR 7058,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22615,https://ror.org/03kcgdd35,replace==Centro Francés de Estudios Mexicanos y Centroamericanos*es,,,add==UAR 3337; UMIFRE-16,replace==Centro Francés de Estudios Mexicanos y Centroamericanos*es; Centre d'études mexicaines et centramericaines*fr,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22620,https://ror.org/00jpzfk69,replace==Kabul Education University*en,,,replace==Kabul Education University of Rabbani*en; د پروفیسور برهان الدین ربانی پوهنتون*ps; پوهنتون شهید پروفیسور برهان الدین ربانی*fa,replace==Kabul Education University*en; پوهنتون تعلیم و تربیه کابل*fa; دکابل د ښوونې او روزنې پوهنتون*ps,,replace==https://keu.edu.af,,add==keu.edu.af,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22633,https://ror.org/01bazpc66,,,,,,,,,,,,,,,,,add==Q132803465,replace==Q132803465,,,,
https://github.com/ror-community/ror-updates/issues/22653,https://ror.org/02yjyfs84,,,,,,,,,,,,,,,add==0000 0004 0550 9586,replace==0000 0004 0550 9586,add==Q111675906,replace==Q111675906,,,,
https://github.com/ror-community/ror-updates/issues/22654,https://ror.org/04b9vrm74,replace==OTH Regensburg*de,,,replace==Regensburg University of Applied Sciences*en; Eastern Bavarian Technical University of Regensburg*en,replace==OTH Regensburg*de; Ostbayerische Technische Hochschule Regensburg*de,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22656,https://ror.org/049b5m346,,,,,,,replace==https://www.efrome.it,,add==efrome.it,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22636,https://ror.org/052jx3443,,replace==inactive,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/23786,https://ror.org/00jmtdy57,,replace==inactive,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22664,https://ror.org/01c62av11,,,,add==UMR 1247,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22665,https://ror.org/04smxbm79,,,,add==UMR 7352,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22666,https://ror.org/02m9cs548,,,,add==UMR 7314,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22667,https://ror.org/01gje7n16,,,,add==UR 7378,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22668,https://ror.org/05ewvzm89,,,,add==UMR_I 1,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22669,https://ror.org/032v67m28,,,,add==UMR 1158,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22687,https://ror.org/02a9mrq41,,,,add==U 1105,,,,,,,,,,,,,,,,,,
