html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,parent_relationships,comment
,https://ror.org/04xhqj302,Instituto de Ciência e Inovação para a Bio-Sustentabilidade*pt,active,education,,Instituto de Ciência e Inovação para a Bio-Sustentabilidade*pt; Institute of Science and Inoovation for Bio-Sustainability*en,IB-S*pt,http://ib-s.uminho.pt,,ib-s.uminho.pt,,,,,,0000 0005 0832 7689,0000 0005 0832 7689,,,Braga,Portugal,2742032,https://ror.org/037wpkx04,
,https://ror.org/04zf11v35,Instituto de Psicologia e Neuropsicologia do Porto (Portugal)*Portuguese,active,company,,Instituto de Psicologia e Neuropsicologia do Porto (Portugal)*Portuguese,IPNP*pt,https://ipnp.pt,,ipnp.pt,,,,,,0000 0005 1094 2605,0000 0005 1094 2605,,,Porto,Portugal,2735943,,"Website under construction, no Wikipedia, no Wikidata pages"
,https://ror.org/03c8rbe02,Instituto Nacional para a Reabilitação*pt,active,government,,Instituto Nacional para a Reabilitação*pt; National Institute for Rehabilitation*en,INR*pt,https://www.inr.pt,,inr.pt,,,,,,0000 0000 8631 2822,0000 0000 8631 2822,,,Lisboa,Portugal,2267057,,Website only loads with VPN
,https://ror.org/01ba0qf36,Hospital Santa Maria Maior EPE*pt,active,healthcare,,Hospital Santa Maria Maior EPE*pt,,https://www.hbarcelos.min-saude.pt,https://pt.wikipedia.org/wiki/Hospital_Santa_Maria_Maior,hbarcelos.min-saude.pt,,,,,,0000 0000 9783 4335,0000 0000 9783 4335,Q124750397,Q124750397,Barcelos,Portugal,2742416,https://ror.org/020j5zv28,Website only loads with VPN
,https://ror.org/03rbv1p10,Administração Regional de Saúde do Algarve IP*pt,active,government,,Administração Regional de Saúde do Algarve IP*pt,ARSA*pt,https://www.arsalgarve.min-saude.pt,https://pt.wikipedia.org/wiki/Administra%C3%A7%C3%A3o_Regional_de_Sa%C3%BAde_do_Algarve,arsalgarve.min-saude.pt,,,,,,0000 0001 0122 6843,0000 0001 0122 6843,Q16485455,Q16485455,Faro,Portugal,2268337,,Website only loads with VPN
,https://ror.org/04ed3sm51,Museu de História Natural do Funchal*pt,active,other,,Museu de História Natural do Funchal*pt,MMF*pt,https://mmf.funchal.pt,,mmf.funchal.pt,,,,,,0000 0001 2168 6230,0000 0001 2168 6230,,,Funchal,Portugal,2267827,,
,https://ror.org/043ey0s60,Unidade Local de Saúde do Algarve*pt,active,healthcare,,Unidade Local de Saúde do Algarve*pt,,https://www.chualgarve.min-saude.pt,,chualgarve.min-saude.pt,,,,,,0000 0005 1445 3294,0000 0005 1445 3294,,,Faro,Portugal,2268337,,
,https://ror.org/03j4tqp21,Unidade Local de Saúde de Almada-Seixal*pt,active,healthcare,,Unidade Local de Saúde de Almada-Seixal*pt,ULSAS*pt,https://www.ulsas.min-saude.pt,,ulsas.min-saude.pt,,,,,,0000 0005 1433 2126,0000 0005 1433 2126,,,Almada,Portugal,2271961,,
,https://ror.org/0408ywy94,Unidade Local de Saúde do Tâmega e Sousa*pt,active,healthcare,,Unidade Local de Saúde do Tâmega e Sousa*pt,,https://www.chts.min-saude.pt,,chts.min-saude.pt,,,,,,0000 0005 1445 3307,0000 0005 1445 3307,,,Penafiel,Portugal,2736469,,
,https://ror.org/032qr8837,ActualSales (Portugal)*en,active,company,ActualSales Group (Portugal)*en,ActualSales (Portugal)*en,,https://actualsales.com,,actualsales.com,,,,,,0000 0004 5988 0495,0000 0004 5988 0495,,,Lisboa,Portugal,2267057,,
,https://ror.org/008z17697,Associação para a Inovação e Empreendedorismo de Lisboa*pt,active,other,Startup Lisboa*pt,Associação para a Inovação e Empreendedorismo de Lisboa*pt,AIEL*pt,https://www.startuplisboa.com,,startuplisboa.com,,,,,,0000 0004 6789 6171,0000 0004 6789 6171,,,Lisboa,Portugal,2267057,,
,https://ror.org/00cd1nz59,Arquitectos Sem Fronteiras Portugal*pt,active,other,,Arquitectos Sem Fronteiras Portugal*pt,ASFP*pt,https://asfp.pt,,asfp.pt,,,,,,0000 0005 1081 1330,0000 0005 1081 1330,,,Lisboa,Portugal,2267057,,
,https://ror.org/05fnq6x95,Arquivo Historico Ultramarino*pt,active,archive,,Arquivo Historico Ultramarino*pt,AHU*pt,http://ahu.dglab.gov.pt,https://en.wikipedia.org/wiki/Arquivo_Hist%C3%B3rico_Ultramarino,ahu.dglab.gov.pt,,,,,,0000 0004 5927 9827,0000 0004 5927 9827,Q9630359,Q9630359,Lisboa,Portugal,2267057,,
,https://ror.org/04fzsfa80,Associação Acredita Portugal (Portugal)*pt,active,company,Acredita Portugal*pt,Associação Acredita Portugal (Portugal)*pt; Acredita Portugal Association*en,,https://www.acreditaportugal.org,,acreditaportugal.org,,,,,,0000 0004 4664 811X,0000 0004 4664 811X,,,Lisboa,Portugal,2267057,,
,https://ror.org/02fcch113,Associação de Municípios do Vale do Ave*pt,active,other,,Associação de Municípios do Vale do Ave*pt,AMAVE*pt,http://www.amave.pt,,amave.pt,,,,,,0000 0004 6007 9910,0000 0004 6007 9910,,,Guimarães,Portugal,2738752,,
,https://ror.org/038xgmf85,Banco Finantia (Portugal)*pt,active,company,,Banco Finantia (Portugal)*pt,,https://www.finantia.com,,finantia.com,,,,,,0000 0000 8969 5224,0000 0000 8969 5224,,,Lisboa,Portugal,2267057,,
,https://ror.org/04450pb18,Biblioteca Municipal Afonso Lopes Vieira*pt,active,archive,,Biblioteca Municipal Afonso Lopes Vieira*pt,,https://pacweb.cm-leiria.pt,,pacweb.cm-leiria.pt,,,,,,0000 0000 8630 9930,0000 0000 8630 9930,,,Leiria,Portugal,2267095,,
,https://ror.org/0578b1302,Brito Machado e Lima Lda (Portugal)*pt,active,company,,Brito Machado e Lima Lda (Portugal)*pt,,,,,,,,,,0000 0005 1421 5026,0000 0005 1421 5026,,,Coimbra,Portugal,2740637,,"Urology and neurology exam clinic. No website, still active but no significant mentions in academic publications found"
,https://ror.org/04ghwjq45,BSIM2 Biomolecular Simulations (Portugal)*en,active,company,,BSIM2 Biomolecular Simulations (Portugal)*en,,https://bsimsquare.com/index.php/2-uncategorised/6-home,,,,,,,,0000 0004 6410 7894,0000 0004 6410 7894,,,Coimbra,Portugal,2740637,,
,https://ror.org/01z4sr004,C3B Clinical Research (Portugal)*en,active,company,,C3B Clinical Research (Portugal)*en,,https://www.c3bclinical.com,,c3bclinical.com,,,,,,0000 0004 6410 7907,0000 0004 6410 7907,,,Lisboa,Portugal,2267057,,"Page under construction, but no mentions of it being closed  down anywhere else"
,https://ror.org/040ydk043,Camara dos Tecnicos Oficiais de Contas*pt,active,other,,Camara dos Tecnicos Oficiais de Contas*pt,,https://www.ctoc.pt,,ctoc.pt,,,,,,0000 0000 8902 1852,0000 0000 8902 1852,,,Lisboa,Portugal,2267057,,"No longer active, tranformed into Ordem dos Contabilistas Certificados at https://www.occ.pt/ (not at ROR)"
,https://ror.org/00bvnqh62,Camara Municipal Oeiras*pt,active,government,,Camara Municipal Oeiras*pt,,https://www.oeiras.pt,,oeiras.pt,,,,,,0000 0004 0392 6829,0000 0004 0392 6829,,,Oeiras,Portugal,2265464,,
,https://ror.org/02mn2kc58,Capital Douro Associação Industrial Comercial e de Serviços de São João da Pesqueira*pt,active,other,,Capital Douro Associação Industrial Comercial e de Serviços de São João da Pesqueira*pt,,https://capitaldouro.pt,,capitaldouro.pt,,,,,,0000 0004 6789 6374,0000 0004 6789 6374,,,São João da Pesqueira,Portugal,2734483,,
,https://ror.org/022dgjm82,Cardi9 Prestação de Serviços de Saúde (Portugal)*pt,active,company,,Cardi9 Prestação de Serviços de Saúde (Portugal)*pt; Cardi9 Health Services Provision*en,,,,,,,,,,0000 0004 6420 8089,0000 0004 6420 8089,,,Lisboa,Portugal,2267057,,No website found but found mentions in directories.
,https://ror.org/005xwqf23,Carma International (Portugal)*en,active,company,,Carma International (Portugal)*en,,https://carma.com/pt-pt/,,,,,,,,0000 0004 1798 3197,0000 0004 1798 3197,,,Lisboa,Portugal,2267057,,
,https://ror.org/015s96x19,Centro de Estudos Ambientais de Alcácer do Sal (Portugal)*pt,active,company,Herdade das Parchanas*pt,Centro de Estudos Ambientais de Alcácer do Sal (Portugal)*pt; Alcácer do Sal Environmental Studies Center*en,CEAAS*pt,https://www.parchanas.com,,parchanas.com,,,,,,0000 0005 0997 0713,0000 0005 0997 0713,,,Torrão,Portugal,2262625,,
,https://ror.org/03eaaxm14,Centro de Estudos e Avaliação em Saúde*pt,active,other,,Centro de Estudos e Avaliação em Saúde*pt,CEFAR*pt,,,,,,,,,0000 0004 5897 2443,0000 0004 5897 2443,,,Lisboa,Portugal,2267057,,Parent org is Associação Nacional das Farmácias (ANF) at https://www.anf.pt/
,https://ror.org/05gsdmj20,Centro de Estudos Línguas e Formação do Funchal (Portugal)*pt,active,company,,Centro de Estudos Línguas e Formação do Funchal (Portugal)*pt; Centre for Studies Languages and Training of Funchal*en,CELFF*pt,https://celffeducation.pt/portfolio/celff-funchal/,,,,,,,,0000 0004 6410 8029,0000 0004 6410 8029,,,Funchal,Portugal,2267827,,
,https://ror.org/03m1mgc42,Centro de Estudos Superiores da Indústria Farmacêutica Unipessoal (Portugal)*pt,active,company,,Centro de Estudos Superiores da Indústria Farmacêutica Unipessoal (Portugal)*pt; Center of Advanced Studies of Pharmaceutical Industry*en,CESIF*pt,https://www.cesif.pt,,cesif.pt,,,,,,0000 0005 1090 3737,0000 0005 1090 3737,,,Lisboa,Portugal,2267057,,
,https://ror.org/03j6qa959,Centro de Excelência para a Valorização dos Recursos Mediterrânicos (Portugal)*pt,active,company,,Centro de Excelência para a Valorização dos Recursos Mediterrânicos (Portugal)*pt; Centre of Excellence for Appreciation of Mediterranean Resources*en,CEVRM*pt,https://www.cevrm.pt,,cevrm.pt,,,,,,0000 0004 6416 5365,0000 0004 6416 5365,,,Almodôvar,Portugal,2271912,,Website gives error 403 but it is an active institution
,https://ror.org/02kwzrk08,Centro de Medicina de Reabilitação do Sul*pt,active,healthcare,,Centro de Medicina de Reabilitação do Sul*pt,,,,,,,,,,0000 0004 5914 2388,0000 0004 5914 2388,,,São Brás de Alportel,Portugal,2263377,,"Still active but no loading website found (www.cmfrsul.min-saude.pt;www.cmfrsul.min-saude.pt/portal                
www.arsnorte.min-saude.pt/comportamentos-aditivos-e-dependencia/contactos/cri-porto-oriental)"
,https://ror.org/04tvhje80,Centro de Respostas Integradas Porto Oriental (Portugal)*pt,active,company,,Centro de Respostas Integradas Porto Oriental (Portugal)*pt; Eastern Porto Integrated Response Team*en,,https://www.arsnorte.min-saude.pt/comportamentos-aditivos-e-dependencia/contactos/cri-porto-oriental/,,,,,,,,0000 0004 8339 9829,0000 0004 8339 9829,,,Porto,Portugal,2735943,,
,https://ror.org/0035nwv60,Centro de Saúde de Rio de Mouro (Portugal)*pt,active,company,,Centro de Saúde de Rio de Mouro (Portugal)*pt; Health Centre of Rio de Mouro*en,,,,,,,,,,0000 0004 5928 9179,0000 0004 5928 9179,,,Rio de Mouro,Portugal,2263827,,Still active but no loading website found
,https://ror.org/01xz37v17,Centro de Saúde Figueira da Foz Buarcos (Portugal)*pt,active,company,,Centro de Saúde Figueira da Foz Buarcos (Portugal)*pt; Centro de Saúde Figueira da Foz Buarcos; Figueira da Foz Buarcos Health Centre,,,,,,,,,,0000 0004 4902 4011,0000 0004 4902 4011,,,Buarcos,Portugal,2741961,,Still active but no loading website found
,https://ror.org/02xj02q08,Centro Empresarial Torres de Lisboa (Portugal)*pt,active,company,,Centro Empresarial Torres de Lisboa (Portugal)*pt; Lisbon Towers Business Centre*en,,https://torresdelisboa.pt,,torresdelisboa.pt,,,,,,0000 0004 0618 9465,0000 0004 0618 9465,,,Lisboa,Portugal,2267057,,
,https://ror.org/015j0wa14,Centro Hospitalar do Médio Tejo EPE*pt,active,healthcare,,Centro Hospitalar do Médio Tejo EPE*pt,CHMT*pt,https://www.chmt.min-saude.pt,,chmt.min-saude.pt,,,,,,0000 0004 5914 1406,0000 0004 5914 1406,,,Tomar,Portugal,2262644,,
,https://ror.org/04ccaah57,Centro Hospitalar Póvoa de Varzim Vila do Conde EPE Unidade de Vila do Conde*pt,active,healthcare,,Centro Hospitalar Póvoa de Varzim Vila do Conde EPE Unidade de Vila do Conde*pt,CHPVVC*pt,https://www.chpvvc.min-saude.pt,,chpvvc.min-saude.pt,,,,,,0000 0005 0450 0376,0000 0005 0450 0376,,,Vila do Conde,Portugal,2732649,,
,https://ror.org/0248ps908,Centro Hospitalar Psiquiátrico de Coimbra*pt,active,healthcare,,Centro Hospitalar Psiquiátrico de Coimbra*pt,,https://www.ulscoimbra.min-saude.pt/servicos/p/cri-psiquiatria/,,,,,,,,0000 0004 0508 8048,0000 0004 0508 8048,,,Castelo Viegas,Portugal,2740984,,
,https://ror.org/02cggsh80,Centro Interdisciplinar de Estudos Económicos*pt,active,other,,Centro Interdisciplinar de Estudos Económicos*pt,CIDEC*pt,,,,,,,,,0000 0004 9340 0483,0000 0004 9340 0483,,,Lisboa,Portugal,2267057,,Still active but website is not loading (www.cidec.pt)
,https://ror.org/02qmrb876,Centro Nacional de Competências dos Frutos Secos Associação*pt,active,other,,Centro Nacional de Competências dos Frutos Secos Associação*pt,CNCFS*pt,https://cncfs.pt,,cncfs.pt,,,,,,0000 0004 6782 3589,0000 0004 6782 3589,,,Bragança,Portugal,2742026,,
,https://ror.org/009kyk389,Cooperativa de Ensino Politécnico*pt,active,other,,Cooperativa de Ensino Politécnico*pt,CEP*pt,,,,,,,,,0000 0005 1081 2093,0000 0005 1081 2093,,,Vila Nova de Gaia,Portugal,2732544,,No website found but still active
,https://ror.org/00pcacg52,Cooperativa de Estudos e Intervenção em Projectos Socioeconómicos*pt,active,other,,Cooperativa de Estudos e Intervenção em Projectos Socioeconómicos*pt,CEPSE*pt,,,,,,,,,0000 0004 6428 0769,0000 0004 6428 0769,,,Porto de Mós,Portugal,2264427,,Still active but website not loading (www.cepse.pt)
,https://ror.org/01ct2fp44,Chartwell Actives LLC (Portugal)*en,active,company,,Chartwell Actives LLC (Portugal)*en; Chartwell Actives LLC,,https://www.chartwellactives.com,,chartwellactives.com,,,,,,0000 0004 6004 8022,0000 0004 6004 8022,,,Castanheira do Ribatejo,Portugal,2269556,,Website under construction
,https://ror.org/04zfwta05,ChiraTecnics (Portugal)*en,active,company,,ChiraTecnics (Portugal)*en; ChiraTecnics,,,,,,,,,,0000 0004 0527 6022,0000 0004 0527 6022,,,Évora,Portugal,2268406,,"Empty domain (https://www.chiratecnics.com/), according to their LinkedIn page they changed focus to medicinal chemistry in partnership with the University of Evora"
,https://ror.org/04f5zf256,Clarke Modet (Portugal)*pt,active,company,,Clarke Modet (Portugal)*pt,,https://www.clarkemodet.com/pt-pt/,,,,,,,,0000 0000 9295 2770,0000 0000 9295 2770,,,Lisboa,Portugal,2267057,,
,https://ror.org/02jbzd997,Clínica de Ortopedia Doutor Noronha (Portugal)*pt,active,company,,Clínica de Ortopedia Doutor Noronha (Portugal)*pt; Doctor Noronha Orthopedics Clinic*en,,,,,,,,,,0000 0004 4908 1112,0000 0004 4908 1112,,,Leça do Balio,Portugal,2738347,,Still open but it has no website
,https://ror.org/01qb2q565,Clínica Dentária Dr Sérgio Saavedra Marinho (Portugal)*pt,active,company,,Clínica Dentária Dr Sérgio Saavedra Marinho (Portugal)*pt; Dr Sergio Saavedra Marinho Dental Clinic*en,,,,,,,,,,0000 0004 7650 1127,0000 0004 7650 1127,,,Porto,Portugal,2735943,,Still open but it has no website
,https://ror.org/00yk1ar69,Cliniciência (Portugal)*pt,active,company,,Cliniciência (Portugal)*pt,,,,,,,,,,0000 0004 6428 0785,0000 0004 6428 0785,,,Maia,Portugal,2738014,,Still open but it has no website
,https://ror.org/00d8qfg29,Coletivo Criatura (Portugal)*pt,active,company,,Coletivo Criatura (Portugal)*pt; Collective Creature*en,,,,,,,,,,0000 0004 6428 0793,0000 0004 6428 0793,,,Ponte de Lima,Portugal,2736041,,"Still active, social media presence only, no website"
,https://ror.org/00qpy9f50,Comissão para a igualdade no Trabalho e no Emprego*pt,active,government,,Comissão para a igualdade no Trabalho e no Emprego*pt,CITE*pt,https://www.cite.gov.pt,,cite.gov.pt,,,,,,0000 0000 9851 6160,0000 0000 9851 6160,,,Lisboa,Portugal,2267057,,
,https://ror.org/03gz2j032,Congregação das Irmãs do Instituto de Santa Doroteia*pt,active,other,,Congregação das Irmãs do Instituto de Santa Doroteia*pt,,https://irmasdoroteias.pt,,irmasdoroteias.pt,,,,,,0000 0004 4661 0293,0000 0004 4661 0293,,,Porto,Portugal,2735943,,
,https://ror.org/01fak6m55,Consulbiotech Investigação e Desenvolvimento (Portugal)*pt,active,company,,Consulbiotech Investigação e Desenvolvimento (Portugal)*pt; Consulbiotech Research and Development*en,,,,,,,,,,0000 0004 6428 0806,0000 0004 6428 0806,,,Tavira,Portugal,2262744,,Still open but it has no website
,https://ror.org/00qp9bj50,Convento Espirito Santo*pt,active,other,,Convento Espirito Santo*pt,,,,,,,,,,0000 0004 0407 4795,0000 0004 0407 4795,,,Loule,Portugal,2266988,,Still open but it has no website
,https://ror.org/00ftahb81,Cooperativa de Ensino Superior Artístico do Porto*pt,active,education,,Cooperativa de Ensino Superior Artístico do Porto*pt,CESAP*pt,https://cesap.pt,,cesap.pt,,,,,,0000 0001 0393 6849,0000 0001 0393 6849,,,Porto,Portugal,2735943,,
,https://ror.org/01z70sb13,Cooperativa de Técnicas Avançadas de Gestão e Informática*pt,active,other,,Cooperativa de Técnicas Avançadas de Gestão e Informática*pt,COCITE*pt,,,,,,,,,0000 0004 6469 9279,0000 0004 6469 9279,,,Lisboa,Portugal,2267057,,Still open but it has no website
,https://ror.org/01qc87q47,Cooperativa de Viveiristas da Ria Formosa*pt,active,other,,Cooperativa de Viveiristas da Ria Formosa*pt,,,,,,,,,,0000 0005 0840 3725,0000 0005 0840 3725,,,Olhão,Portugal,2265447,,"Still open but it has no website, only social media presence"
,https://ror.org/04v0vnr61,Cordex (Portugal)*pt,active,company,,Cordex (Portugal)*pt,,https://www.cordex.com,,cordex.com,,,,,,0000 0004 0461 5264,0000 0004 0461 5264,,,Esmoriz,Portugal,2739915,,
,https://ror.org/048z3gz22,Coriant (Portugal)*pt,active,company,,Coriant (Portugal)*pt,,https://www.coriant.com,,coriant.com,,,,,,0000 0004 6416 5656,0000 0004 6416 5656,,,Amadora,Portugal,2271772,,"Bough by Infinera (https://ror.org/02ty5cy83), if added should be as Inactive"
,https://ror.org/009h9cg39,Coudelaria de Alter (Portugal)*pt,active,company,,Coudelaria de Alter (Portugal)*pt; Alter Stud Farm*en,,https://alterreal.pt,,alterreal.pt,,,,,,0000 0005 1081 2245,0000 0005 1081 2245,,,Alter do Chão,Portugal,2271841,,
,https://ror.org/03fqv0k52,CPH Pharma (Portugal)*en,inactive,company,,CPH Pharma (Portugal)*en,,https://www.cphpharma.pai.pt,,cphpharma.pai.pt,,,,,,0000 0004 0633 5477,0000 0004 0633 5477,,,Carnaxide,Portugal,2270157,,Bough by Grupo Ferrer (https://ror.org/00mwcg389) in 2008 according to https://pharmaboardroom.com/interviews/interview-jose-silva-general-manager-ferrer-portugal/. If added should be as Inactive with https://ror.org/00mwcg389 as successor
,https://ror.org/03k6jnj59,CPL Meetings and Events (Portugal)*en,active,company,,CPL Meetings and Events (Portugal)*en,,https://cpl-events.com,,cpl-events.com,,,,,,0000 0004 6007 7747,0000 0004 6007 7747,,,Cascais,Portugal,2269594,,
,https://ror.org/00ad17k20,CQS Unipessoal (Portugal)*pt,active,company,,CQS Unipessoal (Portugal)*pt,,http://cqs.pt,,cqs.pt,,,,,,0000 0004 6416 5699,0000 0004 6416 5699,,,Lisboa,Portugal,2267057,,Still active but website shows SSL error
