html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
https://github.com/ror-community/ror-updates/issues/26498,https://ror.org/00he80998,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/26904,https://ror.org/05r2k0m61,,,,,,,,,,,,,,,,,add==Q7105570,replace==Q7105570,,,
https://github.com/ror-community/ror-updates/issues/26905,https://ror.org/05dpzfc16,,replace==inactive,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/26906,https://ror.org/00kss4e25,,replace==inactive,,add==Gasthuiszusters Antwerpen*nl,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/24063,https://ror.org/00k6r3f30,replace==Unidade Local de Saúde de São José*pt,,,replace==Centro Hospitalar de Lisboa Central*pt; ULS de São José*pt; ULS São José*pt,replace==Unidade Local de Saúde de São José*pt,,replace==https://www.ulssjose.min-saude.pt,,add==ulssjose.min-saude.pt,,,,,,,,add==Q29524944,replace==Q29524944,,,
https://github.com/ror-community/ror-updates/issues/26909,https://ror.org/01b15w051,,replace==inactive,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/26910,https://ror.org/018zc6p18,,replace==inactive,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/26945,https://ror.org/00eckk830,,replace==inactive,,add==College of Medicine and Health Sciences*en; CoM&HS*en; College of Medicine & Health Sciences*en; كلية الطب والعلوم الصحية*ar,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/26944,https://ror.org/00rb2rb24,,,,add==National University of Science & Technology*en,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/25134,https://ror.org/0576vga12,replace==Vasyl Stefanyk Carpathian National University*en,,,replace==Vasyl Stefanyk Precarpathian National University*en; Podkarpacki Uniwersytet Narodowy im. Wasyla Stefanyka*pl; Прикарпатский национальный университет имени Василия Стефаника*ru; Прикарпатський національний університет імені Василя Стефаника*uk,replace==Vasyl Stefanyk Carpathian National University*en; Карпатський національний університет імені Василя Стефаника*uk; Karpacki Narodowy Uniwersytet imienia Wasyla Stefanyka*pl,,replace==https://cnu.edu.ua,,add==cnu.edu.ua,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/26949,https://ror.org/02bxtrk46,,replace==inactive,,,,,,,,,,,,,,,,,,,
