html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
https://github.com/ror-community/ror-updates/issues/15325,https://ror.org/001kxme72,Avantyx LLC (United States)*en,active,company,Avantyx Pharmaceuticals*en; Avantyx*en,Avantyx LLC (United States)*en; Avantyx LLC*en,,https://www.avantyxpharma.com,,avantyxpharma.com,2020,,,,,,,Q137778988,Q137778988,Miami,United States,4164138
https://github.com/ror-community/ror-updates/issues/16998,https://ror.org/02a1eyd35,The Pearl International Hospital*en,active,healthcare,Pearl International Hospital*en,The Pearl International Hospital*en; مستشفى اللؤلؤة الدولي*ar,,https://tpihospital.com,,tpihospital.com,2025,,,,,,,Q137765662,Q137765662,Doha,Qatar,290030
https://github.com/ror-community/ror-updates/issues/28512,https://ror.org/0410qm569,Universitas Bani Saleh*id,active,education,Sekolah Tinggi Manajemen Informatika dan Komputer Bani Saleh*id; STMIK Bani Saleh*id,Universitas Bani Saleh*id,UBS*id,https://ubs.ac.id,https://id.wikipedia.org/wiki/Sekolah_Tinggi_Manajemen_Informatika_dan_Komputer_Bani_Saleh,ubs.ac.id,1989,,,,,,,Q31173984,Q31173984,Bekasi,Indonesia,1649378
https://github.com/ror-community/ror-updates/issues/28516,https://ror.org/05m3f1s45,Netaji Nagar Day College*en,active,education,,Netaji Nagar Day College*en; নেতাজী নগর ডে কলেজ*bn; ನೇತಾಜಿ ನಗರ ಡೇ ಕಾಲೇಜ್*kn,NNDC*en,https://www.nndc.ac.in,https://en.wikipedia.org/wiki/Netaji_Nagar_Day_College,nndc.ac.in,1967,,,,,,,Q6998615,Q6998615,Kolkata,India,1275004
https://github.com/ror-community/ror-updates/issues/28548,https://ror.org/02rrh1r89,LifeLong Medical Care*en,active,healthcare,,LifeLong Medical Care*en,,https://lifelongmedical.org,,lifelongmedical.org,1976,,,,,,,Q137410911,Q137410911,Berkeley,United States,5327684
https://github.com/ror-community/ror-updates/issues/28555,https://ror.org/04xzpxc31,Hong Kong Centre for Logistics Robotics*en,active,facility; funder,,Hong Kong Centre for Logistics Robotics*en; 香港物流機械人研究中心*zh,HKCLR*en,https://www.hkclr.hk,,hkclr.hk,2020,100022832,100022832,,,,,,,Hong Kong,Hong Kong,1819729
https://github.com/ror-community/ror-updates/issues/26783,https://ror.org/02mqbpb72,Kaushalya the Skill University*en,active,education,,Kaushalya the Skill University*en,KSU*en,https://kaushalyaskilluniversity.ac.in,https://en.wikipedia.org/wiki/Kaushalya_Skill_University,kaushalyaskilluniversity.ac.in,2021,,,,,,,Q123003322,Q123003322,Ahembdabad,India,1279233
https://github.com/ror-community/ror-updates/issues/26777,https://ror.org/00nvd7q77,"Sanskriti University, Mathura*en",active,education,Sanskriti University*en,"Sanskriti University, Mathura*en",SU*en,https://www.sanskriti.edu.in,https://en.wikipedia.org/wiki/Sanskriti_University,edu.in,2016,,,,,0000 0005 0281 2560,0000 0005 0281 2560,Q30639323,Q30639323,Mathura,India,1263364
https://github.com/ror-community/ror-updates/issues/26772,https://ror.org/00zq1dy58,Forecasting Research Institute*en,active,nonprofit,,Forecasting Research Institute*en,FRI*en,https://forecastingresearch.org,,forecastingresearch.org,2022,,,,,,,Q122208275,Q122208275,Delaware,United States of America,4142224
https://github.com/ror-community/ror-updates/issues/26757,https://ror.org/02sk9xe88,Jain hospital*en,active,healthcare,Jain hospital & Research Centre*en,Jain hospital*en,,https://jainhospitals.com,,jainhospitals.com,2007,,,,,0000 0004 0613 6347,0000 0004 0613 6347,,,Kanpur,India,1267995
https://github.com/ror-community/ror-updates/issues/26749,https://ror.org/0126bwd54,Akademia Wojsk Lądowych imienia generała Tadeusza Kościuszki*pl,active,education,General Tadeusz Kościuszko Military University of Land Forces*en,Akademia Wojsk Lądowych imienia generała Tadeusza Kościuszki*pl,,https://www.wojsko-polskie.pl/awl/,,wojsko-polskie.pl,2002,,,,,,,Q7674488,Q7674488,Wrocław,Polska (Poland),3081368
https://github.com/ror-community/ror-updates/issues/26795,https://ror.org/01skj4p30,South African Population Research Infrastructure Network*en,active,government,,South African Population Research Infrastructure Network*en,SAPRIN*en,https://saprin.mrc.ac.za,https://en.wikipedia.org/wiki/South_African_Population_Research_Infrastructure_Network,saprin.mrc.ac.za,2017,,,,,,,Q130051477,Q130051477,Durban,South Africa,1007311
https://github.com/ror-community/ror-updates/issues/28587,https://ror.org/02w3ga484,Institute of Lutheran Theology*en,active,education,,Institute of Lutheran Theology*en,ILT*en,https://ilt.edu,https://en.wikipedia.org/wiki/Institute_of_Lutheran_Theology,ilt.edu,2009,,,,,,,Q65091076,Q65091076,Brookings,United States,5226534
https://github.com/ror-community/ror-updates/issues/26467,https://ror.org/00xvd0z96,Agrosystèmes territoires ressources Mirecourt*fr,active,facility,"ASTER Mirecourt*fr; AgroSystèmes TErritoires Ressources*fr; Département ACT Sciences pour l'action, les transitions, les territoires*fr",Agrosystèmes territoires ressources Mirecourt*fr,ACT-ASTER*fr; ASTER*fr,https://aster.nancy.hub.inrae.fr,,aster.nancy.hub.inrae.fr,1962,,,,,,,,,Mirecourt,France,2993728
