html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
,https://ror.org/017n8df75,,,,,,,,,,,add==501100010877;501100017609,,,,,,,,,,
,https://ror.org/0207yh398,,,,,,,,,,,add==501100010084,,,,,,,,,,
,https://ror.org/05gqaka33,,,add==funder,,,,,,,,add==100030902,replace==100030902,,,,,,,,,
,https://ror.org/0190x2a66,,,,,,,,,,,add==501100012337,,,,,,,,,,
,https://ror.org/05nzc1r88,,,add==funder,,,,,,,,add==501100013140,replace==501100013140,,,,,,,,,
,https://ror.org/04b6jkz71,,,add==funder,,,,,,,,add==501100010823,replace==501100010823,,,,,,,,,
,https://ror.org/01xz9k981,,,add==funder,,,,,,,,add==100030854,replace==100030854,,,,,,,,,
,https://ror.org/015m77g16,,,add==funder,,,,,,,,add==501100011381,replace==501100011381,,,,,,,,,
,https://ror.org/01ahyrz84,,,,,,,,,,,add==501100004718,replace==501100004718,,,,,,,,,
,https://ror.org/00kx6j950,,,,,,,,,,,add==501100020207,,,,,,,,,,
,https://ror.org/02m82p074,,,add==funder,,,,,,,,add==501100024743,replace==501100024743,,,,,,,,,
,https://ror.org/012fftw39,,,add==funder,,,,,,,,add==501100002651,replace==501100002651,,,,,,,,,
,https://ror.org/00f1zfq44,,,,,,,,,,,add==501100012588;501100010021;501100015643,,,,,,,,,,
,https://ror.org/04gw3ra78,,,add==funder,,,,,,,,add==501100009580,replace==501100009580,,,,,,,,,
,https://ror.org/00se2k293,,,,,,,,,,,add==501100024990,replace==501100024990,,,,,,,,,
,https://ror.org/02fr0s482,,,,,,,,,,,add==501100018553,,,,,,,,,,
,https://ror.org/01xnz3256,,,,,,,,,,,add==501100011400,,,,,,,,,,
,https://ror.org/00jb7xy46,,,,,,,,,,,add==501100013101,,,,,,,,,,
,https://ror.org/016s74507,,,add==funder,,,,,,,,add==501100010888;100015783,replace==501100010888,,,,,,,,,
,https://ror.org/027s68j25,,,,,,,,,,,add==501100013279;501100013185;501100012503,,,,,,,,,,
,https://ror.org/03kt66j61,,,,,,,,,,,add==501100018625;501100019053,,,,,,,,,,
,https://ror.org/03y1aw075,,,,,,,,,,,add==501100010082,,,,,,,,,,
,https://ror.org/036ymgf08,,,add==funder,,,,,,,,add==501100011742,replace==501100011742,,,,,,,,,
,https://ror.org/041fzeq08,,,,,,,,,,,add==501100018552,,,,,,,,,,
,https://ror.org/00jv65847,,,,,,,,,,,add==100018985,,,,,,,,,,
,https://ror.org/038g7dk46,,,add==funder,,,,,,,,add==100031666,replace==100031666,,,,,,,,,
,https://ror.org/045kpgw45,,,,,,,,,,,add==501100018609,,,,,,,,,,
,https://ror.org/03xz2hx98,,,,,,,,,,,add==501100005229;501100019530;501100018569,,,,,,,,,,
,https://ror.org/039965637,,,add==funder,,,,,,,,add==100030974,replace==100030974,,,,,,,,,
,https://ror.org/030ebc654,,,add==funder,,,,,,,,add==501100012482,replace==501100012482,,,,,,,,,
,https://ror.org/030d08e08,,,,,,,,,,,add==501100008862,replace==501100008862,,,,,,,,,
,https://ror.org/04t3b2655,,,add==funder,,,,,,,,add==501100011164,replace==501100011164,,,,,,,,,
,https://ror.org/03dveyr97,,,,,,,,,,,add==501100012543;501100012480,,,,,,,,,,
,https://ror.org/02xrb7c43,,,add==funder,,,,,,,,add==501100011219,replace==501100011219,,,,,,,,,
,https://ror.org/03s8c2x09,,,add==funder,,,,,,,,add==501100024773,replace==501100024773,,,,,,,,,
,https://ror.org/03m96p165,,,,,,,,,,,add==501100010019,,,,,,,,,,
,https://ror.org/01qrts582,,,add==funder,,,,,,,,add==100032841,replace==100032841,,,,,,,,,
,https://ror.org/023ht6a36,,,add==funder,,,,,,,,add==501100011283,replace==501100011283,,,,,,,,,
,https://ror.org/014g34x36,,,add==funder,,,,,,,,add==100024161,replace==100024161,,,,,,,,,
