html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,relationships.type.parent,relationships.type.child,relationships.type.related,relationships.type.successor,relationships.type.predecessor
,,Magnus Ehrnrooth Foundation*en,active,nonprofit;funder,Magnus Ehrnrooths stiftelse*sv,Magnus Ehrnrooth Foundation*en;Magnus Ehrnroothin Säätiö*fi,,https://magnusehrnroothinsaatio.fi,,magnusehrnroothinsaatio.fi,1963,501100004155,501100004155,,,,,,,Helsinki,Finland,658225,,,,,
,,Korea Research Institute for Defense Technology Planning and Advancement*en,active,facility;funder,,Korea Research Institute for Defense Technology Planning and Advancement*en;국방기술진흥연구소*ko,KRIT,https://www.krit.re.kr,,krit.re.kr,2021,100031839,100031839,,,,,,,Jinju,South Korea,1846052,https://ror.org/05f1c3n42,,,,
,,Shanghai Huji Foundation*en,active,nonprofit;funder,Hujiang Foundation of China*en;Shanghai Huji Public Welfare Foundation*en,Shanghai Huji Foundation*en;上海互济公益基金会*zh,,https://www.hujifoundation.org.cn,,hujifoundation.org.cn,2017,501100008139,501100008139,,,,,,,Shanghai,China,1796236,,,,,
,,Shenyang National Laboratory for Materials Science*en,active,facility;funder,,Shenyang National Laboratory for Materials Science*en;沈阳材料科学国家研究中心*zh,SYNL,http://www.synl.ac.cn,,synl.ac.cn,2000,501100014573,501100014573,,,,,,,Shenyang,China,2034937,https://ror.org/03pa1rf77,,,,
,,Higher Committee for Education Development in Iraq*en,active,government;funder,,Higher Committee for Education Development in Iraq*en;اللجنة العليا لتطوير التعليم في العراق*ar,HCED,https://hced.ur.gov.iq,,hced.ur.gov.iq,2008,501100009928,501100009928,,,,,,,Baghdad,Iraq,98182,,,,,
,,"Wenzhou Institute, University of Chinese Academy of Sciences*en",active,facility;funder,"中国科学院温州生物材料与工程研究所*zh;Wenzhou Institute, UCAS*en","Wenzhou Institute, University of Chinese Academy of Sciences*en;国科温州研究院*zh;Wenzhou Institute of Biomaterials and Engineering*en",WIBE,https://wiucas.ac.cn,,wiucas.ac.cn,2019,501100013910,501100013910,,,,,,,Wenzhou,China,,https://ror.org/05qbk4x57,,,,
,,Xiamen Southern Oceanographic Center*en,active,other;funder,,Xiamen Southern Oceanographic Center*en;厦门南方海洋研究中心*zh,,https://www.xmocean.cn,,xmocean.cn,2012,501100010260,501100010260,,,,,,,Xiamen,China,1790645,,,,,
,,Lyon Institute of Origins*en,active,facility;funder,LABEX Lyon Institute of Origins*en;Le LABEX LIO*fr;LabEx LIO*fr;Lyon Institut des Origines*fr,Lyon Institute of Origins*en;Institut des Origines de Lyon*fr,LIO,https://lio.univ-lyon1.fr,,lio.univ-lyon1.fr,2011,100015913,100015913,,,,,,,Villeurbanne,France,2968254,https://ror.org/029brtt94,,,,
,,Department of Finance of Jilin Province*en,active,government;funder,Jilin Province Department of Finance*en;Jilin Provincial Department of Finance*en,Department of Finance of Jilin Province*en;吉林省财政厅*zh,,https://czt.jl.gov.cn,,czt.jl.gov.cn,,501100009991,501100009991,,,,,,,Changchun,China,2006885,https://ror.org/02vt3b359,,,,
,,National Health Commission of the People's Republic of China*en,active,government;funder,National Health Commission*en;National Health Commission of the PRC*en;國家衛生健康委員會*zh;国家卫生健康委员会*zh,National Health Commission of the People's Republic of China*en;中华人民共和国国家卫生健康委员会*zh,NHC,https://en.nhc.gov.cn,,nhc.gov.cn,2018,501100018684,501100018684,,,,,,,Beijing,China,1816670,https://ror.org/02fzqav45,,,,https://ror.org/052eegr76
,,Development and Reform Commission of Hunan Province*en,active,government;funder,,Development and Reform Commission of Hunan Province*en;湖南省发展和改革委员会*zh,,https://fgw.hunan.gov.cn,,fgw.hunan.gov.cn,2004,100012830,100012830,,,,,,,Changsha,China,,,,,,
,,Beijing Advanced Innovation Center for Food Nutrition and Human Health*en,active,facility;funder,,Beijing Advanced Innovation Center for Food Nutrition and Human Health*en;北京食品营养与人类健康高精尖创新中心*zh,BAICFNHH,https://baicfnhh.cau.edu.cn,,baicfnhh.cau.edu.cn,2015,501100014943,501100014943,,,,,,,Beijing,China,1816670,https://ror.org/04v3ywz14,,,,
