html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
https://github.com/ror-community/ror-updates/issues/34745,https://ror.org/03sxhq344,,,,,add==Dairy Industry Innovation Institute*en,,,,,2009,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36015,https://ror.org/028rfb880,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36035,https://ror.org/05jdd7q84,,,,replace==Mitropolitiko Collegio*el,replace==Μητροπολιτικό Κολλέγιο*el; ΜΗΤΡΟΠΟΛΙΤΙΚΟ ΚΟΛΛΕΓΙΟ*el,,replace==https://www.mitropolitiko.edu.gr,,replace==mitropolitiko.edu.gr,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36034,https://ror.org/018bbh535,,,,,add==جامعة عمار ثليجي الأغواط*ar,,replace==https://lagh-univ.dz,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36167,https://ror.org/00wtg0r80,replace==Badr University in Assiut*en,,,,replace==Badr University in Assiut*en,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36216,https://ror.org/04xhy8q59,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36217,https://ror.org/040np3v39,,,,,,,,,,,,,,,,,,,,,replace==5381396
https://github.com/ror-community/ror-updates/issues/36223,https://ror.org/008d63v91,,,,,,,,,,,delete,delete,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36222,https://ror.org/047693029,,,,,,,,,,,delete,delete,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36221,https://ror.org/02ez3ae44,,replace==withdrawn,,,,,,,,,delete,delete,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36220,https://ror.org/04tdbm243,,replace==withdrawn,,,,,,,,,delete,delete,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36228,https://ror.org/00f21s284,,replace==inactive,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36233,https://ror.org/051c2pp02,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36234,https://ror.org/02w445x62,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36235,https://ror.org/04cmzt743,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36236,https://ror.org/00rk5pw14,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36237,https://ror.org/05hfjfw72,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36238,https://ror.org/00hbs9x41,,,,,,,,,,,add==501100013698,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36239,https://ror.org/02d4n6z95,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36240,https://ror.org/00snjkh65,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36241,https://ror.org/05r4wgn82,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36242,https://ror.org/03v5vbh45,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36243,https://ror.org/05sbpak56,,,,add==Geophysical Survey of the Russian Academy of Sciences*en,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36245,https://ror.org/00pxh4555,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36246,https://ror.org/05t4nvn27,,,,,,,,,,,add==100010772,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36247,https://ror.org/00fqjrd79,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36249,https://ror.org/00grmdk53,,,,,,,,,,,add==100012891,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36251,https://ror.org/058bc7h45,,,,,,,,,,,add==501100014721,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36248,https://ror.org/03r419717,replace==Kementerian Kesehatan Republik Indonesia*id,,add==funder,add==Indonesia Ministry of Health*en;Kementerian Kesehatan*id;Kemenkes*id,replace==Kementerian Kesehatan Republik Indonesia*id;Ministry of Health of the Republic of Indonesia*en,,replace==https://kemkes.go.id,,add==kemkes.go.id,,add==501100017022,replace==501100017022,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36252,https://ror.org/0243e6w85,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36253,https://ror.org/012dq9p91,,,,add==Carlsbergfondet*da;The Carlsberg Foundation*en,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36254,https://ror.org/01rwk1435,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36255,https://ror.org/030fvf156,,,,,,,,,,,,,,,add==0000 0005 0278 2488,replace==0000 0005 0278 2488,,,,,
https://github.com/ror-community/ror-updates/issues/36092,https://ror.org/02cptmd52,,,,,,,,,,,,,,,,,delete,delete,,,
https://github.com/ror-community/ror-updates/issues/36093,https://ror.org/0334tmt82,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36095,https://ror.org/05r63mf91,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36096,https://ror.org/01e7wth34,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36097,https://ror.org/011emb038,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36098,https://ror.org/03n4vkw74,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36099,https://ror.org/03tpcfk14,,,replace==facility,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36100,https://ror.org/0455v8x20,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36102,https://ror.org/03kk92g72,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36103,https://ror.org/041yk0b68,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36104,https://ror.org/00ftatp57,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36105,https://ror.org/03fte3n86,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36106,https://ror.org/05deqk823,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36108,https://ror.org/01a0ez112,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36109,https://ror.org/03whgj090,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36110,https://ror.org/01pd2sz18,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36111,https://ror.org/02v87rg62,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36112,https://ror.org/00mg8nf58,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36113,https://ror.org/0024c1w94,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36114,https://ror.org/02nzb0q40,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36115,https://ror.org/03k4s1p46,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36117,https://ror.org/05jr56v21,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36118,https://ror.org/035gnqw46,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36119,https://ror.org/03d4ga814,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36120,https://ror.org/0230za379,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36121,https://ror.org/00xyf5s54,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36122,https://ror.org/02cvwzy55,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36123,https://ror.org/047w45g41,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36124,https://ror.org/000tth217,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36125,https://ror.org/05e2rg574,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36126,https://ror.org/01t60dp04,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36127,https://ror.org/05kn58215,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36128,https://ror.org/05pan6b44,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36129,https://ror.org/02k1z0232,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36130,https://ror.org/019msr682,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36131,https://ror.org/02sxjwh33,replace==Services déconcentrés d'appui à la recherche Occitanie-Toulouse*fr,,,replace==SDAR Occitanie-Toulouse*fr;Centre Occitanie-Toulouse*fr,replace==Services déconcentrés d'appui à la recherche Occitanie-Toulouse*fr,,replace==https://www.inrae.fr/centres/occitanie-toulouse,,,replace==1957,,,,,,,,,,,replace==3028409
https://github.com/ror-community/ror-updates/issues/36132,https://ror.org/03ntmtb29,replace==Services déconcentrés d'appui à la recherche Val de Loire*fr,,,replace==SDAR Val de Loire*fr;Centre Val de Loire*fr;Loire Valley Centre*en,replace==Services déconcentrés d'appui à la recherche Val de Loire*fr;Loire Valley Centre*fr,,replace==https://www.inrae.fr/centres/val-de-loire,,,replace==1957,,,,,,,,,,,replace==2989945
https://github.com/ror-community/ror-updates/issues/36133,https://ror.org/002jby155,replace==Services déconcentrés d'appui à la recherche Bourgogne-Franche-Comté*fr,,,replace==SDAR Bourgogne-Franche-Comté*fr;Centre Bourgogne-Franche-Comté*fr,replace==Services déconcentrés d'appui à la recherche Bourgogne-Franche-Comté*fr,,replace==https://www.inrae.fr/centres/bourgogne-franche-comte,,,replace==1965,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/36134,https://ror.org/01v6wmk25,replace==Services déconcentrés d'appui à la recherche Bretagne-Normandie*fr,,,replace==SDAR Bretagne-Normandie*fr;Centre Bretagne-Normandie*fr,replace==Services déconcentrés d'appui à la recherche Bretagne-Normandie*fr,,replace==https://www.inrae.fr/centres/bretagne-normandie,,,replace==1971,,,,,,,,,,,replace==3002351
https://github.com/ror-community/ror-updates/issues/36135,https://ror.org/02cbapb21,replace==Services déconcentrés d'appui à la recherche Ile-de-France-Versailles-Saclay*fr,,,replace==SDAR IdF-Versailles-Saclay*fr;Centre Île-de-France - Versailles-Grignon*fr,replace==Services déconcentrés d'appui à la recherche Ile-de-France-Versailles-Saclay*fr,,replace==https://www.inrae.fr/centres/ile-france-versailles-saclay,,,replace==1958,,,,,,,,,,,replace==2969679
https://github.com/ror-community/ror-updates/issues/36136,https://ror.org/00gtg0p11,replace==Services déconcentrés d'appui à la recherche Ile-de-France-Jouy-en-Josas-Antony*fr,,,replace==SDAR IdF-Jouy-en-Josas-Antony*fr;Centre Île-de-France - Jouy-en-Josas - Antony*fr,replace==Services déconcentrés d'appui à la recherche Ile-de-France-Jouy-en-Josas-Antony*fr,,replace==https://www.inrae.fr/centres/ile-france-jouy-josas-antony,,,replace==1954,,,,,,,,,,,replace==3012165
