Issue # from Github,Issue URL,Issue title from Github,Name of org in Record ID,Record ID,Related ID,Name of org in Related ID,Relationship of Related ID to Record ID,Current location of Related ID
,,,"AGC Engineering Co., Ltd. (Japan)",https://ror.org/003jq2493,https://ror.org/02nnhbq91,Asahi Glass (Japan),Parent,Release
,,,"AGC Seimi Chemical Co., Ltd. (Japan)",https://ror.org/02049b043,https://ror.org/02nnhbq91,Asahi Glass (Japan),Parent,Release
,,,"AGC Techno Glass Co., Ltd. (Japan)",https://ror.org/007abv018,https://ror.org/02nnhbq91,Asahi Glass (Japan),Parent,Release
,,,"AGC Plibrico Co., Ltd. (Japan)",https://ror.org/05yp7vk97,https://ror.org/02nnhbq91,Asahi Glass (Japan),Parent,Release
,,,BASF Japan Ltd. (Japan),https://ror.org/027k20r32,https://ror.org/01q8f6705,BASF (Germany),Parent,Release
,,,"IHI Transport Machinery Co., Ltd. (Japan)",https://ror.org/02fmncw65,https://ror.org/018nb9n34,IHI Corporation (Japan),Parent,Release
,,,JFE Steel Corporation (Japan),https://ror.org/049nfwr75,https://ror.org/0289e7422,JFE Holdings (Japan),Parent,Release
,,,"JFE Mineral & Alloy Company, Ltd. (Japan)",https://ror.org/05tynsn71,https://ror.org/01b5g6d73,"Mizushima Ferroalloy Co., Ltd. (Japan)",Predecessor,Release
,,,Kyoto Robotics Corporation (Japan),https://ror.org/04bcm2d11,https://ror.org/02exqgm79,Hitachi (Japan),Parent,Release
,,,"NBC Co., Ltd. (Japan)",https://ror.org/03hvt1646,https://ror.org/02t19fx09,Kinokuniya,Parent,Release
,,,"NEC Platforms, Ltd. (Japan)",https://ror.org/002af1f68,https://ror.org/04jndar25,NEC (Japan),Parent,Release
,,,"NEC System Technologies, Ltd. (Japan)",https://ror.org/00sfpf304,https://ror.org/04jndar25,NEC (Japan),Parent,Release
,,,"NEC Space Technologies, Ltd. (Japan)",https://ror.org/056pn9j89,https://ror.org/04jndar25,NEC (Japan),Parent,Release
,,,"NEC Solution Innovators, Ltd. (Japan)",https://ror.org/04k1qqg60,https://ror.org/04jndar25,NEC (Japan),Parent,Release
