html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,ror_id,parent,child,related,successor,predecessor,nid,comments,,,,,,,
,,Politeknik METrO Betong Sarawak*ms,active,education,METrO Betong Sarawak Polytechnic*en,Politeknik METrO Betong Sarawak*ms,PMBS*ms,https://www.pmbs.edu.my,,pmbs.edu.my,2012,,,,,,,,,Betong,Malaysia,1736902,,,,,,,R000067,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=773; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=773; state=Sarawak | VERIFIED: type=education; established=2012; keep_alias=True; affiliation_usage=none_found; website=correct; ids=; confidence=high; established_source=other_source; scope=in_scope,,,,,,,
,,Politeknik METrO Kuala Lumpur*ms,active,education,METrO Kuala Lumpur Polytechnic*en,Politeknik METrO Kuala Lumpur*ms,PMKL*ms,https://pmkl.mypolycc.edu.my,,pmkl.mypolycc.edu.my,2011,,,,,,,,,Kuala Lumpur,Malaysia,1735161,,,,,,,R000068,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=663; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=663; state=Wilayah Persekutuan Kuala Lumpur | VERIFIED: type=education; established=2011; keep_alias=True; affiliation_usage=none_found; website=correct; ids=; confidence=medium; established_source=other_source; scope=in_scope,,,,,,,
,,Politeknik Bagan Datuk*ms,active,education,,Politeknik Bagan Datuk*ms,PBD*ms,https://pbd.mypolycc.edu.my,,pbd.mypolycc.edu.my,2016,,,,,,,,,Bagan Datuk,Malaysia,1735179,,,,,,,R000069,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=980; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=980; state=Perak | VERIFIED: type=education; established=2016; keep_alias=False; affiliation_usage=none_found; website=correct; ids=; confidence=high; established_source=other_source; scope=in_scope,,,,,,,
,,Politeknik Balik Pulau*ms,active,education,,Politeknik Balik Pulau*ms,PBU*ms,https://pbu.mypolycc.edu.my,,pbu.mypolycc.edu.my,2007,,,,,,,Q20459473,Q20459473,Balik Pulau,Malaysia,1735096,,,,,,,R000070,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=658; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=658; state=Penang | VERIFIED: type=education; established=2007; keep_alias=False; affiliation_usage=none_found; website=correct; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope,,,,,,,
,,Politeknik Banting Selangor*ms,active,education,Politeknik Banting*ms,Politeknik Banting Selangor*ms,PBS*ms,https://pbs.mypolycc.edu.my,,pbs.mypolycc.edu.my,2007,,,,,,,,,Banting,Malaysia,1734781,,,,,,,R000071,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=657; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=657; state=Selangor | VERIFIED: type=education; established=2007; keep_alias=False; affiliation_usage=none_found; website=correct; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope,,,,,,,
,,Politeknik Besut Terengganu*ms,active,education,Politeknik Besut*ms,Politeknik Besut Terengganu*ms,PBT*ms,https://polibesut.edu.my,,polibesut.edu.my,,,,,,,,,,Kuala Besut,Malaysia,1736400,,,,,,,R000072,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=965; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=965; state=Terengganu | VERIFIED: type=education; established=unknown; keep_alias=False; affiliation_usage=crossref_exact; website=unreachable; ids=; confidence=high; established_source=not_found; scope=in_scope; adversarial_overturned=affiliation_usage,,,,,,,
,,Politeknik Hulu Terengganu*ms,active,education,,Politeknik Hulu Terengganu*ms,PHT*ms,https://pht.mypolycc.edu.my,,pht.mypolycc.edu.my;pht.edu.my,2008,,,,,,,Q12701143,Q12701143,Kuala Berang,Malaysia,1734720,,,,,,,R000073,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=659; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=659; state=Terengganu | VERIFIED: type=education; established=2008; keep_alias=False; affiliation_usage=none_found; website=correct; ids=wikidata_id; confidence=high; established_source=org_website; scope=in_scope,,,,,,,
,,Politeknik Ibrahim Sultan*ms,active,education,Politeknik Johor Bahru*ms,Politeknik Ibrahim Sultan*ms;Ibrahim Sultan Polytechnic*en,PIS*ms,http://www.pis.edu.my,,pis.edu.my,1998,,,,,,,Q7210149,Q7210149,Pasir Gudang,Malaysia,1732722,,,,,,,R000074,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=572; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPListAA.cfm?IDAkrIPTS=572; state=Johor | VERIFIED: type=education; established=1998; keep_alias=True; affiliation_usage=crossref_exact; website=unreachable; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope; adversarial_overturned=alias_values,,,,,,,
,,Politeknik Jeli Kelantan*ms,active,education,Politeknik Jeli*ms,Politeknik Jeli Kelantan*ms,PJK*ms,http://www.pjk.edu.my,,pjk.edu.my,2007,,,,,,,Q12701144,Q12701144,Jeli,Malaysia,1734464,,,,,,,R000075,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=660; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=660; state=Kelantan | VERIFIED: type=education; established=2007; keep_alias=False; affiliation_usage=none_found; website=correct; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope,,,,,,,
,,Politeknik Kota Bharu*ms,active,education,,Politeknik Kota Bharu*ms,PKB*ms,http://www.pkb.edu.my,,pkb.edu.my,1985,,,,,,,Q12701146,Q12701146,Ketereh,Malaysia,1735535,,,,,,,R000076,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=634; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=634; state=Kelantan | VERIFIED: type=education; established=1985; keep_alias=False; affiliation_usage=none_found; website=unreachable; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope,,,,,,,
