html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,ror_id,parent,child,related,successor,predecessor
,,University of Eastern Pangasinan*en,active,education,,University of Eastern Pangasinan*en,UEP*en,https://uepbinalonan.edu.ph,,uepbinalonan.edu.ph,2005,,,,,,,Q136565009,Q136565009,Binalonan,Philippines,1725127,https://ror.org/02pc7hh67,,,,,
,,CICOSAT Colleges*en,active,education,,CICOSAT Colleges*en,,https://cicosat.edu.ph,,cicosat.edu.ph,,,,,,,,,,San Fernando,Philippines,1690033,https://ror.org/04w43yr82,,,,,
,,Data Center College of the Philippines of Laoag City*en,active,education,"Data Center College of the Philippines of Laoag City, Inc.*en",Data Center College of the Philippines of Laoag City*en,,https://dccplcinc.wixsite.com/datacenterlaoag,,,,,,,,,,,,Laoag City,Philippines,1707404,https://ror.org/04ayrvc90,,,,,
,,Divine Word College of Laoag*en,active,education,Saint William's College*en,Divine Word College of Laoag*en,,http://www.dwcl.edu.ph,,dwcl.edu.ph,1946,,,,,0000 0004 0639 5787,0000 0004 0639 5787,Q5284148,Q5284148,Laoag,Philippines,1707404,https://ror.org/05ajt5a78,,,,,
,,Lorma Colleges*en,active,education,,Lorma Colleges*en,,https://lormacolleges.com/,,lormacolleges.com,1970,,,,,,,Q12967354,Q12967354,San Fernando,Philippines,1690033,https://ror.org/027r46638,,,,,
,,Metro-Dagupan Colleges*en,active,education,Metro Dagupan Colleges*en,Metro-Dagupan Colleges*en,MDC*en,https://metrodagupancolleges.edu.ph,,metrodagupancolleges.edu.ph,,,,,,,,,,Mangaldan,Philippines,1701872,https://ror.org/02bve3d36,,,,,
,,Northern Christian College*en,active,education,"Northern Christian College, Inc.*en",Northern Christian College*en,NCC*en,https://ncc.edu.ph,,ncc.edu.ph,1946,,,,,0000 0004 0470 2544,0000 0004 0470 2544,,,Laoag,Philippines,1707404,https://ror.org/00yeh0s07,,,,,
,,"Northern Philippines College for Maritime, Science and Technology*en",active,education,"Northern Philippines College for Maritime, Science and Technology, Inc.*en; Northern Philippines College for Maritime Science and Technology*en","Northern Philippines College for Maritime, Science and Technology*en",NPCMST*en,http://npcmst.edu.ph,,npcmst.edu.ph,,,,,,,,,,San Fernando,Philippines,1690033,https://ror.org/03pa9ws16,,,,,
,,Osias Educational Foundation*en,active,education,Osias Educational Foundation Inc.*en;Osias Colleges*en,Osias Educational Foundation*en,OEF*en,https://osiaseducationalfoundation.edu.ph,,osiaseducationalfoundation.edu.ph,1947,,,,,,,,,Balaoan,Philippines,1728439,https://ror.org/021760080,,,,,
,,Panpacific University*en,active,education,Panpacific University North Philippines*en,Panpacific University*en,,http://www.panpacificu.edu.ph,,panpacificu.edu.ph,,,,,,,,Q101072799,Q101072799,Urdaneta,Philippines,1680197,https://ror.org/03jejcq97,,,,,
,,Panpacific University North Philippines-Tayug*en,active,education,PUNP Tayug Campus*en;Panpacific University North Philippines - Tayug Campus*en,Panpacific University North Philippines-Tayug*en,PUNP*en,https://punp.edu.ph/punptayugcampus,,punp.edu.ph;punptayug.edu.ph,,,,,,,,,,Tayug,Philippines,1682574,https://ror.org/04y1s0533,,,,,
,,PHINMA-Upang College Urdaneta*en,active,education,,PHINMA-Upang College Urdaneta*en,,https://up.phinma.edu.ph,,up.phinma.edu.ph,2015,,,,,,,,,Urdaneta,Philippines,1680197,https://ror.org/01a62ps65,,,https://ror.org/0549zdk35,,
