html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
,https://ror.org/000050t83,,,,,,,,,replace==enri.go.jp,,,,,,,,,,,,
,https://ror.org/0000pmw59,,,,,,,,,replace==ivpp.ac.cn,,,,,,,,,,,,
,https://ror.org/00013q465,,,,,,,,,replace==pucp.edu.pe,,,,,,,,,,,,
,https://ror.org/0002pcv65,,,,,,,,,replace==unrc.edu.ar,,,,,,,,,,,,
,https://ror.org/00088z429,,,,,,,replace==https://www.kobepharma-u.ac.jp/,,replace==kobepharma-u.ac.jp,,,,,,,,,,,,
,https://ror.org/0008xqs48,,,,,,,replace==https://idibell.cat/,,replace==idibell.cat,,,,,,,,,,,,
,https://ror.org/000917t60,,,,,,,,,replace==uaslp.mx,,,,,,,,,,,,
,https://ror.org/0009t4v78,,,,,,,,,replace==aru.ac.uk,,,,,,,,,,,,
,https://ror.org/000cyem11,,,,,,,replace==https://www.danforthcenter.org/,,replace==danforthcenter.org,,,,,,,,,,,,
,https://ror.org/000e0be47,,,,,,,replace==https://www.northwestern.edu/,,replace==northwestern.edu,,,,,,,,,,,,
,https://ror.org/000fxgx19,,,,,,,,,replace==sunypoly.edu,,,,,,,,,,,,
,https://ror.org/000jvv118,,,,,,,replace==https://www.univ-djelfa.dz/,,replace==univ-djelfa.dz,,,,,,,,,,,,
,https://ror.org/000pmrk50,,,,,,,,,replace==uii.ac.id,,,,,,,,,,,,
,https://ror.org/000q08p21,,,,,,,replace==https://www.schott.com/en-us,,replace==schott.com,,,,,,,,,,,,
,https://ror.org/000qzf213,,,,,,,,,replace==ust.ac.kr,,,,,,,,,,,,
,https://ror.org/000sfad56,,,,,,,replace==https://www.ifpan.edu.pl/,,replace==ifpan.edu.pl,,,,,,,,,,,,
,https://ror.org/000sxmx78,,,,,,,replace==https://www.wzeye.cn/,,replace==eye.ac.cn,,,,,,,,,,,,
,https://ror.org/000t0f062,,,,,,,replace==https://www.eduhk.hk/,,replace==eduhk.hk,,,,,,,,,,,,
,https://ror.org/000y2g343,,,,,,,,,replace==unec.edu.az,,,,,,,,,,,,
,https://ror.org/000zhpw23,,,,,,,replace==https://www.institut-vision.org/,,replace==institut-vision.org,,,,,,,,,,,,
,https://ror.org/0010b6s72,,,,,,,replace==https://www.tjau.edu.cn/,,replace==tjau.edu.cn,,,,,,,,,,,,
,https://ror.org/0016yxd93,,,,,,,replace==https://www.emelibrary.org/,,replace==emelibrary.org,,,,,,,,,,,,
,https://ror.org/0018xw886,,,,,,,replace==https://www.ausl.mo.it/,,replace==ausl.mo.it,,,,,,,,,,,,
,https://ror.org/0019x5d05,,,,,,,replace==https://www.ibcp.fr/,,replace==ibcp.fr,,,,,,,,,,,,
,https://ror.org/001amd982,,,,,,,,,replace==niu.edu.in,,,,,,,,,,,,
,https://ror.org/001b4cb05,,,,,,,replace==https://www.unitru.edu.pe/,,replace==unitru.edu.pe,,,,,,,,,,,,
,https://ror.org/001bbwj30,,,,,,,,,replace==ausl.re.it,,,,,,,,,,,,
,https://ror.org/001cwea56,,,,,,,,,replace==cttc.cat,,,,,,,,,,,,
,https://ror.org/001ecav82,,,,,,,replace==https://www.macnconicet.gob.ar/,,replace==macn.gov.ar,,,,,,,,,,,,
,https://ror.org/001f7a930,,,,,,,,,replace==cittadellasalute.to.it,,,,,,,,,,,,
,https://ror.org/001g9gn21,,,,,,,replace==https://faculdadebrasil.edu.br/,,replace==faculdadebrasil.edu.br,,,,,,,,,,,,
,https://ror.org/001ggbx22,,,,,,,replace==https://www.niid.jihs.go.jp/,,replace==nih.go.jp,,,,,,,,,,,,
,https://ror.org/001gmya32,,,,,,,replace==https://www.jcu.edu/,,replace==jcu.edu,,,,,,,,,,,,
,https://ror.org/001hv0k59,,,,,,,replace==https://www.toyota-ti.ac.jp/,,replace==toyota-ti.ac.jp,,,,,,,,,,,,
,https://ror.org/001jx2139,,,,,,,,,replace==hsjdbcn.org,,,,,,,,,,,,
,https://ror.org/001kjn539,,,,,,,replace==https://www.svhm.org.au/,,replace==svhm.org.au,,,,,,,,,,,,
,https://ror.org/001kv2y39,,,,,,,,,replace==tii.ae,,,,,,,,,,,,
,https://ror.org/001n36p86,,,,,,,replace==https://www.met.no/,,replace==met.no,,,,,,,,,,,,
,https://ror.org/001pma463,,,,,,,replace==https://univkara.tg,,replace==univkara.tg,,,,,,,,,,,,
,https://ror.org/001q4kn48,,,,,,,,,replace==univh2c.ma,,,,,,,,,,,,
,https://ror.org/001rahr89,,,,,,,,,replace==ahnmc.com,,,,,,,,,,,,
,https://ror.org/001rkbe13,,,,,,,replace==https://www.nibn.go.jp/,,replace==nibn.go.jp,,,,,,,,,,,,
,https://ror.org/001sezm06,,,,,,,,,replace==parsons.com,,,,,,,,,,,,
,https://ror.org/001vw6n49,,,,,,,replace==https://www.planta.bio/,,replace==planta.bio,,,,,,,,,,,,
,https://ror.org/001wtjx27,,,,,,,replace==https://www.tatasteel.com/,,replace==tatasteel.com,,,,,,,,,,,,
,https://ror.org/001xkv632,,,,,,,replace==https://www.scu.edu.au/,,replace==scu.edu.au,,,,,,,,,,,,
,https://ror.org/0020x6414,,,,,,,,,replace==hmri.org.au,,,,,,,,,,,,
,https://ror.org/00235nr42,,,,,,,,,replace==unifei.edu.br,,,,,,,,,,,,
,https://ror.org/0025g8755,,,,,,,,,replace==hsacco.it,,,,,,,,,,,,
,https://ror.org/0025ww868,,,,,,,replace==https://www.ncc.go.jp/,,replace==ncc.go.jp,,,,,,,,,,,,
,https://ror.org/00264zf15,,,,,,,,,replace==ztu.edu.cn,,,,,,,,,,,,
,https://ror.org/0027d9x02,,,,,,,,,replace==sinano.ac.cn,,,,,,,,,,,,
,https://ror.org/0027wax95,,,,,,,replace==https://calhum.org/,,replace==calhum.org,,,,,,,,,,,,
,https://ror.org/00286hs46,,,,,,,,,replace==ur.ac.rw,,,,,,,,,,,,
,https://ror.org/0028v3876,,,,,,,,,replace==ccu.edu.tw,,,,,,,,,,,,
,https://ror.org/0029n1t76,,,,,,,replace==https://www.stust.edu.tw/,,replace==stust.edu.tw,,,,,,,,,,,,
,https://ror.org/002an7w33,,,,,,,replace==https://www.uems.eu/,,replace==uems.eu,,,,,,,,,,,,
,https://ror.org/002b21721,,,,,,,replace==https://pansim.edu.pl/,,replace==pansim.edu.pl,,,,,,,,,,,,
,https://ror.org/002cp4060,,,,,,,replace==https://fr.ap-hm.fr/,,replace==ap-hm.fr,,,,,,,,,,,,
,https://ror.org/002epp671,,,,,,,replace==https://www.cens.lmu.de/,,replace==cens.de,,,,,,,,,,,,
,https://ror.org/002g3cb31,,,,,,,replace==https://www.qmu.ac.uk/,,replace==qmu.ac.uk,,,,,,,,,,,,
,https://ror.org/002h8g185,,,,,,,replace==https://www.bath.ac.uk/,,replace==bath.ac.uk,,,,,,,,,,,,
,https://ror.org/002hbfc50,,,,,,,replace==https://www.jlju.edu.cn,,replace==jlju.edu.cn,,,,,,,,,,,,
,https://ror.org/002hfez23,,,,,,,replace==https://www.huvtc.edu.cn/,,replace==huvtc.edu.cn,,,,,,,,,,,,
,https://ror.org/002k8gm39,,,,,,,replace==https://vikramuniv.ac.in/,,replace==vikramuniv.ac.in,,,,,,,,,,,,
,https://ror.org/002n09z45,,,,,,,,,replace==sib.swiss,,,,,,,,,,,,
,https://ror.org/002nf6z37,,,,,,,,,replace==columbusstate.edu,,,,,,,,,,,,
,https://ror.org/002qeva03,,,,,,,replace==https://www.bu.ac.th/,,replace==bu.ac.th,,,,,,,,,,,,
,https://ror.org/002rc4w13,,,,,,,replace==https://www.iub.edu.pk/,,replace==iub.edu.pk,,,,,,,,,,,,
,https://ror.org/002t25c44,,,,,,,,,replace==univ-paris1.fr,,,,,,,,,,,,
,https://ror.org/002v2kq79,,,,,,,replace==https://www.utfpr.edu.br/,,replace==utfpr.edu.br,,,,,,,,,,,,
,https://ror.org/002wfgr58,,,,,,,replace==https://english.seoul.go.kr/,,replace==seoul.go.kr,,,,,,,,,,,,
,https://ror.org/002x1sg85,,,,,,,,,replace==h12o.es,,,,,,,,,,,,
,https://ror.org/002zc3t08,,,,,,,,,replace==imcce.fr,,,,,,,,,,,,
,https://ror.org/002zrf773,,,,,,,,,replace==qualcomm.com,,,,,,,,,,,,
,https://ror.org/0030f2a11,,,,,,,replace==https://www.uk-erlangen.de/,,replace==uk-erlangen.de,,,,,,,,,,,,
,https://ror.org/0030zas98,,,,,,,replace==https://www.polyu.edu.hk/,,replace==polyu.edu.hk,,,,,,,,,,,,
,https://ror.org/003109y17,,,,,,,replace==https://www.unica.it/,,replace==unica.it,,,,,,,,,,,,
,https://ror.org/003392690,,,,,,,replace==https://rshs.go.id/,,replace==rshs.or.id,,,,,,,,,,,,
,https://ror.org/0034eay46,,,,,,,replace==https://www.tamus.edu/,,replace==tamus.edu,,,,,,,,,,,,
,https://ror.org/0034wme67,,,,,,,replace==https://umb.ac.id/,,replace==umb.ac.id,,,,,,,,,,,,
,https://ror.org/0037nyg09,,,,,,,replace==https://ummat.ac.id/,,replace==ummat.ac.id,,,,,,,,,,,,
,https://ror.org/0037yf233,,,,,,,,,replace==exploratorium.edu,,,,,,,,,,,,
,https://ror.org/0039d5757,,,,,,,replace==https://ufg.br/,,replace==ufg.br,,,,,,,,,,,,
,https://ror.org/003ammk23,,,,,,,replace==https://www.walsh.edu/,,replace==walsh.edu,,,,,,,,,,,,
,https://ror.org/003cpqh10,,,,,,,replace==http://www.natcm.gov.cn/,,replace==natcm.gov.cn,,,,,,,,,,,,
,https://ror.org/003eyb898,,,,,,,,,replace==nu.edu.pk,,,,,,,,,,,,
,https://ror.org/003fvp964,,,,,,,,,replace==ipipan.waw.pl,,,,,,,,,,,,
,https://ror.org/003fyqt13,,,,,,,replace==https://www.avm.edu.br/,,replace==avm.edu.br,,,,,,,,,,,,
,https://ror.org/003hhqx84,,,,,,,replace==https://www.ospedalecardarelli.it/,,replace==aocardarelli.it,,,,,,,,,,,,
,https://ror.org/003kqe171,,,,,,,,,replace==duc.edu.gh,,,,,,,,,,,,
,https://ror.org/003ktzf45,,,,,,,replace==https://respati.ac.id,,replace==respati.ac.id,,,,,,,,,,,,
,https://ror.org/003n8re58,,,,,,,,,replace==shao.ac.cn,,,,,,,,,,,,
,https://ror.org/003ngne20,,,,,,,,,replace==ochsner.org,,,,,,,,,,,,
,https://ror.org/003nnep52,,,,,,,replace==https://santacasasp.org.br/,,replace==santacasasp.org.br,,,,,,,,,,,,
,https://ror.org/003pa2681,,,,,,,replace==https://www.endocrincentr.ru/,,replace==endocrincentr.ru,,,,,,,,,,,,
,https://ror.org/003qdfg20,,,,,,,,,replace==soka.ac.jp,,,,,,,,,,,,
,https://ror.org/003qeh975,,,,,,,,,replace==catas.cn,,,,,,,,,,,,
,https://ror.org/003regz62,,,,,,,,,replace==bjtth.cn,,,,,,,,,,,,
,https://ror.org/003tmp461,,,,,,,replace==https://www.schiller.edu/,,replace==schiller.edu,,,,,,,,,,,,
,https://ror.org/003vxvw45,,,,,,,,,replace==unama.br,,,,,,,,,,,,
,https://ror.org/003wx9n05,,,,,,,,,replace==sbs.org,,,,,,,,,,,,
,https://ror.org/003yb7p17,,,,,,,replace==https://www.alcoa.com/,,replace==alcoa.com,,,,,,,,,,,,
,https://ror.org/0040r6f76,,,,,,,,,replace==vuw.ac.nz,,,,,,,,,,,,
,https://ror.org/00414dg76,,,,,,,replace==https://www.rchsd.org/,,replace==rchsd.org,,,,,,,,,,,,
,https://ror.org/00445hv47,,,,,,,replace==https://www.ylu.edu.cn/,,replace==ylu.edu.cn,,,,,,,,,,,,
,https://ror.org/00453a208,,,,,,,replace==https://www.cuny.edu/,,replace==cuny.edu,,,,,,,,,,,,
,https://ror.org/0046mja08,,,,,,,replace==https://www.najah.edu/,,replace==najah.edu,,,,,,,,,,,,
,https://ror.org/004776246,,,,,,,,,replace==cust.edu.pk,,,,,,,,,,,,
