html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,parent,child,related,successor,predecessor,nid,comments
,https://ror.org/02afwgc64,ECSEL Joint Undertaking,inactive,funder;government,,ECSEL Joint Undertaking*en; Electronic Components and Systems for European Leadership Joint Undertaking*en; Electronic Components and Systems for European Leadership*en,ECSEL*en,https://www.chips-ju.europa.eu/Time-line/,,ecsel.eu,2014,501100011688,501100011688,,,,,Q102089992,Q102089992,Brussels,Belgium,2800866,,,,,,R000003,openalex_funder_id=F4320327207; crossref_funder_doi=https://doi.org/10.13039/501100011688; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=279; works_in_openalex=2627 | VERIFIED: type=funder; established=2014; keep_alias=False; affiliation_usage=crossref_exact; website=dead; ids=wikidata_id; confidence=high; established_source=other_source; scope=in_scope; adversarial_overturned=labels
,https://ror.org/04xp7me20,SAGE Foundation,active,nonprofit;funder,,SAGE Foundation*en; Shahani Academic & Global Empowerment (SAGE) Foundation*en; Shahani Academic and Global Empowerment Foundation*en,SAGE*en,https://thesagefoundation.org,,thesagefoundation.org,2007,100001832,100001832,,,,,,,Mumbai,India,1275339,,,,,,R000007,openalex_funder_id=F4320306819; crossref_funder_doi=https://doi.org/10.13039/100001832; openalex_priority=A; openalex_type_guess=fund/foundation; awards_in_openalex=1; works_in_openalex=1998; country_code=US | VERIFIED: type=nonprofit; established=2007; keep_alias=False; affiliation_usage=none_found; website=correct; ids=; confidence=high; established_source=org_website; scope=in_scope
,https://ror.org/05tz27s69,Commercialization Promotion Agency for R&D Outcomes,active,funder,과학기술일자리진흥원*ko; 연구성과실용화진흥원*ko,Commercialization Promotion Agency for R&D Outcomes*en; 과학기술사업화진흥원*ko; Commercializations Promotion Agency for R&D Outcomes*en,COMPA*en,https://www.compa.re.kr/,,compa.re.kr,2012,501100023443,501100023443,,,,,Q19161842,Q19161842,Seoul,South Korea,1835848,https://ror.org/01wpjm123,,,,,R000010,openalex_funder_id=F4320332128; crossref_funder_doi=https://doi.org/10.13039/501100023443; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=178; works_in_openalex=1306; country_code=KR | VERIFIED: type=funder; established=2012; keep_alias=False; affiliation_usage=crossref_exact; website=correct; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope
,https://ror.org/011xwe428,Institut Carnot Santé Animale,active,facility;funder,,Institut Carnot Santé Animale*fr,ICSA*fr,,,,2011,501100011900,501100011900,,,,,,,Nouzilly,France,2989945,,,,,,R000013,openalex_funder_id=F4320327346; crossref_funder_doi=https://doi.org/10.13039/501100011900; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=18; works_in_openalex=1118; country_code=FR | VERIFIED: type=facility; established=2011; keep_alias=False; affiliation_usage=none_found; website=dead; ids=; confidence=high; established_source=org_website; scope=in_scope
,https://ror.org/03qptmm33,Seqirus (Australia),active,company;funder,,Seqirus (Australia)*en; Seqirus (Australia) Pty Ltd*en; CSL Seqirus*en,,https://www.cslseqirus.com.au/,,cslseqirus.com.au,2006,501100023280,501100023280,,,,,,,Melbourne,Australia,2158177,https://ror.org/044tc0x05,,,,,R000014,openalex_funder_id=F4320332036; crossref_funder_doi=https://doi.org/10.13039/501100023280; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=10; works_in_openalex=956; country_code=AU | VERIFIED: type=company; established=2006; keep_alias=True; affiliation_usage=crossref_exact; website=correct; ids=; confidence=high; established_source=national_registry; scope=in_scope
,https://ror.org/05jcvqz82,Pelotonia,active,funder,,Pelotonia*en,,https://www.pelotonia.org,,pelotonia.org,2008,100015979,100015979,,,0000 0004 9225 8315,0000 0004 9225 8315,Q7161713,Q7161713,Columbus,United States,4509177,,,,,,R000015,"openalex_funder_id=F4320316230; crossref_funder_doi=https://doi.org/10.13039/100015979; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=12; works_in_openalex=927; country_code=US | VERIFIED: type=funder; established=2008; keep_alias=False; affiliation_usage=none_found; website=correct; ids=wikidata_id,isni; confidence=high; established_source=wikipedia; scope=in_scope; adversarial_overturned=isni"
,https://ror.org/00wjvma62,Research Institute of Science and Technology for Society,active,funder,,Research Institute of Science and Technology for Society*en; 社会技術研究開発センター*ja,RISTEX*en,https://www.jst.go.jp/ristex/,,,2001,501100009028,501100009028,,,,,Q45131387,Q45131387,Tokyo,Japan,1850147,https://ror.org/00097mb19,,,,,R000016,"openalex_funder_id=F4320338116; crossref_funder_doi=https://doi.org/10.13039/501100009028; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=151; works_in_openalex=905; country_code=JP | VERIFIED: type=funder; established=2001; keep_alias=False; affiliation_usage=crossref_exact; website=replaced; ids=wikidata_id; confidence=medium; established_source=org_website; adversarial_change=Overturned scope from subunit to in_scope and completed the record from scratch. Pass 1's facts all check out, but it applied the legal-personality test that this batch reserves for programme-shaped funder strings to a named research institute; the batch's scope reconciliation puts a named research centre that funds research in_scope and explicitly says not to downgrade named research centres or institutes. Added official_name, ja label, acronym RISTEX, live website (supplied host is dead, DNS no answer), established 2001 from the organization's own history page, Wikidata Q45131387, Tokyo/1850147, ror_type funder, crossref_exact affiliation usage, and the JST parent edge as a relationship. Duplicate verdict moved from no_candidates to rejected: the screen's candidate https://ror.org/00097mb19 was adjudicated and is the parent, and independent ROR sweeps by name, Japanese name, romanization, domain and FundRef id find no record for RISTEX.; scope=in_scope; adversarial_overturned=scope.verdict,scope.parent,official_name,labels,acronym,affiliation_usage,website,website_status,established,established_basis,established_source,wikidata_id,ror_type,city,geonames_id,dup_verdict.verdict,relationships"
,https://ror.org/01c6a8q83,Alliance of International Science Organizations,active,nonprofit;funder,,Alliance of International Science Organizations*en; “一带一路”国际科学组织联盟*zh,ANSO*en,https://www.anso.org.cn/,,anso.org.cn,2018,501100023279,501100023279,,,,,Q112829347,Q112829347,Beijing,China,1816670,,,,,,R000021,openalex_funder_id=F4320332035; crossref_funder_doi=https://doi.org/10.13039/501100023279; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=188; works_in_openalex=783; country_code=CN | VERIFIED: type=nonprofit; established=2018; keep_alias=False; affiliation_usage=none_found; website=correct; ids=wikidata_id; confidence=high; established_source=org_website; scope=in_scope
,https://ror.org/014x0er85,Nestec (Switzerland),active,company;funder,Nestec Ltd.*en; Nestec S.A.*fr,Nestec*en,,,,,,501100019442,501100019442,,,0000 0005 0276 743X,0000 0005 0276 743X,Q112197096,Q112197096,Vevey,Switzerland,2658145,https://ror.org/01v5xwf23,,,,,R000023,"openalex_funder_id=F4320330399; crossref_funder_doi=https://doi.org/10.13039/501100019442; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=6; works_in_openalex=758; country_code=CH | VERIFIED: type=company; established=unknown; keep_alias=True; affiliation_usage=crossref_exact; website=not_checked; ids=isni; confidence=high; established_source=not_found; scope=in_scope; adversarial_overturned=isni,relationships[0].evidence"
,https://ror.org/05kxxzr08,Climate KIC,active,funder;nonprofit,,Climate KIC*en; EIT Climate-KIC*en; Climate-KIC*en; Stichting Climate-KIC International Foundation*nl,,https://www.climate-kic.org,,climate-kic.org,2010,100013283,100013283,,,0000 0005 1273 4615,0000 0005 1273 4615,Q112085315,Q112085315,Amsterdam,The Netherlands,2759794,,,,,,R000024,"openalex_funder_id=F4320338385; crossref_funder_doi=https://doi.org/10.13039/100013283; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=64; works_in_openalex=738 | VERIFIED: type=funder; established=2010; keep_alias=False; affiliation_usage=none_found; website=correct; ids=wikidata_id,isni; confidence=high; established_source=other_source; scope=in_scope; adversarial_overturned=isni"
