html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,ror_id,parent,child,related,successor,predecessor
,,China Fire and Rescue Institute*en,,education,中国人民武装警察部队警种指挥学院; 中国人民武装警察部队警种学院,中国消防救援学院*zh; China Fire and Rescue Institute*en,,https://www.cfri.edu.cn/,,cfri.edu.cn,2006,,,,,,,Q10872919,Q10872919,Beijing,China,1816670,,,,,,
,,Kede College of Capital Normal University*en,,education,,首都师范大学科德学院*zh; Kede College of Capital Normal University*en,,https://www.kdcnu.com,,kdcnu.com,2004,,,,,,,Q15954201,Q15954201,Beijing,China,1816670,,,,https://ror.org/005edt527,,
,,Beijing University of Financial Technology*en,,education,"北京工商大学嘉华学院; Canvard College, Beijing Technology and Business University",北京金融科技学院*zh; Beijing University of Financial Technology*en,,,,,,,,,,,,Q112676097,Q112676097,Beijing,China,1816670,,,,,,
,,"Century College, Beijing University of Posts and Telecommunications*en",,education,,"北京邮电大学世纪学院*zh; Century College, Beijing University of Posts and Telecommunications*en",,http://www.ccbupt.cn/,,ccbupt.cn,2005,,,,,,,Q17163918,Q17163918,Beijing,China,1816670,,,,https://ror.org/04w9fbh59,,
,,Gengdan Institute of Beijing University of Technology*en,,education,耿丹学院,北京工业大学耿丹学院*zh; Gengdan Institute of Beijing University of Technology*en,,http://www.gengdan.cn,,gengdan.cn,2005,,,,,,,Q112676100,Q112676100,Beijing,China,1816670,,,,,,
,,Beijing Hospitality Institute*en,,education,中瑞酒店管理学院,北京第二外国语学院中瑞酒店管理学院*zh; Beijing Hospitality Institute*en,BHI,http://www.bhi.edu.cn/,,bhi.edu.cn,2008,,,,,,,Q112676101,Q112676101,Beijing,China,1816670,,,,https://ror.org/058s1vf87,,
,,China Civil Affairs University*en,,education,北京社会管理职业学院; Beijing College of Social Administration,民政职业大学*zh; China Civil Affairs University*en,,https://www.bcsa.edu.cn/,,bcsa.edu.cn,1959,,,,,,,Q10902379,Q10902379,Beijing,China,1816670,,,,,,
,,Beijing Polytechnic College*en,,education,,北京工业职业技术学院*zh; Beijing Polytechnic College*en,,https://www.bgy.edu.cn/,,bgy.edu.cn,,,,,,,,Q112676102,Q112676102,Beijing,China,1816670,,,,,,
,,Beijing Information Technology College*en,,education,,北京信息职业技术学院*zh; Beijing Information Technology College*en,BITC,http://www.bitc.edu.cn/,,bitc.edu.cn,1954,,,,,,,Q110104702,Q110104702,Beijing,China,1816670,,,,,,
,,Beijing Jingbei Vocational College*en,,education,,北京京北职业技术学院*zh; Beijing Jingbei Vocational College*en,,https://www.jbzy.com.cn/,,jbzy.com.cn,,,,,,,,Q112676103,Q112676103,Beijing,China,1816670,,,,,,
