html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
,https://ror.org/013z3yn41,,,,,add==Adana Alparslan Türkeş Science and Technology University*en,,,,,,,,,,,,,,,,
,https://ror.org/02adgag39,,,,add==AIXTRON SE*de,,,,,,,,,,,,,,,,,
,https://ror.org/01wy0hc37,,,,add==ALISTORE-ERI European Research Institute*en,,,,,,,,,,,,,,,,,
,https://ror.org/0176yqn58,,,,add==American University Cairo*en,,,,,,,,,,,,,,,,,
,https://ror.org/05tvnhf16,,,,add==Anthogyr SAS*fr,,,,,,,,,,,,,,,,,
,https://ror.org/044kkbh92,,,,add==BMW Group*en,,,,,,,,,,,,,,,,,
,https://ror.org/004af2v94,,,,add==Braude Academic College of Engineering*en,,,,,,,,,,,,,,,,,
,https://ror.org/01026pq66,,,,add==ENEA Frascati*it,,,,,,,,,,,,,,,,,
,https://ror.org/020qm1538,,,,add==California State University*en,,,,,,,,,,,,,,,,,
,https://ror.org/03h7r5v07,,,,add==Catholic University of Sacred Heart*en,,,,,,,,,,,,,,,,,
,https://ror.org/022wqqf69,,,,add==CEIT-Basque Research and Technology Alliance*en,,,,,,,,,,,,,,,,,
,https://ror.org/01gw5dy53,,,,add==Center for International Climate Research*en,,,,,,,,,,,,,,,,,
,https://ror.org/0505he277,,,,add==Central Japan Railway*en,,,,,,,,,,,,,,,,,
,https://ror.org/049xnr573,,,,add==Centro Nacional Patagónico*es,,,,,,,,,,,,,,,,,
,https://ror.org/01qb1sw63,,,,add==Centro Studi e Ricerche Enrico Fermi*it,,,,,,,,,,,,,,,,,
,https://ror.org/041qf4r12,,,,add==China University of Petroleum (Beijing)*en,,,,,,,,,,,,,,,,,
,https://ror.org/016xsfp80,,,,add==Radboud University*en,,,,,,,,,,,,,,,,,
,https://ror.org/0587ef340,,,,add==Comenius University in Bratislava*en,,,,,,,,,,,,,,,,,
,https://ror.org/030tcae29,,,,add==Maulana Abul Kalam Azad University of Technology*en,,,,,,,,,,,,,,,,,
,https://ror.org/02p77k626,,,,add==Tor Vergata University of Rome*en,,,,,,,,,,,,,,,,,
,https://ror.org/003109y17,,,,add==Università di Cagliari*it,,,,,,,,,,,,,,,,,
,https://ror.org/02r2nns16,,,,,add==University Hospital Krems*en,,,,,,,,,,,,,,,,
,https://ror.org/00nf91p74,,,,"add==DPHY, ONERA*fr",,,,,,,,,,,,,,,,,
,https://ror.org/02495e989,,,,add==University of Louvain*en,,,,,,,,,,,,,,,,,
,https://ror.org/0586wsk08,,,,add==OHB System AG*de,,,,,,,,,,,,,,,,,
,https://ror.org/04qenc566,,,,,add==ESPOL Polytechnic University*en,,,,,,,,,,,,,,,,
,https://ror.org/03kqpb082,,,,add==CTU in Prague*en,,,,,,,,,,,,,,,,,
,https://ror.org/04yqw9c44,,,,,add==Federal University of Juiz de Fora*en,,,,,,,,,,,,,,,,
,https://ror.org/00rg70c39,,,,add==Fondazione Policlinico Universitario A. Gemelli IRCCS*it,,,,,,,,,,,,,,,,,
,https://ror.org/04qw24q55,,,,add==Wageningen University*en,,,,,,,,,,,,,,,,,
,https://ror.org/01nre9703,,,,add==French Hydrographic and Oceanographic Service*en,,,,,,,,,,,,,,,,,
,https://ror.org/03ngjpk76,,,,add==General Atomics*en,,,,,,,,,,,,,,,,,
,https://ror.org/050n06q35,,,,add==Gorenje d.o.o.*sl,,,,,,,,,,,,,,,,,
,https://ror.org/04as3rk94,,,,add==Grenoble Institut des Neurosciences*fr,,,,,,,,,,,,,,,,,
,https://ror.org/034rhsb33,,,,add==Helmholtz Institute Ulm for Electrochemical Energy Storage*en,,,,,,,,,,,,,,,,,
,https://ror.org/01nz9v648,,,,add==HiFunda LLC*en,,,,,,,,,,,,,,,,,
,https://ror.org/00cmhce21,,,,,"add==Huawei Technologies Co., Ltd.*en",,,,,,,,,,,,,,,,
,https://ror.org/006sgpv47,,,,,add==Ibn Zohr University*en,,,,,,,,,,,,,,,,
,https://ror.org/05b88kk95,,,,add==Imerys Graphite & Carbon Switzerland*en,,,,,,,,,,,,,,,,,
,https://ror.org/035gh3a49,,,,add==IMT School for Advanced Studies*en,,,,,,,,,,,,,,,,,
,https://ror.org/05eva6s33,,,,add==INFN-Sezione di Roma 1*it,,,,,,,,,,,,,,,,,
,https://ror.org/03paz5966,,,,"add==INFN, Sezione di Cagliari*it",,,,,,,,,,,,,,,,,
,https://ror.org/02vv5y108,,,,"add==INFN, Sezione di Firenze*it",,,,,,,,,,,,,,,,,
,https://ror.org/01xtjs520,,,,add==Institut Laue Langevin*fr,add==Institut Max von Laue-Paul Langevin*fr,,,,,,,,,,,,,,,,
,https://ror.org/05wy89733,,,,,add==Institut Polytechnique UniLaSalle*fr,,,,,,,,,,,,,,,,
,https://ror.org/00ygy3d85,,,,add==Institute for Applied Computing*en,,,,,,,,,,,,,,,,,
,https://ror.org/047rmsn51,,,,add==Istituto per la Scienza e la Tecnologia dei Plasmi*it,add==Institute for Plasma Science and Technology*en,,,,,,,,,,,,,,,,
