html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
https://github.com/ror-community/ror-updates/issues/16741,,Minami-Shinsyu Iida Industry Center*en,active,facility,,Minami-Shinsyu Iida Industry Center*en;公益財団法人南信州・飯田産業センター*ja,,https://www.isilip.com,,isilip.com,,,,,,,,,,Iida,Japan,1861864
https://github.com/ror-community/ror-updates/issues/16741,,Japan Tennis Association*en,active,nonprofit,,Japan Tennis Association*en;公益財団法人日本テニス協会*ja,,https://www.jta-tennis.or.jp,,jta-tennis.or.jp,,,,,,,,,,Tokyo,Japan,1850147
https://github.com/ror-community/ror-updates/issues/16741,,THE Flower Association Of Japan*en,active,nonprofit,Flower Association Of Japan*en,THE Flower Association Of Japan*en;公益財団法人日本花の会*ja,,https://www.hananokai.or.jp,,hananokai.or.jp,,,,,,,,,,Tokyo,Japan,1850147
https://github.com/ror-community/ror-updates/issues/16741,,Japan Educational Exchanges and Services*en,active,nonprofit,,Japan Educational Exchanges and Services*en;公益財団法人日本国際教育支援協会*ja,,https://www.jees.or.jp,,jees.or.jp,,,,,,,,,,Tokyo,Japan,1850147
https://github.com/ror-community/ror-updates/issues/16741,,Association Of Precise SURVEY&APPLIED Technology*en,active,nonprofit,,Association Of Precise SURVEY&APPLIED Technology*en;公益財団法人日本測量調査技術協会*ja,,https://sokugikyo.or.jp,,sokugikyo.or.jp,,,,,,,,,,Tokyo,Japan,1850147
https://github.com/ror-community/ror-updates/issues/16741,,The Real Estate Transaction Promotion Center*en,active,nonprofit,Real Estate Transaction Promotion Center*en,The Real Estate Transaction Promotion Center*en;公益財団法人不動産流通推進センター*ja,,https://www.retpc.jp,,retpc.jp,,,,,,,,,,Tokyo,Japan,1850147
https://github.com/ror-community/ror-updates/issues/16741,,Okinawa Nursing Association*en,active,nonprofit,,Okinawa Nursing Association*en;公益社団法人沖縄県看護協会*ja,,https://www.oki-kango.or.jp,,oki-kango.or.jp,,,,,,,,,,Haebaru,Japan,1863426
https://github.com/ror-community/ror-updates/issues/16741,,Japan Weightlifting Association*en,active,nonprofit,,Japan Weightlifting Association*en;公益社団法人日本ウエイトリフティング協会*ja,,https://j-w-a.or.jp,,j-w-a.or.jp,,,,,,,,,,Tokyo,Japan,1850147
https://github.com/ror-community/ror-updates/issues/16741,,Japan Curling Association*en,active,nonprofit,,Japan Curling Association*en;公益社団法人日本カーリング協会*ja,,https://www.curling.or.jp,,curling.or.jp,,,,,,,,,,Tokyo,Japan,1850147
https://github.com/ror-community/ror-updates/issues/16741,,Japan Safe Driving Center*en,active,nonprofit,,Japan Safe Driving Center*en;特別民間法人自動車安全運転センター*ja,,https://www.jsdc.or.jp,,jsdc.or.jp,,,,,,,,,,Tokyo,Japan,1850147
https://github.com/ror-community/ror-updates/issues/16741,,Children and Families Agency*en,active,government,,Children and Families Agency*en;こども家庭庁*ja,,https://www.cfa.go.jp,,cfa.go.jp,,,,,,,,,,Tokyo,Japan,1850147
https://github.com/ror-community/ror-updates/issues/16741,,Setouchi Vocational College of Career and Professional Studies*en,active,education,,せとうち観光専門職短期大学*ja;Setouchi Vocational College of Career and Professional Studies*en,,https://web.seto.ac.jp,,web.seto.ac.jp,,,,,,,,,,Takamatsu,Japan,1851100
