html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
https://github.com/ror-community/ror-updates/issues/18163,,University of Macau Advanced Research Institute in Hengqin*en,active,facility,Hengqin Research Institute*en; 横琴澳门大学高等研究院*zh,University of Macau Advanced Research Institute in Hengqin*en; 横琴粤澳深度合作区澳门大学高等研究院 (横琴澳门大学高等研究院)*zh,HUMRI*en,http://umihq.com,,umihq.com,2024,,,,,,,,,Hengqin,China,6895574
https://github.com/ror-community/ror-updates/issues/28019,,Zyphra (United States),active,company,,Zyphra (United States); Zyphra*en; Zyphra Technologies Inc*en,,https://www.zyphra.com,,zyphra.com,2020,,,,,,,,,"Palo Alto, CA",United States,5380748
https://github.com/ror-community/ror-updates/issues/31433,,Institute for Hebrew Bible Manuscript Research*en,active,nonprofit,,Institute for Hebrew Bible Manuscript Research*en,IHBMR*en,https://ihbmr.com,,ihbmr.com,2022,,,,,,,Q116123430,Q116123430,Bedford,United States,4673094
https://github.com/ror-community/ror-updates/issues/31488,,Rune Labs (United States)*en,active,company,,Rune Labs (United States)*en; Rune Labs*en,,https://runelabs.io,,runelabs.io,2018,,,,,,,,,San Francisco,United States,5391959
https://github.com/ror-community/ror-updates/issues/31464,,Yemen College of Middle Eastern Studies*en,active,education,Yemen Language Center*en,Yemen College of Middle Eastern Studies*en; كلية اليمن لدراسات الشرق الأوسط*ar,YCMES*en; YLC*en,https://ycmes.org,https://en.wikipedia.org/wiki/Yemen_College_of_Middle_Eastern_Studies,ycmes.org,1989,,,,,0000 0004 0421 7653,0000 0004 0421 7653,Q8052081,Q8052081,Sanaa,Yemen,71137
https://github.com/ror-community/ror-updates/issues/30261,,Phoenix Geophysics (Canada)*en,active,company,,Phoenix Geophysics (Canada)*en; Phoenix Geophysics Ltd*en; Phoenix Geophysics*en,,https://www.phoenixgeophysics.com,,phoenixgeophysics.com,1975,,,,,,,,,Toronto,Canada,6167865
https://github.com/ror-community/ror-updates/issues/30233,,Scientific and Educational Initiative LLC*en,active,nonprofit,Scientists Support Center “Scientific and Educational Initiative”*en,Scientific and Educational Initiative LLC*en,,https://scienceeducationinitiative.wordpress.com,,sci-educ.com,2020,,,,,,,,,Temirtau,Kazakhstan,1518262
https://github.com/ror-community/ror-updates/issues/30851,,Scivil*en,active,nonprofit,,Scivil*en,,https://www.scivil.be,,scivil.be,2019,,,,,,,,,Leuven,Belgium,2792482
https://github.com/ror-community/ror-updates/issues/30852,,Indian Council of World Affairs*en,active,other,भारतीय वैश्विक परिषद*hi; Council of World Affairs India*en; Indian Council for World Affairs*en; Indian Council of World Affairs (ICWA)*en,Indian Council of World Affairs*en,ICWA*en,https://www.icwa.in,https://en.wikipedia.org/wiki/Indian_Council_of_World_Affairs,icwa.in,1943,,,,,0000 0004 0498 3606,0000 0004 0498 3606,Q169191,Q169191,New Delhi,India,1261481
https://github.com/ror-community/ror-updates/issues/30854,,Bukhara International University*en,active,education,,Bukhara International University*en; Buxoro Xalqaro Universiteti*uz,BXU*en,https://www.bxu.uz,,bxu.uz,2021,,,,,,,,,Bukhara,Uzbekistan,1217662
https://github.com/ror-community/ror-updates/issues/30920,,National Institute of Myopia*en,active,education,"АНО «Национальный институт миопии»*ru; ANO ""National Institute of Myopia""*en",National Institute of Myopia*en; Национальный институт миопии*ru,NIM*en,https://www.rnmi.info,,rnmi.info,2019,,,,,,,,,Moscow,Russia,524901
https://github.com/ror-community/ror-updates/issues/31266,,Higher Institute of Engineering Technologies Tripoli*en,active,education,,Higher Institute of Engineering Technologies Tripoli*en; المعهد العالي للتقنيات الهندسية طرابلس*ar,HIETT*en,https://www.hiett.edu.ly,,hiett.edu.ly,1992,,,,,,,,,Tripoli,Libya,2210247
