html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,NID,_decision,_reason,_matched_keyword
,https://ror.org/04xabbw31,Nepal Orthopedic Association*en,active,other,,Nepal Orthopedic Association*en,NOA,https://www.noa.org.np,,noa.org.np,,,,,,,,,,Kathmandu,Nepal,1283240,,keep,keyword:keep,association
,https://ror.org/04w7v5477,The International Federation for Structural Concrete*en,active,other,International Federation for Structural Concrete*en,The International Federation for Structural Concrete*en,,https://www.fib-international.org,,fib-international.org,,,,,,,,,,Lausanne,Switzerland,2659994,,keep,keyword:keep,federation
,https://ror.org/006gzg892,Sociedad Española de Farmacia Hospitalaria*es,active,other,Sociedad Espanola de Farmacia Hospitalaria*es,Sociedad Española de Farmacia Hospitalaria*es,SEFH,https://www.sefh.es,,sefh.es,,,,,,,,,,Madrid,Spain,3117735,,keep,keyword:keep,sociedad
,https://ror.org/04a6vny91,Sociedad Espanola de Enfermeria Nefrologica*es,active,other,,Sociedad Espanola de Enfermeria Nefrologica*es,SEDEN,https://www.seden.org,,seden.org,,,,,,,,,,Madrid,Spain,3117735,,keep,keyword:keep,sociedad
,https://ror.org/017p0h989,Florida Music Education Association*en,active,other,,Florida Music Education Association*en,,https://fmea.org,,fmea.org,,,,,,,,,,Tallahassee,United States,4174715,,keep,keyword:keep,association
,https://ror.org/02nxn3z37,Asia-Pacific Federation for Clinical Biochemistry and Laboratory Medicine (APFCB)*en,active,other,,Asia-Pacific Federation for Clinical Biochemistry and Laboratory Medicine (APFCB)*en,APFCB,https://www.apfcb.org,,apfcb.org,,,,,,,,,,Singapore,Singapore,1880252,,keep,keyword:keep,federation
,https://ror.org/04182b708,SARA Law Research Center*en,active,other,Asociatia Centrul de cercetare in drept SARA*ro,SARA Law Research Center*en,,https://ccdsara.ro,,ccdsara.ro,,,,,,,,,,Sinmartin,Romania,667008,,keep,keyword:keep,asociatia
,https://ror.org/05pq21q97,"Sociedad Mexicana de Ingenieria Biomedica, A.C.*es",active,other,,"Sociedad Mexicana de Ingenieria Biomedica, A.C.*es",SOMIB,https://somib.org.mx,,somib.org.mx,,,,,,,,,,Ciudad de Mexico,Mexico,3530597,,keep,keyword:keep,sociedad
,https://ror.org/05ex2xq11,Australia & New Zealand Student Services Association*en,active,other,Australian and New Zealand Student Services Association Inc.*en,Australia & New Zealand Student Services Association*en,,https://www.anzssa.com,,anzssa.com,,,,,,,,,,Crows Nest,Australia,2169883,,keep,keyword:keep,association
,https://ror.org/016h0tt86,"Asociacion Colombiana de Endocrinologia, Diabetes y Metabolismo*es",active,other,,"Asociacion Colombiana de Endocrinologia, Diabetes y Metabolismo*es",,https://www.endocrino.org.co,,endocrino.org.co,,,,,,,,,,Bogota,Colombia,3688689,,keep,keyword:keep,asociacion
