html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
,https://ror.org/01j06ad40,ThinkSono GmbH (Germany),active,company,ThinkSono; ThinkSono Ltd.,ThinkSono GmbH (Germany); ThinkSono GmbH,,https://thinksono.com,,thinksono.com,,,,,,,,,,Potsdam,Germany,2852458
,https://ror.org/003d7tr51,Elona Health GmbH (Germany),active,company,Elona Health,Elona Health GmbH (Germany); Elona Health GmbH,,https://www.elona.health,,elona.health,,,,,,,,,,Düsseldorf,Germany,2934246
,https://ror.org/04gfnc746,The cGP Lab Ltd. (New Zealand),active,company,The cGP Lab; cGP Lab,The cGP Lab Ltd. (New Zealand); The cGP Lab Ltd.,,https://thecgplab.com,,thecgplab.com,,,,,,,,,,Auckland,New Zealand,2193733
,https://ror.org/00ps4k811,Alizyme PLC (United Kingdom),inactive,company,Alizyme; Alizyme Therapeutics Limited,Alizyme PLC (United Kingdom); Alizyme PLC,,https://www.alizyme.com,,alizyme.com,,,,,,,,,,Cambridge,United Kingdom,2653941
,https://ror.org/0525f2z72,Unmind Ltd. (United Kingdom),active,company,Unmind,Unmind Ltd. (United Kingdom); Unmind Ltd.,,https://unmind.com,,unmind.com,,,,,,,,,,London,United Kingdom,2643743
,https://ror.org/040y1mk88,EnteroBiotix Limited (United Kingdom),active,company,EnteroBiotix,EnteroBiotix Limited (United Kingdom); EnteroBiotix Limited,,https://www.enterobiotix.com,,enterobiotix.com,,,,,,,,,,Bellshill,United Kingdom,2655952
,https://ror.org/00a6vpp92,Swedish Match AB (publ) (Sweden),active,company,Swedish Match,Swedish Match AB (publ) (Sweden); Swedish Match AB (publ),,https://www.swedishmatch.com,,swedishmatch.com,,,,,,,,,,Stockholm,Sweden,2673730
,https://ror.org/032tzb935,Esserre Pharma Srl (Italy),active,company,Esserre Pharma,Esserre Pharma Srl (Italy); Esserre Pharma Srl,,https://www.esserrepharma.com,,esserrepharma.com,,,,,,,,,,Rome,Italy,3169070
,https://ror.org/005mr9w35,"Botanic Tonics, LLC (United States)",active,company,Botanic Tonics; feel free,"Botanic Tonics, LLC (United States); Botanic Tonics, LLC",,https://botanictonics.com,,botanictonics.com,,,,,,,,,,Tulsa,United States,4553433
,https://ror.org/03gm96w51,Société Française de Médecine Générale*fr,active,nonprofit,,Société Française de Médecine Générale*fr,SFMG,https://www.sfmg.fr,,sfmg.fr,,,,,,,,,,Issy-les-Moulineaux,France,3012649
,https://ror.org/0317vcx04,MatOrtho Limited (United Kingdom),active,company,MatOrtho,MatOrtho Limited (United Kingdom); MatOrtho Limited,,https://www.matortho.com,,matortho.com,,,,,,,,,,Leatherhead,United Kingdom,2644726
,https://ror.org/03bbgqz81,Youth Endowment Fund*en,active,nonprofit,,Youth Endowment Fund*en,YEF,https://youthendowmentfund.org.uk,,youthendowmentfund.org.uk,,,,,,,,,,London,United Kingdom,2643743
,https://ror.org/02fh97n20,Bionap Srl (Italy),active,company,,Bionap Srl (Italy); Bionap Srl,BIONAP,https://bionap.com,,bionap.com,,,,,,,,,,Belpasso,Italy,2525571
,https://ror.org/026a8z344,Symprove Ltd. (United Kingdom),active,company,Symprove,Symprove Ltd. (United Kingdom); Symprove Ltd.,,https://www.symprove.com,,symprove.com,,,,,,,,,,Farnham,United Kingdom,2649660
,https://ror.org/01m73ha11,Horus Pharma (France),active,company,Laboratoires Horus Pharma; Horus Pharma SAS,Horus Pharma (France); Horus Pharma,,https://www.horus-pharma.com,,horus-pharma.com,,,,,,,,,,Nice,France,2990440
,https://ror.org/04axy6922,"Engrail Therapeutics, Inc. (United States)",active,company,Engrail Therapeutics; Engrail,"Engrail Therapeutics, Inc. (United States); Engrail Therapeutics, Inc.",,https://www.engrail.com,,engrail.com,,,,,,,,,,San Diego,United States,5391811
,https://ror.org/00mms1649,"Noventure, S. L. (Spain)",active,company,Noventure SL; Noventure,"Noventure, S. L. (Spain); Noventure, S. L.",,https://www.noventure.com,,noventure.com,,,,,,,,,,Barcelona,Spain,3128760
,https://ror.org/04emg2397,"Trevena, Inc. (United States)",active,company,Trevena,"Trevena, Inc. (United States); Trevena, Inc.",TRVN,https://www.trevena.com,,trevena.com,,,,,,,,,,Atlanta,United States,4180439
,https://ror.org/03sp1q812,PPM Services SA (Switzerland),active,company,PPM Services; PPM (Pharma Project Management) Services,PPM Services SA (Switzerland); PPM Services SA,,https://ppmservices.ch,,ppmservices.ch,,,,,,,,,,Morbio Inferiore,Switzerland,2659597
,https://ror.org/00yqt3h32,North Suburban Eye Associates*en,active,healthcare,North Suburban Eye Specialists*en,North Suburban Eye Associates*en,NSEA,https://www.northsuburbaneye.com/,,northsuburbaneye.com,,,,,,,,,,Wakefield,United States,5143056
,https://ror.org/01w2yvg65,Increnovo LLC (United States),active,company,Increnovo,Increnovo LLC (United States); Increnovo LLC,,https://www.increnovo.com,,increnovo.com,,,,,,,,,,Whitefish Bay,United States,5278897
,https://ror.org/01jmyz008,Soterios Limited (United Kingdom),active,company,Soterios Pharma; Soterios Ltd.,Soterios Limited (United Kingdom); Soterios Limited,,https://www.soteriospharma.com,,soteriospharma.com,,,,,,,,,,Salisbury,United Kingdom,2638664
,https://ror.org/0145pqc23,Camurus AB (Sweden),active,company,Camurus AB (publ); Camurus,Camurus AB (Sweden); Camurus AB,,https://www.camurus.com,,camurus.com,,,,,,,,,,Lund,Sweden,2693678
,https://ror.org/00s06sw72,Cambridge Clinical Trials Unit*en,active,healthcare,,Cambridge Clinical Trials Unit*en,CCTU,https://cctu.org.uk,,cctu.org.uk,,,,,,,,,,Cambridge,United Kingdom,2653941
,https://ror.org/02ns9eq54,New Generation Nutraceuticals s.r.l. (Italy),active,company,NGN Healthcare; NGN Healthcare New Generation Nutraceutics SRL,New Generation Nutraceuticals s.r.l. (Italy); New Generation Nutraceuticals s.r.l.,NGN,https://www.ngnhealthcare.com,,ngnhealthcare.com,,,,,,,,,,Avellino,Italy,3182650
,https://ror.org/0487twq80,Greater Manchester Health & Social Care Partnership*en,active,government,,Greater Manchester Health & Social Care Partnership*en,GMHSCP,https://gmintegratedcare.org.uk,,gmintegratedcare.org.uk,,,,,,,,,,Manchester,United Kingdom,2643123
,https://ror.org/02tcs0508,"Entrada Therapeutics, Inc. (United States)",active,company,Entrada Therapeutics; Entrada,"Entrada Therapeutics, Inc. (United States); Entrada Therapeutics, Inc.",,https://www.entradatx.com,,entradatx.com,,,,,,,,,,Boston,United States,4930956
,https://ror.org/05cce1e94,Phynova Group Ltd. (United Kingdom),active,company,Phynova Group Limited; Phynova; Phynova Group,Phynova Group Ltd. (United Kingdom); Phynova Group Ltd.,,https://www.phynova.com,,phynova.com,,,,,,,,,,Banbury,United Kingdom,2656406
,https://ror.org/01aaevk09,"AnaptysBio, Inc. (United States)",active,company,AnaptysBio,"AnaptysBio, Inc. (United States); AnaptysBio, Inc.",ANAB,https://www.anaptysbio.com,,anaptysbio.com,,,,,,,,,,San Diego,United States,5391811
,https://ror.org/04pxpnd38,Medherant Limited (United Kingdom),active,company,Medherant,Medherant Limited (United Kingdom); Medherant Limited,,https://www.medherant.co.uk,,medherant.co.uk,,,,,,,,,,Coventry,United Kingdom,2652221
