html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
,https://ror.org/002kcsx52,,,,,,,,,,,,replace==501100010311,,,,,,,,,
,https://ror.org/005k7hp45,,,,,,,,,,,,replace==100007771,,,,,,,,,
,https://ror.org/006qmn341,,,,,,,,,,,,replace==100022300,,,,,,,,,
,https://ror.org/00cfam450,,,,,,,,,,,,replace==501100013295,,,,,,,,,
,https://ror.org/00grd1h17,,,,,,,,,,,,replace==100016304,,,,,,,,,
,https://ror.org/00mskh452,,,,,,,,,,,,replace==501100009789,,,,,,,,,
,https://ror.org/00qcb6787,,,,,,,,,,,add==100009623,replace==100009623,,,,,,,,,
,https://ror.org/00w3rj542,,,,,,,,,,,add==100011309,replace==100011309,,,,,,,,,
,https://ror.org/00y4ya841,,,,,,,,,,,,replace==501100005297,,,,,,,,,
,https://ror.org/00yh11w37,,,,,,,,,,,,replace==501100000871,,,,,,,,,
,https://ror.org/00yq55g44,,,,,,,,,,,add==100022762,replace==100022762,,,,,,,,,
,https://ror.org/00zkesn06,,,,,,,,,,,add==100021747,replace==100021747,,,,,,,,,
,https://ror.org/010gf7388,,,,,,,,,,,,replace==501100007981,,,,,,,,,
,https://ror.org/0116z8r77,,,,,,,,,,,,replace==501100010570,,,,,,,,,
,https://ror.org/0162y2387,,,,,,,,,,,,replace==100013465,,,,,,,,,
,https://ror.org/016tfm930,,,,,,,,,,,,replace==100007865,,,,,,,,,
,https://ror.org/018906e22,,,,,,,,,,,,replace==501100003061,,,,,,,,,
,https://ror.org/01epcny94,,,,,,,,,,,add==100031198,replace==100031198,,,,,,,,,
,https://ror.org/01h3dr788,,,,,,,,,,,,replace==501100005026,,,,,,,,,
,https://ror.org/01hckwt34,,,,,,,,,,,add==100027077,replace==100027077,,,,,,,,,
,https://ror.org/01t8prc81,,,,,,,,,,,,replace==501100013808,,,,,,,,,
,https://ror.org/0229nk184,,,,,,,,,,,,replace==501100009321,,,,,,,,,
,https://ror.org/026wwrx19,,,,,,,,,,,,replace==501100009848,,,,,,,,,
,https://ror.org/027y26122,,,,,,,,,,,,replace==501100002336,,,,,,,,,
