html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
,https://ror.org/02ft72j58,Chicago Dermatological Society*en,active,nonprofit; funder,"Chicago Dermatological Society, Inc.*en",Chicago Dermatological Society*en,CDS*en,https://chicagoderm.org,,chicagoderm.org,1901,100013763,100013763,,,,,,,East Dundee,United States,4890486
,https://ror.org/02h7p8r46,Andrew Sabin Family Foundation*en,active,nonprofit; funder,,Andrew Sabin Family Foundation*en,,https://www.sabinmetal.com/company/andrew-sabin-family-foundation,,,2008,100012287,100012287,,,,,,,East Hampton,United States,5115871
,https://ror.org/03vcxxt90,Peter und Traudl Engelhorn Stiftung*de,active,nonprofit; funder,Peter and Traudl Engelhorn Foundation*en,Peter und Traudl Engelhorn Stiftung*de,,https://www.engelhorn-stiftung.de,,engelhorn-stiftung.de,1993,501100014381,501100014381,,,,,,,Weilheim in Oberbayern,Germany,6559211
,https://ror.org/04fb2bf88,EMDO Stiftung*de,active,nonprofit; funder,EMDO Foundation*en; EMDO-Stiftung*de,EMDO Stiftung*de,,https://emdo.ch,,emdo.ch,1968,501100008464,501100008464,,,,,,,Zürich,Switzerland,2657896
,https://ror.org/02tqk8t64,SK Hynix (South Korea)*en,active,company; funder,SK Hynix Inc.*en,SK Hynix (South Korea)*en; SK Hynix*en; 에스케이하이닉스 주식회사*ko,,https://www.skhynix.com,https://en.wikipedia.org/wiki/SK_Hynix,skhynix.com,1983,100018058,100018058,,,,,,,Icheon,South Korea,1843700
,https://ror.org/05v6e7y40,Basis Foundation*en,active,nonprofit; funder,Basis Endowment Foundation*en,Basis Foundation*en,,https://www.basisfoundation.org,,basisfoundation.org,2000,100015695,100015695,,,,,,,Tampa,United States,4174757
,https://ror.org/03y708c23,Zengin Foundation for Studies on Economics and Finance*en,active,nonprofit; funder,全国銀行学術研究振興財団*ja,Zengin Foundation for Studies on Economics and Finance*en; 公益財団法人 全国銀行学術研究振興財団*ja,,https://www.zenginzaidan.jp,,zenginzaidan.jp,1992,501100010594,501100010594,,,,,,,Tokyo,Japan,1850147
,https://ror.org/05qav3d15,"Japan Orthopaedics and Traumatology Foundation, Inc.*en",active,nonprofit; funder,"Japan Orthopaedics and Traumatology Foundation Inc.*en; Japan Orthopedics and Traumatology Foundation, Inc.*en","Japan Orthopaedics and Traumatology Foundation, Inc.*en; 公益財団法人整形災害外科学研究助成財団*ja",JOTF*en,https://jotf.jp,,jotf.jp,1983,501100011649,501100011649,,,,,,,Tokyo,Japan,1850147
,https://ror.org/05h21a554,Center for Geosphere Dynamics*en,inactive,education; funder,The Center for Geosphere Dynamics*en,Center for Geosphere Dynamics*en,CGD*en,https://cgd.natur.cuni.cz,,cgd.natur.cuni.cz,2018,100016287,100016287,,,,,,,Prague,Czechia,3067696
,https://ror.org/00064pn24,Nissan Global Foundation*en,active,nonprofit; funder,Nissan Science Foundation*en; 日産科学振興財団*ja,Nissan Global Foundation*en; 公益財団法人日産財団*ja,,https://www.nissan-zaidan.or.jp,,nissan-zaidan.or.jp,1974,501100012102,501100012102,,,,,,,Yokohama,Japan,1848354
