html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
,https://ror.org/05n7xcf53,,,,,,,,,,,add==100017209,,,,,,,,,,
,https://ror.org/010de4288,,,,,,,,,,,add==501100010682,replace==501100010682,,,,,,,,,
,https://ror.org/0227gj303,,,,,,,,,,,add==100019851,replace==100019851,,,,,,,,,
,https://ror.org/02e8s5y35,,,,,,,,,,,add==100018890,replace==100018890,,,,,,,,,
,https://ror.org/05n7v5997,,,,,,,,,,,add==100008057,replace==100008057,,,,,,,,,
,https://ror.org/02dwjm141,,,,,,,,,,,add==100019010,replace==100019010,,,,,,,,,
,https://ror.org/00asdjp84,,,,,,,,,,,add==501100010053,replace==501100010053,,,,,,,,,
,https://ror.org/043544h31,,,,,,,,,,,add==501100020321,replace==501100020321,,,,,,,,,
,https://ror.org/043gc8k06,,,,,,,,,,,add==100014275,replace==100014275,,,,,,,,,
,https://ror.org/03r31ar10,,,,,,,,,,,add==501100011733,replace==501100011733,,,,,,,,,
,https://ror.org/00dx9kg40,,,,,,,,,,,add==501100020405,replace==501100020405,,,,,,,,,
,https://ror.org/006gzg892,,,,,,,,,,,add==501100014569,replace==501100014569,,,,,,,,,
,https://ror.org/00z1njc54,,,,,,,,,,,add==100016289,replace==100016289,,,,,,,,,
,https://ror.org/018402t03,,,,,,,,,,,add==100019701,replace==100019701,,,,,,,,,
,https://ror.org/05mhc7495,,,,,,,,,,,add==501100008644,replace==501100008644,,,,,,,,,
,https://ror.org/05xejcn14,,,,,,,,,,,add==100016626,replace==100016626,,,,,,,,,
,https://ror.org/01169d420,,,,,,,,,,,add==100016144,replace==100016144,,,,,,,,,
,https://ror.org/05dr3r825,,,,,,,,,,,add==100018286,,,,,,,,,,
,https://ror.org/05arv2073,,,,,,,,,,,add==100015731,replace==100015731,,,,,,,,,
,https://ror.org/04cmxh670,,,,,,,,,,,add==501100009552,replace==501100009552,,,,,,,,,
,https://ror.org/01x544h30,,,,,,,,,,,add==100014805,replace==100014805,,,,,,,,,
,https://ror.org/02hv7zh11,,,,,,,,,,,add==501100022583,replace==501100022583,,,,,,,,,
,https://ror.org/00vxg2528,,,,,,,,,,,add==100008729,replace==100008729,,,,,,,,,
,https://ror.org/02babdz45,,,,,,,,,,,add==501100011640,replace==501100011640,,,,,,,,,
,https://ror.org/02dp3xf77,,,,,,,,,,,add==100011010,replace==100011010,,,,,,,,,
,https://ror.org/044fgj614,,,,,,,,,,,add==501100012516,replace==501100012516,,,,,,,,,
,https://ror.org/005re7g62,,,,,,,,,,,add==501100010223,replace==501100010223,,,,,,,,,
,https://ror.org/0101we292,,,,,,,,,,,add==501100019955,replace==501100019955,,,,,,,,,
,https://ror.org/04qcebk79,,,,,,,,,,,add==501100021746,replace==501100021746,,,,,,,,,
,https://ror.org/044sy8h86,,,,,,,,,,,add==501100009779,replace==501100009779,,,,,,,,,
,https://ror.org/04b8zcj45,,,,,,,,,,,add==100019721,replace==100019721,,,,,,,,,
,https://ror.org/040h02z76,,,,,,,,,,,add==100015990,replace==100015990,,,,,,,,,
,https://ror.org/01k6q3j92,,,,,,,,,,,add==100001066,,,,,,,,,,
,https://ror.org/03tscbz39,,,,,,,,,,,add==501100009549,,,,,,,,,,
,https://ror.org/03ytdtb31,,,,,,,,,,,add==100019944,replace==100019944,,,,,,,,,
