html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
,https://ror.org/02neq6p97,,,,,,,,,,,add==100013899,replace==100013899,,,,,add==Q50037507,,,,
,https://ror.org/04meywz55,,,,,,,,,,,add==501100008665,replace==501100008665,,,,,add==Q45131294,,,,
,https://ror.org/024mpsc65,,,,,,,,,,,add==501100008885,replace==501100008885,,,,,add==Q137943690,,,,
,https://ror.org/03wmnrc91,,,,,,,,,,,add==501100012030,replace==501100012030,,,,,delete==Q936040;add==Q16172223,replace==Q16172223,,,
,https://ror.org/02n35gd31,,,,,,,,,,,add==501100014544,replace==501100014544,,,,,add==Q33122088,,,,
,https://ror.org/05gzvb546,,,,,,,,,,,add==100015758,replace==100015758,,,,,add==Q138860559,,,,
,https://ror.org/0154bb690,,,,,,,,,,,add==100016341,replace==100016341,,,,,,,,,
,https://ror.org/0328xw886,,,,,,,,,,,add==100015362,replace==100015362,,,,,,,,,
,https://ror.org/00dtr7z10,,,,,,,,,,,delete==10;add==501100012291,replace==501100012291,,,,,,,,,
,https://ror.org/014xqzt56,,,,,,,,,,,add==501100015098,replace==501100015098,,,,,,,,,
,https://ror.org/035bmh889,,,,,,,,,,,add==100016477,replace==100016477,,,,,add==Q106238469,,,,
,https://ror.org/00mskh452,,,,,,,,,,,add==501100009737,,,,,,,,,,
,https://ror.org/00xx85724,,,,,,,,,,,add==100016988,replace==100016988,,,,,add==Q135398379,,,,
,https://ror.org/055mcfk05,,,,,,,,,,,add==501100022598,replace==501100022598,,,,,add==Q137943444,,,,
,https://ror.org/05qqrnb63,,,,,,,,,,,add==100019717,replace==100019717,,,,,,,,,
,https://ror.org/03zz4xj74,,,,,,,,,,,add==501100004632,replace==501100004632,,,,,add==Q45131286,,,,
,https://ror.org/00pwykz63,,,,,,,,,,,add==100013252,replace==100013252,,,,,add==Q106301317,,,,
,https://ror.org/0289e7422,,,,,,,,,,,add==501100011704,replace==501100011704,,,,,,,,,
,https://ror.org/05609b125,,,,,,,,,,,add==100009671,replace==100009671,,,,,add==Q138654920,,,,
,https://ror.org/04hs54263,,,,,,,,,,,add==100018488,replace==100018488,,,,,add==Q137204543,,,,
,https://ror.org/04n160k30,,,,,,,,,,,add==100018456,replace==100018456,,,,,add==Q112769923,,,,
,https://ror.org/0436znn81,,,,,,,,,,,add==501100013631,,,,,,add==Q124845709,,,,
,https://ror.org/034r3f481,,,,,,,,,,,add==501100012001,replace==501100012001,,,,,add==Q133811504,,,,
,https://ror.org/01vmpm840,,,,,,,,,,,add==501100018929,replace==501100018929,,,,,,,,,
,https://ror.org/04cvd2327,,,,,,,,,,,add==501100012268,replace==501100012268,,,,,add==Q108266121,,,,
,https://ror.org/05s501w59,,,,,,,,,,,add==100013787,,,,,,add==Q122154904,,,,
,https://ror.org/00wgkqx32,,,,,,,,,,,add==100015294,replace==100015294,,,,,add==Q11553851,,,,
,https://ror.org/03c5wrt42,,,,,,,,,,,add==501100013924,replace==501100013924,,,,,,,,,
,https://ror.org/019z56k76,,,,,,,,,,,add==501100024076,replace==501100024076,,,,,add==Q138860544,,,,
,https://ror.org/0456wj203,,,,,,,,,,,add==100011860,replace==100011860,,,,,add==Q50037364,,,,
,https://ror.org/0082wq496,,,,,,,,,,,add==100016342,,,,,,add==Q587892,,,,
,https://ror.org/00n8cd549,,,,,,,,,,,add==501100004288,replace==501100004288,,,,,add==Q36875390,,,,
,https://ror.org/0076kfe04,,,,,,,,,,,add==100016505,replace==100016505,,,,,,,,,
,https://ror.org/04rktqd77,,,,,,,,,,,add==100009946,replace==100009946,,,,,add==Q140045274,,,,
,https://ror.org/05h1kgg64,,,,,,,,,,,add==100020940,replace==100020940,,,,,,,,,
,https://ror.org/030atj633,,,,,,,,,,,add==100019223,replace==100019223,,,,,,,,,
,https://ror.org/0492y4q90,,,,,,,,,,,add==501100010298,replace==501100010298,,,,,add==Q137943633,,,,
,https://ror.org/04rveer83,,,,,,,,,,,add==100018031,replace==100018031,,,,,,,,,
,https://ror.org/05c4k4158,,,,,,,,,,,add==501100013963,replace==501100013963,,,,,,,,,
,https://ror.org/0430jfd38,,,,,,,,,,,add==501100021515,replace==501100021515,,,,,,,,,
,https://ror.org/04ypwve02,,,,,,,,,,,add==501100012000,replace==501100012000,,,,,add==Q11389914,,,,
,https://ror.org/00h0nxd66,,,,,,,,,,,add==100015382,replace==100015382,,,,,,,,,
,https://ror.org/01mgtm102,,,,,,,,,,,add==100016922,replace==100016922,,,,,,,,,
,https://ror.org/0279hm646,,,,,,,,,,,add==100016468,replace==100016468,,,,,add==Q137365800,,,,
,https://ror.org/049k08p55,,,,,,,,,,,add==100022724,replace==100022724,,,,,add==Q36875199,,,,
,https://ror.org/030x5z418,,,,,,,,,,,add==501100022601,,,,,,,,,,
,https://ror.org/042g71q39,,,,,,,,,,,add==501100022340,replace==501100022340,,,,,,,,,
,https://ror.org/04cxyxy43,,,,,,,,,,,add==501100014070,replace==501100014070,,,,,add==Q134251460,,,,
,https://ror.org/00zec5297,,,,,,,,,,,add==501100019189,replace==501100019189,,,,,add==Q134271654,,,,
,https://ror.org/03arxaz40,,,,,,,,,,,add==501100014689,replace==501100014689,,,,,add==Q8100253,,,,
,https://ror.org/01mcnhb78,,,,,,,,,,,add==501100022431,replace==501100022431,,,,,add==Q138860406,,,,
,https://ror.org/03s377g11,,,,,,,,,,,add==100018503,replace==100018503,,,,,add==Q140046396,,,,
,https://ror.org/05a5s1z53,,,,,,,,,,,add==501100014710,,,,,,,,,,
,https://ror.org/05waa9105,,,,,,,,,,,add==100014481,replace==100014481,,,,,,,,,
,https://ror.org/04x483560,,,,,,,,,,,add==501100010289,replace==501100010289,,,,,add==Q135095300,,,,
,https://ror.org/005nqcn81,,,,,,,,,,,add==100019777,replace==100019777,,,,,add==Q140045374,,,,
,https://ror.org/04wm8ce51,,,,,,,,,,,add==100011965,replace==100011965,,,,,,,,,
,https://ror.org/02mxx0b77,,,,,,,,,,,add==100019678,replace==100019678,,,,,add==Q134251497,,,,
,https://ror.org/03504yg39,,,,,,,,,,,add==100013457,replace==100013457,,,,,add==Q126731019,,,,
,https://ror.org/03t2m2h56,,,,,,,,,,,add==501100021494,replace==501100021494,,,,,add==Q140046303,,,,
,https://ror.org/05b3ejk16,,,,,,,,,,,add==501100014546,replace==501100014546,,,,,add==Q140046032,,,,
,https://ror.org/01jc8mb89,,,,,,,,,,,add==501100019252,replace==501100019252,,,,,add==Q111668149,,,,
,https://ror.org/014wrcz97,,,,,,,,,,,add==100013551,replace==100013551,,,,,,,,,
,https://ror.org/03hhrgn91,,,,,,,,,,,add==100017252,replace==100017252,,,,,add==Q134251299,,,,
,https://ror.org/01gwe4v50,,,,,,,,,,,add==100018521,replace==100018521,,,,,add==Q841250,,,,
,https://ror.org/04gyj6s21,,,,,,,,,,,add==100020996,replace==100020996,,,,,,,,,
,https://ror.org/05fe3qr79,,,,,,,,,,,add==501100014372,replace==501100014372,,,,,,,,,
,https://ror.org/046dyvq82,,,,,,,,,,,add==501100023978,replace==501100023978,,,,,add==Q30927685,,,,
,https://ror.org/03bbgqz81,,,,,,,,,,,add==501100024398,replace==501100024398,,,,,add==Q140046049,,,,
,https://ror.org/0145rpw38,,,,,,,,,,,add==501100024029,replace==501100024029,,,,,,,,,
,https://ror.org/05m6y3182,,,,,,,,,,,add==501100024104,replace==501100024104,,,,,add==Q12009574,,,,
,https://ror.org/02g73z327,,,,,,,,,,,add==501100022502,replace==501100022502,,,,,add==Q140045416,,,,
,https://ror.org/01b3wxx33,,,,,,,,,,,add==501100020330,replace==501100020330,,,,,,,,,
