html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
,https://ror.org/02cxy7w15,Swiss Re Foundation*en,active,nonprofit; funder,SwissRe Foundation*en,Swiss Re Foundation*en; Swiss Re Stiftung*de,SRF*en,https://www.swissrefoundation.org,,swissrefoundation.org,2011,100013325,100013325,,,,,,,Zurich,Switzerland,2657896
,https://ror.org/035d8s815,EIT Health*en,active,nonprofit; funder,European Institute of Innovation and Technology Health*en,EIT Health*en; EIT Health e.V.*de,,https://eithealth.eu,,eithealth.eu,2015,100014419,100014419,,,,,Q112085330,Q112085330,Munich,Germany,2867714
,https://ror.org/00fjctp77,Instituto Nacional Electoral*es,active,government; funder,Instituto Federal Electoral*es; Federal Electoral Institute*en,Instituto Nacional Electoral*es; National Electoral Institute*en,INE*es,https://www.ine.mx,https://en.wikipedia.org/wiki/National_Electoral_Institute,ine.mx,1990,100016812,100016812,,,,,Q17634857,Q17634857,Mexico City,Mexico,3530597
,https://ror.org/04tdbm243,MSDAVENIR*fr,active,nonprofit; funder,MSD Avenir*fr,MSDAVENIR*fr,,https://www.msdavenir.fr,,msdavenir.fr,2015,100016913,100016913,,,,,,,Puteaux,France,2985034
,https://ror.org/00vb44n81,Fresh Sound Foundation*en,active,nonprofit; funder,Fresh Sound Foundation Inc*en,Fresh Sound Foundation*en,,https://freshsoundfoundation.org,,freshsoundfoundation.org,1996,100019158,100019158,,,,,,,Marion,United States,4943144
,https://ror.org/00p0fzx29,Government of New York City*en,active,government; funder,Government of the City of New York*en; New York City Government*en; City of Greater New York*en,Government of New York City*en; City of New York*en,,https://www.nyc.gov,https://en.wikipedia.org/wiki/Government_of_New_York_City,nyc.gov,1898,100023095,100023095,,,,,Q3112559,Q3112559,New York,United States,5128581
,https://ror.org/0317v5y91,Alberta Blue Cross*en,active,nonprofit; funder,,Alberta Blue Cross*en; ABC Benefits Corporation*en,,https://www.ab.bluecross.ca,,ab.bluecross.ca,1948,100023134,100023134,,,0000 0005 1781 5625,0000 0005 1781 5625,,,Edmonton,Canada,5946768
,https://ror.org/025edzp90,Money Metals Exchange (United States)*en,active,company; funder,Money Metals*en,Money Metals Exchange (United States)*en; Money Metals Exchange*en; Money Metals Exchange LLC*en,,https://www.moneymetals.com,,moneymetals.com,2010,100025845,,,,,,Q94970243,Q94970243,Eagle,United States,5591778
,https://ror.org/04dvh0v63,European High Performance Computing Joint Undertaking*en,active,government; funder,EuroHPC Joint Undertaking*en,European High Performance Computing Joint Undertaking*en; European High-Performance Computing Joint Undertaking*en,EuroHPC JU*en; EuroHPC*en,https://eurohpc-ju.europa.eu,https://en.wikipedia.org/wiki/European_High-Performance_Computing_Joint_Undertaking,eurohpc-ju.europa.eu,2018,100031060,100031060,,,,,Q60983149,Q60983149,Luxembourg,Luxembourg,2960316
,https://ror.org/00bsxfj05,Österreichische Forschungsgemeinschaft*de,active,nonprofit; funder,Austrian Research Association*en,Österreichische Forschungsgemeinschaft*de,ÖFG*de,https://www.oefg.at,,oefg.at,1977,501100013692,501100013692,,,0000 0001 0064 8155,0000 0001 0064 8155,Q23689751,Q23689751,Vienna,Austria,2761369
,https://ror.org/030ycxx25,Fondation Merac*fr,active,nonprofit; funder,MERAC Foundation*en; Mobilising European Research in Astrophysics and Cosmology*en,Fondation Merac*fr; Fondation Merac (Mobilising European Research in Astrophysics and Cosmology)*fr,MERAC*en,https://www.merac.org,,merac.org; merac.ch,2011,501100013927,501100013927,,,,,,,Zurich,Switzerland,2657896
,https://ror.org/058m7qw63,Illawarra Cancer Carers*en,active,nonprofit; funder,Illawarra Cancer Carers Inc.*en,Illawarra Cancer Carers*en; Illawarra Cancer Carers Incorporated*en,ICC*en,https://illawarracancercarers.org.au,,illawarracancercarers.org.au,1990,501100023175,501100023175,,,,,,,Wollongong,Australia,2171507
,https://ror.org/02ez3ae44,Stuttgart Center for Simulation Science*en,active,facility; funder,,Stuttgart Center for Simulation Science*en; Stuttgarter Zentrum für Simulationswissenschaft*de,SC SimTech*en; SimTech*en,https://www.simtech.uni-stuttgart.de,,simtech.uni-stuttgart.de,2015,501100022175,501100022175,,,,,,,Stuttgart,Germany,2825297
,https://ror.org/02dby2462,Interdisziplinäres Zentrum für Nanostrukturierte Filme*de,active,education; funder,,Interdisziplinäres Zentrum für Nanostrukturierte Filme*de; Interdisciplinary Center for Nanostructured Films*en,IZNF*de,https://www.iznf.fau.de,,iznf.fau.de,2019,501100024575,501100024575,,,,,,,Erlangen,Germany,2929567
