html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
,https://ror.org/02fvjvv74,,,,,,,,,,,delete,delete,,,,,,,,,
,https://ror.org/02xfpc920,,,,,,,,,,,delete,delete,,,,,,,,,
,https://ror.org/0376b7f46,,,,,,,,,,,delete,delete,,,,,,,,,
,https://ror.org/03j30yc45,,,,,,,,,,,delete,delete,,,,,,,,,
,https://ror.org/02t274463,,,,,,,,,,,delete==100005956,,,,,,,,,,
,https://ror.org/05apbp152,,,,,,,,,,,delete==501100004200,,,,,,,,,,
,https://ror.org/0213rcc28,,,,,,,,,,,delete==501100008903,,,,,,,,,,
,https://ror.org/047693029,,,,,,,,,,,delete==100020956,delete==100020956,,,,,,,,,
,https://ror.org/008d63v91,,,,,,,,,,,delete==501100018965,delete==501100018965,,,,,,,,,
,https://ror.org/04rx3tw33,,,,,,,,,,,delete==100024216,delete==100024216,,,,,,,,,
,https://ror.org/03sws5s65,,,,,,,,,,,delete==501100013129,delete==501100013129,,,,,,,,,
