html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
https://github.com/ror-community/ror-updates/issues/13303,https://ror.org/057zvny46,Genocide and Resistance Research Centre of Lithuania*en,active,facility,Genocide and Resistance Research Center of Lithuania*en; Центр исследования геноцида и резистенции жителей Литвы*ru,Genocide and Resistance Research Centre of Lithuania*en; Lietuvos gyventojų genocido ir rezistencijos tyrimo centras*lt,LGGRTC*lt,http://genocid.lt,https://en.wikipedia.org/wiki/Genocide_and_Resistance_Research_Centre_of_Lithuania,genocid.lt,1997,,,,,0000 0001 1014 3206,0000 0001 1014 3206,Q5533464,Q5533464,Vilnius,Lithuania,593116
https://github.com/ror-community/ror-updates/issues/11930,https://ror.org/025q8p570,The Kericho National Polytechnic*en,active,education,Kericho National Polytechnic*en; Bureti Technical Training Institute*en,The Kericho National Polytechnic*en,TKNP*en,https://kerichopoly.ac.ke,,kerichopoly.ac.ke,2005,,,,,,,,,Sotik,Kenya,179888
https://github.com/ror-community/ror-updates/issues/12310,https://ror.org/00m2zh467,arXiv,active,nonprofit,,arXiv,,https://arxiv.org,https://en.wikipedia.org/wiki/ArXiv,arxiv.org,1991,,,,,,,Q118398,Q118398,Ithaca,United States,5122432
https://github.com/ror-community/ror-updates/issues/13447,https://ror.org/007ptm460,Badan Strategi Kebijakan Dalam Negeri*id,active,government,Badan Strategi Kebijakan Dalam Negeri Kementerian Dalam Negeri*id; Domestic Policy Strategy Agency*en; Domestic Policy Strategy Agency of the Ministry of Home Affairs of the Republic of Indonesia*en,Badan Strategi Kebijakan Dalam Negeri*id,BSKDN*id,https://bskdn.kemendagri.go.id,https://id.wikipedia.org/wiki/Badan_Strategi_Kebijakan_Dalam_Negeri,,2021,,,,,,,Q126923270,Q126923270,JAKARTA,Indonesia,1642911
https://github.com/ror-community/ror-updates/issues/13470,https://ror.org/0595f4b08,Air Force Life Cycle Management Center*en,active,government; facility,,Air Force Life Cycle Management Center*en,AFLCMC*en,https://www.aflcmc.af.mil,https://en.wikipedia.org/wiki/Air_Force_Life_Cycle_Management_Center,,,,,,,,,Q16974004,Q16974004,"Wright-Patterson AFB, OH",USA,7701733
https://github.com/ror-community/ror-updates/issues/13467,https://ror.org/00knds749,"Himachal Pradesh National Law University, Shimla*en",active,education,"Himachal Pradesh National Law University*en; हिमाचल प्रदेश नेशनल लॉ यूनिवर्सिटी, शिमला*hi; HPNLU, Shimla*en","Himachal Pradesh National Law University, Shimla*en",HPNLU*en,https://hpnlu.ac.in,https://en.wikipedia.org/wiki/Himachal_Pradesh_National_Law_University,hpnlu.ac.in,2016,,,,,0000 0004 8021 6484,0000 0004 8021 6484,Q27963971,Q27963971,Shimla,India,1256237
https://github.com/ror-community/ror-updates/issues/13468,https://ror.org/01eas9a07,The Sense Innovation and Research Center*en,active,facility,The Sense Research and Innovation Center*en; Sense Innovation and Research Center*en; The Sense*en,The Sense Innovation and Research Center*en; Le Centre d’innovation et de recherche The Sense*fr,,https://www.the-sense.ch,,the-sense.ch,2021,,,,,,,,,Lausanne; Sion,Switzerland,2659994; 2658576
https://github.com/ror-community/ror-updates/issues/13473,https://ror.org/00ka0b792,Universidad del Chubut*es,active,education,,Universidad del Chubut*es; University of Chubut*en,UDC*es,https://udc.edu.ar,https://es.wikipedia.org/wiki/Universidad_del_Chubut,udc.edu.ar,2008,,,,,,,Q6156842,Q6156842,Rawson,Argentina,3839307
https://github.com/ror-community/ror-updates/issues/13464,https://ror.org/02heqqj04,Pingtan Environmental Monitoring Center of Fujian*en,active,facility,Pingtan Environmental Monitoring Center*en,Pingtan Environmental Monitoring Center of Fujian*en; 福建省平潭环境监测中心站*zh,,,,,,,,,,,,,,Fuzhou,China,1810821
https://github.com/ror-community/ror-updates/issues/12245,https://ror.org/01hrtf583,Synchrotron Radiation for Biomedicine*en,active,facility,Rayonnement Synchrotron pour la Recherche Biomédicale*fr,Synchrotron Radiation for Biomedicine*en,STROBE*fr,https://strobe.univ-grenoble-alpes.fr,,,2016,,,,,,,,,Grenoble,France,3014728
https://github.com/ror-community/ror-updates/issues/13480,https://ror.org/00se82r08,Central Institute for Arid Horticulture*en,active,government; facility,ICAR-Central Institute for Arid Horticulture*en,Central Institute for Arid Horticulture*en,CIAH*en; ICAR CIAH*en,https://ciah.icar.gov.in,,ciah.icar.gov.in,2000,,,,,,,Q111487004,Q111487004,Bikaner,India,1275665
https://github.com/ror-community/ror-updates/issues/13477,https://ror.org/014t9mt17,IMRA America (United States),active,company,Institut Minoru de Recherche Avancé America*fr,"IMRA America (United States); IMRA America; IMRA America, Inc.",,https://www.imra.com,,imra.com,,,,,,,,,,Ann Arbor,USA,4984247
https://github.com/ror-community/ror-updates/issues/13487,https://ror.org/034jrey59,Zhenhai District Center for Disease Control and Prevention*en,active,government,Zhenhai CDC*en,Zhenhai District Center for Disease Control and Prevention*en; 镇海区疾病预防控制中心*zh,,,,,2022,,,,,,,,,Ningbo,China,1799397
https://github.com/ror-community/ror-updates/issues/13458,https://ror.org/00q1dg558,Instituto Educativo Dolores Del Rio Extensión Santiago Papasquiaro Durango*es,active,education,"Instituto Dolores del Rio*es; Instituto Educativo Dolores del Río, A. C.*es; Instituto Educativo Dolores del Río, extensión Santiago Papasquiaro, Dgo.*es; IEDR Santiago Papasquiaro*es",Instituto Educativo Dolores Del Rio Extensión Santiago Papasquiaro Durango*es,IEDR AC*es,,,,2013,,,,,,,,,Santiago Papasquiaro,México,3983631
https://github.com/ror-community/ror-updates/issues/13428,https://ror.org/05ht3z286,SMEITS*sr,active,nonprofit,SMEITS - Savez mašinskih i elektrotehničkih inženjera i tehničara Srbije*sr,SMEITS*sr; Savez mašinskih i elektrotehničkih inženjera i tehničara Srbije*sr; Union of Mechanical and Electrical Engineers and Technicians of Serbia*en,,https://www.smeits.rs,,smeits.rs,1951,,,,,,,,,Belgrade,Serbia,792680
https://github.com/ror-community/ror-updates/issues/13429,https://ror.org/01n0nt715,University of the South Pacific - Emalus Campus*en,active,education,USP Emalus Campus*en; University of the South Pacific Vanuatu*en,University of the South Pacific - Emalus Campus*en,,https://www.usp.ac.fj/emalus,,,1968,,,,,,,Q99286041,Q99286041,Port Vila,Vanuatu,2135171
https://github.com/ror-community/ror-updates/issues/13435,https://ror.org/05x3amg60,Cambridge IVF*en,active,healthcare,,Cambridge IVF*en,,https://www.cambridge-ivf.nhs.uk,,cambridge-ivf.nhs.uk,,,,,,,,,,Cambridge,UK,2653941
https://github.com/ror-community/ror-updates/issues/13486,https://ror.org/018g09a27,Bornova Türkan Özilhan Devlet Hastanesi*tr,active,healthcare,,Bornova Türkan Özilhan Devlet Hastanesi*tr,BTÖ*tr,https://bornovadh.saglik.gov.tr,,bornovadh.saglik.gov.tr,2017,,,,,,,,,Bornova,Turkey,320857
https://github.com/ror-community/ror-updates/issues/13438,https://ror.org/04xsrsp28,King's Fertility*en,active,healthcare,,King's Fertility*en,,https://kingsfertility.co.uk,,kingsfertility.co.uk,,,,,,,,,,London,UK,2643743
https://github.com/ror-community/ror-updates/issues/13475,https://ror.org/01m7hcv15,Air Force Sustainment Center*en,active,government; facility,US Air Force Sustainment Center*en; United States Air Force Sustainment Center*en,Air Force Sustainment Center*en,AFSC*en,https://www.afsc.af.mil,https://it.wikipedia.org/wiki/Air_Force_Sustainment_Center,,,,,,,,,Q56322523,Q56322523,Tinker Air Force Base,USA,4553114
https://github.com/ror-community/ror-updates/issues/13441,https://ror.org/001zt9558,IPMA Srbija*sr,active,nonprofit,Udruženje za upravljanje projektima Srbije - IPMA Srbija*sr; Serbian Project Management Association - IPMA Serbia*en,IPMA Srbija*sr; IPMA Serbia*en,,https://ipma.rs,,ipma.rs,1986,,,,,,,,,Belgrade,Serbia,792680
https://github.com/ror-community/ror-updates/issues/13445,https://ror.org/034rkw812,BioIVT (United States),active,company,BioreclamationIVT,BioIVT (United States); BioIVT,,https://bioivt.com,,bioivt.com,,,,,,,,Q124545356,Q124545356,Westbury,United States,5144040
https://github.com/ror-community/ror-updates/issues/13446,https://ror.org/03t5r9r41,Telefónica Innovación Digital (Spain)*es,active,company,,Telefónica Innovación Digital (Spain)*es; Telefónica Digital Innovation*en; Telefónica Innovación Digital S.L.U.*es,,https://telefonicainnovaciondigital.com,,telefonicainnovaciondigital.com,,,,,,,,,,Madrid,Spain,3117735
https://github.com/ror-community/ror-updates/issues/13448,https://ror.org/01hqfk569,"Indonesian Institute for Counseling, Education, and Therapy*en",active,healthcare,,"Indonesian Institute for Counseling, Education, and Therapy*en",IICET,https://www.iicet.org,,iicet.org,2014,,,,,,,,,Padang,Indonesia,1633419
https://github.com/ror-community/ror-updates/issues/13450,https://ror.org/00h5hvq79,INESPASA (Spain)*es,active,company,Industria Especializada en Aeronautica*es,INESPASA (Spain)*es; INESPASA*es,,https://www.inespasa.com,,inespasa.com,2000,,,,,,,,,Seville,Spain,2510911
https://github.com/ror-community/ror-updates/issues/13451,https://ror.org/047sfm294,Ministry of Home Affairs*en,active,government,Ministry of Home Affairs of Indonesia*en; Indonesian Ministry of Home Affairs*en,Ministry of Home Affairs*en; Kementerian Dalam Negeri*id,,http://www.kemendagri.go.id,https://en.wikipedia.org/wiki/Ministry_of_Home_Affairs_%28Indonesia%29,kemendagri.go.id,1945,,,,,0000 0001 0684 0965,0000 0001 0684 0965,Q6867142,Q6867142,Jakarta,Indonesia,1642911
https://github.com/ror-community/ror-updates/issues/13453,https://ror.org/01a58dz79,Editorial Mar Caribe*es,active,other,Ediciones Mar Caribe*es,Editorial Mar Caribe*es,EMC*es,https://editorialmarcaribe.es,,editorialmarcaribe.es,2021,,,,,0000 0005 0893 354X,0000 0005 0893 354X,,,Colonia del Sacramento; Lima; Buenos Aires,Uruguay; Perú; Argentina,3443013; 3936456; 3435910
https://github.com/ror-community/ror-updates/issues/13455,https://ror.org/01pwhp331,Srpsko arheološko društvo*sr,active,other,Serbian Archaeological Society*en,Srpsko arheološko društvo*sr; Српско археолошко друштво*sr,SAD*sr,https://arheologija.rs,https://sr.wikipedia.org/sr-el/%D0%A1%D1%80%D0%BF%D1%81%D0%BA%D0%BE_%D0%B0%D1%80%D1%85%D0%B5%D0%BE%D0%BB%D0%BE%D1%88%D0%BA%D0%BE_%D0%B4%D1%80%D1%83%D1%88%D1%82%D0%B2%D0%BE,arheologija.rs,1883,,,,,0000 0000 9731 1876,0000 0000 9731 1876,Q12759585,Q12759585,Belgrade,Serbia,792680
https://github.com/ror-community/ror-updates/issues/13457,https://ror.org/01gdwxf40,Ziraat Bankası*tr,active,government,Ziraatbank*tr,Ziraat Bankası*tr; T.C. Ziraat Bankası A.Ş.*tr,Zb*tr,https://www.ziraatbank.com.tr,https://tr.wikipedia.org/wiki/Ziraat_Bankas%C4%B1,ziraatbank.com.tr,,,,,,0000 0004 1761 3209,0000 0004 1761 3209,Q696003,Q696003,Istanbul,Turkey,745044
https://github.com/ror-community/ror-updates/issues/13488,https://ror.org/052qegn86,Instituto de España*es,active,other,,Instituto de España*es; Institute of Spain*en,,https://institutodeespana.es,https://es.wikipedia.org/wiki/Instituto_de_Espa%C3%B1a,institutodeespana.es,1938,,,,,0000 0001 0941 0338,0000 0001 0941 0338,Q3100331,Q3100331,Madrid,Spain,3117735
https://github.com/ror-community/ror-updates/issues/13465,https://ror.org/008tr1381,Les Roches International School of Hotel Management*en,active,education,Les Roches Crans-Montana; Les Roches Switzerland,Les Roches International School of Hotel Management*en,,https://lesroches.edu,,lesroches.edu,,,,,,0000 0004 0390 5606,0000 0004 0390 5606,Q6529933,Q6529933,Crans-Montana,Switzerland,6559506
https://github.com/ror-community/ror-updates/issues/13461,https://ror.org/03vncyz18,Universidad Tecnológica del Norte de Aguascalientes*es,active,education,Technological University of North Aguascalientes*en,Universidad Tecnológica del Norte de Aguascalientes*es,UTNA*es,https://www.utna.edu.mx,,utna.edu.mx,2003,,,,,,,,,Rincón de Romos,México,3988651
https://github.com/ror-community/ror-updates/issues/13494,https://ror.org/05pys8802,Pain Labs*en,active,healthcare,,Pain Labs*en,,https://pzohio.com/pain-labs,,,2022,,,,,0000 0005 1105 8504,0000 0005 1105 8504,,,"New Albany, OH",United States of America,7317568
https://github.com/ror-community/ror-updates/issues/13496,https://ror.org/02d31v873,Unidad Académica del Norte del Estado de Nayarit*es,active,education,Unidad Académica Del Norte*es; Academic Unit of the North of the State of Nayarit*en,Unidad Académica del Norte del Estado de Nayarit*es,,https://www.uan.edu.mx/es/extension-academica-del-norte-acaponeta,,,1999,,,,,,,,,Acaponeta,Mexico,4019819
https://github.com/ror-community/ror-updates/issues/13498,https://ror.org/019qb4279,Bangabandhu Sheikh Mujibur Rahman Maritime University*en,active,education,,Bangabandhu Sheikh Mujibur Rahman Maritime University*en; বঙ্গবন্ধু শেখ মুজিবুর রহমান মেরিটাইম বিশ্ববিদ্যালয়*bn; बंगबन्धु शेख मुजीबुर रहमान समुद्री विश्वविद्यालय*hi,BSMRMU*en,https://www.bsmrmu.edu.bd,https://en.wikipedia.org/wiki/Bangabandhu_Sheikh_Mujibur_Rahman_Maritime_University,bsmrmu.edu.bd,2013,,,,,0000 0004 4683 9661,0000 0004 4683 9661,Q30591100,Q30591100,Dhaka,Bangladesh,1185241
https://github.com/ror-community/ror-updates/issues/13499,https://ror.org/05xdft911,Microsoft Research Montréal (Canada)*en,active,company,Microsoft Research Montreal*en; Microsoft Research Lab – Montréal*en; MSR Montréal*en,Microsoft Research Montréal (Canada)*en,,https://www.microsoft.com/en-us/research/lab/microsoft-research-montreal/,,,2017,,,,,,,,,Montréal,Canada,6077243
https://github.com/ror-community/ror-updates/issues/13506,https://ror.org/05eytha84,South East Coast Ambulance Service NHS Foundation Trust*en,active,healthcare,South East Coast Ambulance Service*en,South East Coast Ambulance Service NHS Foundation Trust*en,SECAmb*en,https://www.secamb.nhs.uk,https://en.wikipedia.org/wiki/South_East_Coast_Ambulance_Service,secamb.nhs.uk,2006,,,,,0000 0004 0498 7690,0000 0004 0498 7690,Q7567104,Q7567104,Crawley,United Kingdom,2652053
https://github.com/ror-community/ror-updates/issues/13511,https://ror.org/02sndnx77,Viet-Hung Industrial University*en,active,education,Đại học Công nghiệp Việt - Hung*vi; Vietnam – Hungary Industrial University*en,Viet-Hung Industrial University*en; Trường Đại học Công nghiệp Việt – Hung*vi,VIU*en,https://viu.edu.vn,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_C%C3%B4ng_nghi%E1%BB%87p_Vi%E1%BB%87t_%E2%80%93_Hung,viu.edu.vn,1977,,,,,,,,,Hanoi,Vietnam,1581130
https://github.com/ror-community/ror-updates/issues/13514,https://ror.org/0465bzv04,Tharaka University*en,active,education,,Tharaka University*en; Chuo Kikuu cha Tharaka*sw,TUN*en,https://tharaka.ac.ke,,tharaka.ac.ke,2017,,,,,,,Q129255622,Q129255622,Marimanti,Kenya,11981627
https://github.com/ror-community/ror-updates/issues/13515,https://ror.org/05yqeks58,The Centre for Reproductive & Genetic Health*en,active,healthcare,Centre for Reproductive and Genetic Health*en,The Centre for Reproductive & Genetic Health*en,CRGH*en,https://crgh.co.uk,,crgh.co.uk,1990,,,,,0000 0004 4666 2413,0000 0004 4666 2413,Q102867797,Q102867797,London,UK,2643743
https://github.com/ror-community/ror-updates/issues/13516,https://ror.org/058cb6311,"The Charitable Foundation ""BELA. Butterfly Children""*en",active,nonprofit; healthcare,"Бф ""БЭЛА. Дети-Бабочки""*ru; Благотворительный фонд помощи детям, страдающим заболеванием буллезный эпидермолиз «БЭЛА. Дети-бабочки»*ru","The Charitable Foundation ""BELA. Butterfly Children""*en; Благотворительный фонд «БЭЛА. Дети-бабочки»*ru",,https://deti-bela.ru,,deti-bela.ru,2011,,,,,,,,,Moscow,Russia,524901
https://github.com/ror-community/ror-updates/issues/13655,https://ror.org/01bvv5f54,Ministry of Industry and Trade*en,active,government,"Ministry of Industry and Trade, Vietnam*en",Ministry of Industry and Trade*en; Bộ Công Thương*vi,,http://www.moit.gov.vn,https://en.wikipedia.org/wiki/Ministry_of_Industry_and_Trade_%28Vietnam%29,moit.gov.vn,1955,,,,,,,Q6867197,Q6867197,Hanoi,Vietnam,1581130
