html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
https://github.com/ror-community/ror-updates/issues/12594,https://ror.org/03n15ch10,replace==CEA Paris-Saclay*fr,,,,replace==CEA Paris-Saclay*fr,,replace==https://www.cea.fr/paris-saclay,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/9312,https://ror.org/0518wrr32,replace==LIGO Scientific Collaboration*en,,,,replace==LIGO Scientific Collaboration*en,add==LSC*en,replace==https://www.ligo.org,,add==ligo.org,,,,,,delete,delete,replace==Q6458663,replace==Q6458663,,,replace==5381396
https://github.com/ror-community/ror-updates/issues/13443,https://ror.org/036w79395,,,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13427,https://ror.org/03qgzzb04,,replace==inactive,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13449,https://ror.org/00nyrjc53,,,,,,,,,,,,,,,delete,delete,,,,,
https://github.com/ror-community/ror-updates/issues/13454,https://ror.org/04kb0nk47,,replace==inactive,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13471,https://ror.org/00vqxjy61,replace==Breakthrough T1D*en,,,add==Juvenile Diabetes Research Foundation*en,replace==Breakthrough T1D*en,,replace==https://www.breakthrought1d.org,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13472,https://ror.org/03aaxgs84,,,,,,,replace==https://cnu.edu.ph,,add==cnu.edu.ph,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13466,https://ror.org/033200e31,,replace==inactive,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13463,https://ror.org/05fwzbv61,,,,,,,,,,,,,,,add==0000 0005 1712 2845,replace==0000 0005 1712 2845,replace==Q129461778,replace==Q129461778,,,
https://github.com/ror-community/ror-updates/issues/13492,https://ror.org/05ctx1h60,,,,add==Franklin Resources*en; Franklin Resources Inc*en,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13479,https://ror.org/04pw1zg89,,,,,,,,,,,,,,,,,,,,,add==4347778
https://github.com/ror-community/ror-updates/issues/13491,https://ror.org/01beh4y53,,replace==withdrawn,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13489,https://ror.org/02pjdv450,,,,add==Florida Natural History Museum*en,,,replace==https://www.floridamuseum.ufl.edu,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13476,https://ror.org/054d78x30,replace==IMRA Europe*en,,,add==IMRA France; Institut Minoru de Recherche Avancé*fr; Institut Minoru de Recherche Avancé Europe*fr,replace==IMRA Europe*en; IMRA Europe SAS,,replace==https://www.imra.eu,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13482,https://ror.org/00kx55e87,,,,,,,,,,,,,,,,,add==Q19972112,replace==Q19972112,,,
