Issue # from Github,Issue URL,Issue title from Github,Name of org in Record ID,Record ID,Related ID,Name of org in Related ID,Relationship of Related ID to Record ID,Current location of Related ID
12594,https://github.com/ror-community/ror-updates/issues/12594,Modify the information in an existing ROR record: CEA Saclay - https://ror.org/03n15ch10,CEA Saclay,https://ror.org/03n15ch10,https://ror.org/00jjx8s55,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,Parent,Production
12594,https://github.com/ror-community/ror-updates/issues/12594,Modify the information in an existing ROR record: CEA Saclay - https://ror.org/03n15ch10,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,https://ror.org/00jjx8s55,https://ror.org/03n15ch10,CEA Saclay,Child,Release
12594,https://github.com/ror-community/ror-updates/issues/12594,Modify the information in an existing ROR record: CEA Saclay - https://ror.org/03n15ch10,CEA Saclay,https://ror.org/03n15ch10,https://ror.org/03cwzta72,Direction des énergies,Delete,Production
12594,https://github.com/ror-community/ror-updates/issues/12594,Modify the information in an existing ROR record: CEA Saclay - https://ror.org/03n15ch10,Direction des énergies,https://ror.org/03cwzta72,https://ror.org/03n15ch10,CEA Saclay,Delete,Release
12310,https://github.com/ror-community/ror-updates/issues/12310,"Add a new organization to ROR: 
 
arXiv",arXiv,https://ror.org/00m2zh467,https://ror.org/05bnh6r87,Cornell University,Parent,Production
12310,https://github.com/ror-community/ror-updates/issues/12310,"Add a new organization to ROR: 
 
arXiv",Cornell University,https://ror.org/05bnh6r87,https://ror.org/00m2zh467,arXiv,Child,Release
13443,https://github.com/ror-community/ror-updates/issues/13443,Modify the information in an existing ROR record: Sekisui Kasei (Japan) - https://ror.org/036w79395,Sekisui Kasei (Japan),https://ror.org/036w79395,https://ror.org/05hessd06,Sekisui Chemical (Japan),Parent,Production
13443,https://github.com/ror-community/ror-updates/issues/13443,Modify the information in an existing ROR record: Sekisui Kasei (Japan) - https://ror.org/036w79395,Sekisui Chemical (Japan),https://ror.org/05hessd06,https://ror.org/036w79395,Sekisui Kasei (Japan),Child,Release
13447,https://github.com/ror-community/ror-updates/issues/13447,Add a new organization to ROR: Domestic Policy Strategy Agency of the Ministry of Home Affairs of the Republic of Indonesia,Badan Strategi Kebijakan Dalam Negeri,https://ror.org/007ptm460,https://ror.org/047sfm294,Ministry of Home Affairs,Parent,Release
13447,https://github.com/ror-community/ror-updates/issues/13447,Add a new organization to ROR: Domestic Policy Strategy Agency of the Ministry of Home Affairs of the Republic of Indonesia,Ministry of Home Affairs,https://ror.org/047sfm294,https://ror.org/007ptm460,Badan Strategi Kebijakan Dalam Negeri,Child,Release
